Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7,Opp,Result,Status
1.0,2024.0,2024-09-08,1.0,1.0,,NYG,,MIN,L 6-28,Inactive
2.0,2024.0,2024-09-15,2.0,2.0,,NYG,@,WAS,L 18-21,Inactive
3.0,2024.0,2024-09-22,3.0,3.0,,NYG,@,CLE,W 21-15,Inactive
4.0,2024.0,2024-09-26,4.0,4.0,,NYG,,DAL,L 15-20,Inactive
5.0,2024.0,2024-10-06,5.0,5.0,,NYG,@,SEA,W 29-20,Inactive
6.0,2024.0,2024-10-13,6.0,6.0,,NYG,,CIN,L 7-17,Inactive
7.0,2024.0,2024-10-20,7.0,7.0,,NYG,,PHI,L 3-28,Did Not Play
8.0,2024.0,2024-10-28,8.0,8.0,,NYG,@,PIT,L 18-26,Inactive
9.0,2024.0,2024-11-03,9.0,9.0,,NYG,,WAS,L 22-27,Inactive
10.0,2024.0,2024-11-10,10.0,10.0,,NYG,@,CAR,L 17-20,Inactive
11.0,2024.0,2024-11-24,11.0,12.0,,NYG,,TAM,L 7-30,Inactive
