Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,22.357,NYG,@,TEN,W 21-20,,,,,,,,28,47%,0,0%,2,7%,
2,2022,2022-09-18,2,2,22.364,NYG,,CAR,W 19-16,,,,,,,,17,23%,0,0%,5,17%,
3,2022,2022-09-26,3,3,23.007,NYG,,DAL,L 16-23,,,,,,,,0,0%,0,0%,5,17%,
4,2022,2022-10-02,4,4,23.013,NYG,,CHI,W 20-12,,,,,,,,8,12%,0,0%,5,17%,
5,2022,2022-10-09,5,5,23.020,NYG,@,GNB,W 27-22,,,,,,,,1,2%,0,0%,5,19%,
6,2022,2022-10-16,6,6,23.027,NYG,,BAL,W 24-20,,,,,,,,4,6%,0,0%,4,15%,
7,2022,2022-10-23,7,7,23.034,NYG,@,JAX,W 23-17,,,,,,,,61,79%,0,0%,5,23%,
8,2022,2022-10-30,8,8,23.041,NYG,@,SEA,L 13-27,*,,,,,,,65,100%,0,0%,3,10%,
9,2022,2022-11-13,9,10,23.055,NYG,,HOU,W 24-16,*,,,,,,,69,100%,0,0%,4,13%,
10,2022,2022-11-20,10,11,23.062,NYG,,DET,L 18-31,,,,,,,,37,49%,0,0%,2,8%,
11,2022,2022-11-24,11,12,,NYG,@,DAL,L 20-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,2022,2022-12-04,12,13,,NYG,,WAS,T 20-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,2022,2022-12-11,13,14,,NYG,,PHI,L 22-48,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,2022,2022-12-18,14,15,,NYG,@,WAS,W 20-12,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,2022,2022-12-24,15,16,,NYG,@,MIN,L 24-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,2022,2023-01-01,16,17,,NYG,,IND,W 38-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,2022,2023-01-08,17,18,,NYG,@,PHI,L 16-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,2023,2023-09-10,1,1,23.356,NYG,,DAL,L 0-40,,,,,,,,14,20%,0,0%,2,8%,
