Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,22.251,NYG,@,TEN,W 21-20,,,,,,,,,,,,,,,,,,0,0%,11,17%,13,47%,
2,2022,2022-09-18,2,2,22.258,NYG,,CAR,W 19-16,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,7,12%,11,37%,
3,2022,2022-09-26,3,3,22.266,NYG,,DAL,L 16-23,,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,30,47%,13,45%,
4,2022,2022-10-02,4,4,22.272,NYG,,CHI,W 20-12,*,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,27,44%,14,47%,
5,2022,2022-10-09,5,5,22.279,NYG,@,GNB,W 27-22,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,6%,13,50%,
6,2022,2022-10-16,6,6,22.286,NYG,,BAL,W 24-20,,,,,,,,,,,,,,,,,,0,0%,0,0%,11,42%,
7,2022,2022-10-23,7,7,22.293,NYG,@,JAX,W 23-17,,,,,,,,,,,,,,,,,,0,0%,0,0%,11,50%,
8,2022,2022-10-30,8,8,22.300,NYG,@,SEA,L 13-27,,1.0,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,27,42%,11,37%,
9,2022,2022-11-13,9,10,22.314,NYG,,HOU,W 24-16,*,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,36,56%,0,0%,
10,2022,2022-11-20,10,11,22.321,NYG,,DET,L 18-31,*,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,31,46%,1,4%,
11,2022,2022-11-24,11,12,22.325,NYG,@,DAL,L 20-28,,0.0,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0%,48,64%,1,4%,
12,2022,2022-12-04,12,13,22.335,NYG,,WAS,T 20-20,,0.0,4,5,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,57,67%,3,9%,
13,2022,2022-12-11,13,14,22.342,NYG,,PHI,L 22-48,*,0.0,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,29,43%,0,0%,
14,2022,2022-12-18,14,15,22.349,NYG,@,WAS,W 20-12,*,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,31,49%,1,4%,
15,2022,2022-12-24,15,16,22.355,NYG,@,MIN,L 24-27,*,0.0,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,38,53%,0,0%,
16,2022,2023-01-01,16,17,22.363,NYG,,IND,W 38-10,*,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,24,41%,2,8%,
17,2022,2023-01-08,17,18,23.005,NYG,@,PHI,L 16-22,,1.0,6,1,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0%,35,48%,12,43%,
18,2023,2023-09-10,1,1,23.250,NYG,,DAL,L 0-40,*,0.0,4,7,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,43,74%,21,88%,
19,2023,2023-09-17,2,2,23.257,NYG,@,ARI,W 31-28,*,0.0,4,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,49,75%,11,39%,
20,2023,2023-09-21,3,3,23.261,NYG,@,SFO,L 12-30,*,0.0,9,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0%,60,72%,18,64%,
21,2023,2023-10-02,4,4,23.272,NYG,,SEA,L 3-24,*,0.0,4,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,37,67%,11,48%,
22,2023,2023-10-08,5,5,,NYG,@,MIA,L 16-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,2023,2023-10-15,6,6,23.285,NYG,@,BUF,L 9-14,*,0.0,3,4,7,0,1,1,5,0,1,0,0,0,1,0,0,0,0%,48,79%,6,29%,
24,2023,2023-10-22,7,7,23.292,NYG,,WAS,W 14-7,*,0.5,1,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,43,62%,12,42%,
25,2023,2023-10-29,8,8,23.299,NYG,,NYJ,L 10-13,*,0.0,3,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0%,37,58%,20,54%,
