Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,23.195,NYG,,MIN,L 6-28,*,4.0,1.0,18.0,18.0,0.0,25.0%,4.5,0,0,61.0,86%,0.0,0%,5.0,21%
2.0,2024.0,2024-09-15,2.0,2.0,23.202,NYG,@,WAS,L 18-21,*,,,,,,0.0%,,0,0,44.0,79%,0.0,0%,7.0,33%
3.0,2024.0,2024-09-22,3.0,3.0,23.209,NYG,@,CLE,W 21-15,*,3.0,1.0,13.0,13.0,0.0,33.3%,4.33,0,0,58.0,81%,0.0,0%,3.0,12%
4.0,2024.0,2024-09-26,4.0,4.0,23.213,NYG,,DAL,L 15-20,,1.0,1.0,6.0,6.0,0.0,100.0%,6.0,0,0,49.0,71%,0.0,0%,5.0,20%
5.0,2024.0,2024-10-06,5.0,5.0,23.223,NYG,@,SEA,W 29-20,*,5.0,5.0,48.0,9.6,0.0,100.0%,9.6,0,0,56.0,78%,0.0,0%,5.0,17%
6.0,2024.0,2024-10-13,6.0,6.0,23.23,NYG,,CIN,L 7-17,*,3.0,3.0,30.0,10.0,0.0,100.0%,10.0,0,0,70.0,89%,0.0,0%,4.0,18%
7.0,2024.0,2024-10-20,7.0,7.0,23.237,NYG,,PHI,L 3-28,*,0.0,0.0,0.0,,0.0,0.0%,,0,0,52.0,90%,0.0,0%,6.0,19%
8.0,2024.0,2024-10-28,8.0,8.0,23.245,NYG,@,PIT,L 18-26,*,4.0,3.0,35.0,11.67,0.0,75.0%,8.75,0,0,70.0,97%,0.0,0%,11.0,37%
9.0,2024.0,2024-11-03,9.0,9.0,23.251,NYG,,WAS,L 22-27,*,6.0,3.0,51.0,17.0,1.0,50.0%,8.5,1,6,55.0,85%,0.0,0%,8.0,36%
10.0,2024.0,2024-11-10,10.0,10.0,23.258,NYG,@,CAR,L 17-20,*,6.0,4.0,37.0,9.25,0.0,66.7%,6.17,0,0,69.0,92%,0.0,0%,10.0,33%
11.0,2024.0,2024-11-24,11.0,12.0,23.272,NYG,,TAM,L 7-30,*,6.0,3.0,39.0,13.0,0.0,50.0%,6.5,0,0,43.0,73%,0.0,0%,7.0,35%
