Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,,LVR,@,CAR,W 34-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,2020,2020-09-21,2,2,,LVR,,NOR,W 34-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2020,2020-09-27,3,3,,LVR,@,NWE,L 20-36,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2020,2020-10-04,4,4,22.090,LVR,,BUF,L 23-30,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,9,15%,5,19%,
5,2020,2020-10-11,5,5,22.097,LVR,@,KAN,W 40-32,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,14,19%,11,34%,
6,2020,2020-10-25,6,7,22.111,LVR,,TAM,L 20-45,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,2,6%,
7,2020,2020-11-01,7,8,22.118,LVR,@,CLE,W 16-6,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,2,4%,4,22%,
8,2020,2020-11-08,8,9,22.125,LVR,@,LAC,W 31-26,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,6,8%,3,10%,
9,2020,2020-11-15,9,10,,LVR,,DEN,W 37-12,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2020,2020-11-22,10,11,22.139,LVR,,KAN,L 31-35,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,2,3%,0,0%,
11,2020,2020-11-29,11,12,,LVR,@,ATL,L 6-43,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,2020,2020-12-06,12,13,22.153,LVR,@,NYJ,W 31-28,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,2,3%,6,23%,
13,2020,2020-12-13,13,14,,LVR,,IND,L 27-44,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,2020,2020-12-17,14,15,22.164,LVR,,LAC,L 27-30,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,4,14%,
15,2020,2020-12-26,15,16,,LVR,,MIA,L 25-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,2020,2021-01-03,16,17,,LVR,@,DEN,W 32-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,2021,2021-09-13,1,1,23.069,LVR,,BAL,W 33-27,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,8,25%,
18,2021,2021-09-19,2,2,23.075,LVR,@,PIT,W 26-17,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,7%,11,39%,
19,2021,2021-09-26,3,3,23.082,LVR,,MIA,W 31-28,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,5%,11,33%,
20,2021,2021-10-04,4,4,23.090,LVR,@,LAC,L 14-28,,0,0,0.0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,49,65%,7,26%,
21,2021,2021-10-10,5,5,23.096,LVR,,CHI,L 9-20,*,0,0,0.0,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,64,100%,0,0%,
22,2021,2021-10-17,6,6,23.103,LVR,@,DEN,W 34-24,*,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,13,16%,5,16%,
23,2021,2021-10-24,7,7,,LVR,,PHI,W 33-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,2021,2021-11-07,8,9,,LVR,@,NYG,L 16-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,2021,2021-11-14,9,10,,LVR,,KAN,L 14-41,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,2021,2021-11-21,10,11,23.138,LVR,,CIN,L 13-32,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,2,7%,
27,2021,2021-11-25,11,12,23.142,LVR,@,DAL,W 36-33,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,3,4%,8,19%,
28,2021,2021-12-05,12,13,,LVR,,WAS,L 15-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,2021,2021-12-12,13,14,,LVR,@,KAN,L 9-48,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,2021,2021-12-20,14,15,23.167,LVR,@,CLE,W 16-14,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,3,12%,
31,2021,2021-12-26,15,16,23.173,LVR,,DEN,W 17-13,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,4,18%,
