Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-12,1,1,21.323,DET,,SFO,L 33-41,,4,2,23,11.50,0,50.0%,5.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,64%,0,0%,9,29%,
2,2021,2021-09-20,2,2,21.331,DET,@,GNB,L 17-35,,5,3,18,6.00,0,60.0%,3.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,60%,0,0%,6,26%,
3,2021,2021-09-26,3,3,21.337,DET,,BAL,L 17-19,,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,43%,0,0%,5,18%,
4,2021,2021-10-03,4,4,21.344,DET,@,CHI,L 14-24,,8,6,70,11.67,0,75.0%,8.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,51,72%,0,0%,5,24%,
5,2021,2021-10-10,5,5,21.351,DET,@,MIN,L 17-19,*,8,7,65,9.29,0,87.5%,8.13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,69%,0,0%,5,19%,
6,2021,2021-10-17,6,6,21.358,DET,,CIN,L 11-34,,7,5,26,5.20,0,71.4%,3.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,49,78%,0,0%,6,24%,
7,2021,2021-10-24,7,7,22.000,DET,@,LAR,L 19-28,*,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,43,62%,0,0%,6,24%,
8,2021,2021-10-31,8,8,22.007,DET,,PHI,L 6-44,,5,3,46,15.33,0,60.0%,9.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,73%,0,0%,9,36%,
9,2021,2021-11-14,9,10,22.021,DET,@,PIT,T 16-16,*,6,4,61,15.25,0,66.7%,10.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,61%,0,0%,6,18%,
10,2021,2021-11-21,10,11,22.028,DET,@,CLE,L 10-13,,4,4,18,4.50,0,100.0%,4.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,85%,0,0%,3,14%,
11,2021,2021-11-25,11,12,22.032,DET,,CHI,L 14-16,*,4,4,23,5.75,0,100.0%,5.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,98%,0,0%,3,13%,
12,2021,2021-12-05,12,13,22.042,DET,,MIN,W 29-27,*,12,10,86,8.60,1,83.3%,7.17,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,69,96%,0,0%,7,26%,
13,2021,2021-12-12,13,14,22.049,DET,@,DEN,L 10-38,*,12,8,73,9.13,0,66.7%,6.08,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,75%,0,0%,6,27%,
14,2021,2021-12-19,14,15,22.056,DET,,ARI,W 30-12,*,11,8,90,11.25,1,72.7%,8.18,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,45,69%,0,0%,4,16%,
15,2021,2021-12-26,15,16,22.063,DET,@,ATL,L 16-20,*,11,9,91,10.11,1,81.8%,8.27,2,19,9.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,59,88%,0,0%,0,0%,
16,2021,2022-01-02,16,17,22.070,DET,@,SEA,L 29-51,,11,8,111,13.88,1,72.7%,10.09,2,23,11.50,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,2,14,0.0,0,0,0,0,0,0,0,0,0,0,0,53,84%,0,0%,1,3%,
17,2021,2022-01-09,17,18,22.077,DET,,GNB,W 37-30,*,10,8,109,13.63,1,80.0%,10.90,1,12,12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,56,95%,0,0%,0,0%,
18,2022,2022-09-11,1,1,22.322,DET,,PHI,L 35-38,*,12,8,64,8.00,1,66.7%,5.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,61,88%,0,0%,0,0%,
19,2022,2022-09-18,2,2,22.329,DET,,WAS,W 36-27,*,12,9,116,12.89,2,75.0%,9.67,2,68,34.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,52,85%,0,0%,1,3%,
20,2022,2022-09-25,3,3,22.336,DET,@,MIN,L 24-28,*,9,6,73,12.17,0,66.7%,8.11,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,73%,0,0%,0,0%,
21,2022,2022-10-02,4,4,,DET,,SEA,L 45-48,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,2022,2022-10-09,5,5,22.350,DET,@,NWE,L 0-29,*,6,4,18,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,32%,0,0%,0,0%,
