Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-07,1,1,23.190,DET,@,KAN,W 21-20,,0,0%,0,0%,3,11%,
2,2023,2023-09-17,2,2,23.200,DET,,SEA,L 31-37,,0,0%,0,0%,5,18%,
3,2023,2023-09-24,3,3,23.207,DET,,ATL,W 20-6,,36,51%,0,0%,4,15%,
4,2023,2023-09-28,4,4,23.211,DET,@,GNB,W 34-20,,0,0%,0,0%,7,23%,
5,2023,2023-10-08,5,5,23.221,DET,,CAR,W 42-24,,0,0%,0,0%,6,22%,
6,2023,2023-10-15,6,6,23.228,DET,@,TAM,W 20-6,,0,0%,0,0%,5,20%,
7,2023,2023-10-22,7,7,,DET,@,BAL,L 6-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,2023,2023-10-30,8,8,23.243,DET,,LVR,W 26-14,*,86,100%,0,0%,7,28%,
9,2023,2023-11-12,9,10,23.256,DET,@,LAC,W 41-38,,0,0%,0,0%,7,23%,
10,2023,2023-11-19,10,11,23.263,DET,,CHI,W 31-26,*,62,100%,0,0%,3,12%,
11,2023,2023-11-23,11,12,23.267,DET,,GNB,L 22-29,*,32,38%,0,0%,1,4%,
12,2023,2023-12-03,12,13,23.277,DET,@,NOR,W 33-28,,37,64%,0,0%,5,17%,
13,2023,2023-12-10,13,14,23.284,DET,@,CHI,L 13-28,,0,0%,0,0%,2,8%,
14,2023,2023-12-16,14,15,23.290,DET,,DEN,W 42-17,,0,0%,0,0%,6,21%,
15,2023,2023-12-24,15,16,23.298,DET,@,MIN,W 30-24,,0,0%,0,0%,5,19%,
16,2023,2023-12-30,16,17,23.304,DET,@,DAL,L 19-20,,0,0%,0,0%,3,12%,
17,2023,2024-01-07,17,18,23.312,DET,,MIN,W 30-20,,0,0%,0,0%,5,18%,
18,2024,2024-09-08,1,1,,DET,,LAR,W 26-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,2024,2024-09-15,2,2,,DET,,TAM,L 16-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,2024,2024-09-22,3,3,,DET,@,ARI,W 20-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,2024,2024-09-30,4,4,,DET,,SEA,W 42-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
22,2024,2024-10-13,5,6,,DET,@,DAL,W 47-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,2024,2024-10-20,6,7,24.233,DET,@,MIN,W 31-29,,0,0%,0,0%,5,16%,
24,2024,2024-10-27,7,8,,DET,,TEN,W 52-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,2024,2024-11-03,8,9,,DET,@,GNB,W 24-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,2024,2024-11-10,9,10,,DET,@,HOU,W 26-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,2024,2024-11-17,10,11,,DET,,JAX,W 52-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,2024,2024-11-24,11,12,,DET,@,IND,W 24-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
