Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-05,1,1,22.090,CHI,,GNB,L 3-10,*,6,18,3.00,0,1,1,27,27.00,0,100.0%,27.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,38%,0,0%,0,0%,
2,2019,2019-09-15,2,2,22.100,CHI,@,DEN,W 16-14,*,18,62,3.44,1,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,27,45%,0,0%,0,0%,
3,2019,2019-09-23,3,3,22.108,CHI,@,WAS,W 31-15,,13,67,5.15,0,3,3,14,4.67,0,100.0%,4.67,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,65%,0,0%,0,0%,
4,2019,2019-09-29,4,4,22.114,CHI,,MIN,W 16-6,,21,53,2.52,0,5,3,14,4.67,0,60.0%,2.80,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,69%,0,0%,1,5%,
5,2019,2019-10-06,5,5,22.121,CHI,@,OAK,L 21-24,*,11,25,2.27,1,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,30,54%,0,0%,0,0%,
6,2019,2019-10-20,6,7,22.135,CHI,,NOR,L 25-36,,2,6,3.00,0,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,30,47%,0,0%,0,0%,
7,2019,2019-10-27,7,8,22.142,CHI,,LAC,L 16-17,*,27,135,5.00,1,5,4,12,3.00,0,80.0%,2.40,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,59,74%,0,0%,0,0%,
8,2019,2019-11-03,8,9,22.149,CHI,@,PHI,L 14-22,*,14,40,2.86,2,4,3,36,12.00,0,75.0%,9.00,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,32,73%,0,0%,0,0%,
9,2019,2019-11-10,9,10,22.156,CHI,,DET,W 20-13,*,17,60,3.53,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,61%,0,0%,0,0%,
10,2019,2019-11-17,10,11,22.163,CHI,@,LAR,L 7-17,,14,31,2.21,0,3,1,19,19.00,0,33.3%,6.33,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,46%,0,0%,0,0%,
11,2019,2019-11-24,11,12,22.170,CHI,,NYG,W 19-14,*,13,22,1.69,0,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,64%,0,0%,0,0%,
12,2019,2019-11-28,12,13,22.174,CHI,@,DET,W 24-20,,16,75,4.69,0,2,2,12,6.00,1,100.0%,6.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,39,61%,0,0%,0,0%,
13,2019,2019-12-05,13,14,22.181,CHI,,DAL,W 31-24,,20,86,4.30,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,45,64%,0,0%,1,3%,
14,2019,2019-12-15,14,15,22.191,CHI,@,GNB,L 13-21,,14,39,2.79,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,43%,0,0%,0,0%,
15,2019,2019-12-22,15,16,22.198,CHI,,KAN,L 3-26,*,13,57,4.38,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,56%,0,0%,0,0%,
16,2019,2019-12-29,16,17,22.205,CHI,@,MIN,W 21-19,,23,113,4.91,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,49,65%,0,0%,0,0%,
17,2020,2020-09-13,1,1,23.098,CHI,@,DET,W 27-23,*,13,64,4.92,0,3,1,10,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,45%,0,0%,0,0%,
18,2020,2020-09-20,2,2,23.105,CHI,,NYG,W 17-13,*,16,82,5.13,0,3,3,45,15.00,1,100.0%,15.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,35,54%,0,0%,0,0%,
19,2020,2020-09-27,3,3,23.112,CHI,@,ATL,W 30-26,*,14,45,3.21,0,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,56%,0,0%,0,0%,
20,2020,2020-10-04,4,4,23.119,CHI,,IND,L 11-19,*,10,27,2.70,0,6,3,30,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,,,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,53,85%,0,0%,0,0%,
21,2020,2020-10-08,5,5,23.123,CHI,,TAM,W 20-19,*,10,29,2.90,1,8,7,30,4.29,0,87.5%,3.75,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,51,81%,0,0%,0,0%,
22,2020,2020-10-18,6,6,23.133,CHI,@,CAR,W 23-16,*,19,58,3.05,0,5,4,39,9.75,0,80.0%,7.80,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,85%,0,0%,0,0%,
23,2020,2020-10-26,7,7,23.141,CHI,@,LAR,L 10-24,*,14,48,3.43,0,5,5,21,4.20,0,100.0%,4.20,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,83%,0,0%,0,0%,
24,2020,2020-11-01,8,8,23.147,CHI,,NOR,L 23-26,*,21,89,4.24,0,5,2,16,8.00,0,40.0%,3.20,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,84%,0,0%,0,0%,
25,2020,2020-11-08,9,9,23.154,CHI,@,TEN,L 17-24,,14,30,2.14,0,3,3,12,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,50,65%,0,0%,0,0%,
26,2020,2020-11-16,10,10,,CHI,,MIN,L 13-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,2020,2020-11-29,11,12,23.175,CHI,@,GNB,L 25-41,*,11,103,9.36,0,6,5,40,8.00,1,83.3%,6.67,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,58,85%,0,0%,0,0%,
28,2020,2020-12-06,12,13,23.182,CHI,,DET,L 30-34,*,17,72,4.24,2,4,4,39,9.75,0,100.0%,9.75,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,52,75%,0,0%,1,3%,
29,2020,2020-12-13,13,14,23.189,CHI,,HOU,W 36-7,*,11,113,10.27,1,4,3,42,14.00,0,75.0%,10.50,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,40,67%,0,0%,0,0%,
30,2020,2020-12-20,14,15,23.196,CHI,@,MIN,W 33-27,*,32,146,4.56,2,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,56,88%,0,0%,0,0%,
31,2020,2020-12-27,15,16,23.203,CHI,@,JAX,W 41-17,*,23,95,4.13,1,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,60,83%,0,0%,1,3%,
32,2020,2021-01-03,16,17,23.210,CHI,,GNB,L 16-35,*,22,69,3.14,1,9,9,63,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,62,83%,0,0%,0,0%,
33,2021,2021-09-12,1,1,24.097,CHI,@,LAR,L 14-34,*,16,108,6.75,1,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,41,59%,0,0%,0,0%,
34,2021,2021-09-19,2,2,24.104,CHI,,CIN,W 20-17,*,20,61,3.05,0,4,3,18,6.00,0,75.0%,4.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,80%,0,0%,0,0%,
35,2021,2021-09-26,3,3,24.111,CHI,@,CLE,L 6-26,*,10,34,3.40,0,4,2,21,10.50,0,50.0%,5.25,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,82%,0,0%,0,0%,
