Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-07,1,1,21.171,DET,@,KAN,W 21-20,,7,42,6.00,0,2,2,18,9.00,0,100.0%,9.00,0,0,0,0,0,0,0,0,19,27%,0,0%,0,0%,
2,2023,2023-09-17,2,2,21.181,DET,,SEA,L 31-37,,7,17,2.43,0,9,7,39,5.57,0,77.8%,4.33,0,0,0,0,0,0,0,0,32,48%,0,0%,0,0%,
3,2023,2023-09-24,3,3,21.188,DET,,ATL,W 20-6,*,17,80,4.71,0,2,1,2,2.00,0,50.0%,1.00,0,0,0,0,0,0,0,0,42,60%,0,0%,1,4%,
4,2023,2023-09-28,4,4,21.192,DET,@,GNB,W 34-20,,8,40,5.00,0,5,4,11,2.75,0,80.0%,2.20,0,0,0,0,0,0,0,0,28,37%,0,0%,1,3%,
5,2023,2023-10-08,5,5,,DET,,CAR,W 42-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2023,2023-10-15,6,6,,DET,@,TAM,W 20-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2023,2023-10-22,7,7,21.216,DET,@,BAL,L 6-38,*,11,68,6.18,1,10,9,58,6.44,0,90.0%,5.80,1,6,0,0,0,0,0,0,65,87%,0,0%,0,0%,
8,2023,2023-10-30,8,8,21.224,DET,,LVR,W 26-14,*,26,152,5.85,1,5,5,37,7.40,0,100.0%,7.40,1,6,0,0,0,0,0,0,60,70%,0,0%,0,0%,
9,2023,2023-11-12,9,10,21.237,DET,@,LAC,W 41-38,,14,77,5.50,2,5,3,35,11.67,0,60.0%,7.00,2,12,0,0,0,0,0,0,38,58%,0,0%,0,0%,
10,2023,2023-11-19,10,11,21.244,DET,,CHI,W 31-26,,8,36,4.50,1,6,6,59,9.83,0,100.0%,9.83,1,6,0,0,0,0,0,0,35,56%,0,0%,0,0%,
11,2023,2023-11-23,11,12,21.248,DET,,GNB,L 22-29,,11,54,4.91,0,8,4,19,4.75,0,50.0%,2.38,0,0,0,0,0,0,0,0,60,71%,0,0%,0,0%,
12,2023,2023-12-03,12,13,21.258,DET,@,NOR,W 33-28,,8,60,7.50,0,2,1,-6,-6.00,0,50.0%,-3.00,0,0,0,0,0,0,0,0,26,45%,0,0%,0,0%,
13,2023,2023-12-10,13,14,21.265,DET,@,CHI,L 13-28,,11,66,6.00,1,4,3,16,5.33,0,75.0%,4.00,1,6,1,0,0,0,0,0,41,63%,0,0%,0,0%,
14,2023,2023-12-16,14,15,21.271,DET,,DEN,W 42-17,,11,100,9.09,1,2,2,8,4.00,1,100.0%,4.00,2,12,0,0,0,0,0,0,32,48%,0,0%,0,0%,
15,2023,2023-12-24,15,16,21.279,DET,@,MIN,W 30-24,,15,80,5.33,2,7,4,20,5.00,0,57.1%,2.86,2,12,1,1,0,0,0,0,46,58%,0,0%,0,0%,
16,2023,2023-12-30,16,17,21.285,DET,@,DAL,L 19-20,,15,43,2.87,0,3,1,0,0.00,0,33.3%,0.00,0,0,0,0,0,0,0,0,43,62%,0,0%,0,0%,
17,2023,2024-01-07,17,18,21.293,DET,,MIN,W 30-20,,13,30,2.31,1,1,0,0,,0,0.0%,0.00,1,6,0,0,0,0,0,0,29,51%,0,0%,0,0%,
18,2024,2024-09-08,1,1,22.172,DET,,LAR,W 26-20,,11,40,3.64,1,6,4,34,8.50,0,66.7%,5.67,1,6,0,0,0,0,0,0,31,51%,0,0%,0,0%,
19,2024,2024-09-15,2,2,22.179,DET,,TAM,L 16-20,*,13,84,6.46,0,7,7,22,3.14,0,100.0%,3.14,0,0,0,0,0,0,0,0,53,62%,0,0%,0,0%,
20,2024,2024-09-22,3,3,22.186,DET,@,ARI,W 20-13,,16,83,5.19,0,0,0,20,,1,0.0%,,1,6,0,0,0,0,0,0,31,46%,0,0%,0,0%,
21,2024,2024-09-30,4,4,22.194,DET,,SEA,W 42-29,,14,78,5.57,2,0,0,0,,0,0.0%,,2,12,0,0,0,0,0,0,30,57%,0,0%,0,0%,
22,2024,2024-10-13,5,6,22.207,DET,@,DAL,W 47-9,,12,63,5.25,0,5,3,28,9.33,0,60.0%,5.60,0,0,0,0,0,0,0,0,37,54%,0,0%,0,0%,
23,2024,2024-10-20,6,7,22.214,DET,@,MIN,W 31-29,,15,116,7.73,2,4,4,44,11.00,0,100.0%,11.00,2,12,0,0,0,0,0,0,33,58%,0,0%,0,0%,
24,2024,2024-10-27,7,8,22.221,DET,,TEN,W 52-14,,11,127,11.55,1,1,1,6,6.00,0,100.0%,6.00,1,6,0,0,0,0,0,0,19,40%,0,0%,0,0%,
