Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2012,2012-09-10,1,1,22.186,CIN,@,BAL,L 13-44,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,70,100%,0,0%,3,10%,
2,2012,2012-09-16,2,2,22.192,CIN,,CLE,W 34-27,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,66,100%,0,0%,6,19%,
3,2012,2012-09-23,3,3,22.199,CIN,@,WAS,W 38-31,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,60,100%,0,0%,7,19%,
4,2012,2012-09-30,4,4,22.206,CIN,@,JAX,W 27-10,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,65,100%,0,0%,6,22%,
5,2012,2012-10-07,5,5,22.213,CIN,,MIA,L 13-17,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,68,100%,0,0%,4,15%,
6,2012,2012-10-14,6,6,22.220,CIN,@,CLE,L 24-34,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,72,100%,0,0%,4,11%,
7,2012,2012-10-21,7,7,22.227,CIN,,PIT,L 17-24,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,50,100%,0,0%,3,12%,
8,2012,2012-11-04,8,9,22.241,CIN,,DEN,L 23-31,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,76,100%,0,0%,6,19%,
9,2012,2012-11-11,9,10,22.248,CIN,,NYG,W 31-13,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,59,100%,0,0%,5,19%,
10,2012,2012-11-18,10,11,22.255,CIN,@,KAN,W 28-6,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,71,100%,0,0%,5,18%,
11,2012,2012-11-25,11,12,22.262,CIN,,OAK,W 34-10,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,67,99%,0,0%,7,24%,
12,2012,2012-12-02,12,13,22.269,CIN,@,SDG,W 20-13,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,76,100%,0,0%,4,17%,
13,2012,2012-12-09,13,14,22.276,CIN,,DAL,L 19-20,*,,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,62,100%,0,0%,5,19%,
14,2012,2012-12-13,14,15,22.280,CIN,@,PHI,W 34-13,*,0,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,73,94%,0,0%,6,19%,
15,2012,2012-12-23,15,16,22.290,CIN,@,PIT,W 13-10,*,0,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,65,100%,0,0%,4,14%,
16,2012,2012-12-30,16,17,22.297,CIN,,BAL,W 23-17,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,51,100%,0,0%,5,15%,
17,2013,2013-09-08,1,1,23.184,CIN,@,CHI,L 21-24,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,58,100%,0,0%,3,12%,
18,2013,2013-09-16,2,2,23.192,CIN,,PIT,W 20-10,*,0,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,82,100%,0,0%,4,14%,
19,2013,2013-09-22,3,3,23.198,CIN,,GNB,W 34-30,*,,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,56,100%,0,0%,6,20%,
20,2013,2013-09-29,4,4,23.205,CIN,@,CLE,L 6-17,*,0,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,58,85%,0,0%,2,9%,
21,2013,2013-10-06,5,5,23.212,CIN,,NWE,W 13-6,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,70,100%,0,0%,3,12%,
22,2013,2013-10-13,6,6,23.219,CIN,@,BUF,W 27-24,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,86,100%,0,0%,7,22%,
23,2013,2013-10-20,7,7,23.226,CIN,@,DET,W 27-24,*,0,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,57,100%,0,0%,6,21%,
24,2013,2013-10-27,8,8,23.233,CIN,,NYJ,W 49-9,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,57,100%,0,0%,7,23%,
25,2013,2013-10-31,9,9,23.237,CIN,@,MIA,L 20-22,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,93,100%,0,0%,4,12%,
26,2013,2013-11-10,10,10,23.247,CIN,@,BAL,L 17-20,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,89,100%,0,0%,4,13%,
27,2013,2013-11-17,,11,,CIN,,CLE,W 41-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,2013,2013-12-01,,13,,CIN,@,SDG,W 17-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,2013,2013-12-08,,14,,CIN,,IND,W 42-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
30,2013,2013-12-15,,15,,CIN,@,PIT,L 20-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
31,2013,2013-12-22,15,16,23.289,CIN,,MIN,W 42-14,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,52,67%,0,0%,6,22%,
32,2013,2013-12-29,16,17,23.296,CIN,,BAL,W 34-17,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,51,75%,0,0%,6,20%,
33,2014,2014-09-07,1,1,24.183,CIN,@,BAL,W 23-16,*,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,66,100%,0,0%,6,21%,
