Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-12,1,1,,DET,,SFO,L 33-41,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2021,2021-09-20,2,2,23.202,DET,@,GNB,L 17-35,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,10,15%,5,22%,
3,2021,2021-09-26,3,3,23.208,DET,,BAL,L 17-19,,,,,,,,,,,,,,,,,,0,0%,14,24%,7,25%,
4,2021,2021-10-03,4,4,23.215,DET,@,CHI,L 14-24,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,17,29%,4,19%,
5,2021,2021-10-10,5,5,23.222,DET,@,MIN,L 17-19,,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,20,30%,6,23%,
6,2021,2021-10-17,6,6,23.229,DET,,CIN,L 11-34,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,15,21%,5,20%,
7,2021,2021-10-24,7,7,23.236,DET,@,LAR,L 19-28,,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,22,34%,4,16%,
8,2021,2021-10-31,8,8,23.243,DET,,PHI,L 6-44,,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,29,45%,9,36%,
9,2021,2021-11-14,9,10,23.257,DET,@,PIT,T 16-16,,0.0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,26,30%,4,12%,
10,2021,2021-11-21,10,11,23.264,DET,@,CLE,L 10-13,,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,30,41%,3,14%,
11,2021,2021-11-25,11,12,23.268,DET,,CHI,L 14-16,,1.0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,23,33%,5,21%,
12,2021,2021-12-05,12,13,23.278,DET,,MIN,W 29-27,,0.0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,48,63%,3,11%,
13,2021,2021-12-12,13,14,23.285,DET,@,DEN,L 10-38,,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,27,40%,6,27%,
14,2021,2021-12-19,14,15,23.292,DET,,ARI,W 30-12,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,26,35%,2,8%,
15,2021,2021-12-26,15,16,23.299,DET,@,ATL,L 16-20,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,21,46%,4,17%,
16,2021,2022-01-02,16,17,23.306,DET,@,SEA,L 29-51,,0.0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,36,50%,9,28%,
17,2021,2022-01-09,17,18,23.313,DET,,GNB,W 37-30,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,32,47%,3,11%,
18,2022,2022-09-11,1,1,,DET,,PHI,L 35-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,2022,2022-09-18,2,2,,DET,,WAS,W 36-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
20,2022,2022-09-25,3,3,,DET,@,MIN,L 24-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
21,2022,2022-10-02,4,4,,DET,,SEA,L 45-48,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
22,2022,2022-10-09,5,5,,DET,@,NWE,L 0-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
23,2022,2022-10-23,6,7,,DET,@,DAL,L 6-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,2022,2022-10-30,7,8,,DET,,MIA,L 27-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,2022,2022-11-06,8,9,,DET,,GNB,W 15-9,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
26,2022,2022-11-13,9,10,,DET,@,CHI,W 31-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
27,2022,2022-11-20,10,11,,DET,@,NYG,W 31-18,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
28,2022,2022-11-24,11,12,,DET,,BUF,L 25-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
29,2022,2022-12-04,12,13,,DET,,JAX,W 40-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
30,2022,2022-12-11,13,14,,DET,,MIN,W 34-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
31,2022,2022-12-18,14,15,,DET,@,NYJ,W 20-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
32,2022,2022-12-24,15,16,,DET,@,CAR,L 23-37,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
33,2022,2023-01-01,16,17,,DET,,CHI,W 41-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
34,2022,2023-01-08,17,18,,DET,@,GNB,W 20-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
35,2023,2023-09-07,1,1,25.189,DET,@,KAN,W 21-20,,,,,,,,,,,,,,,,,,0,0%,22,34%,1,4%,
36,2023,2023-09-17,2,2,25.199,DET,,SEA,L 31-37,,,,,,,,,,,,,,,,,,0,0%,14,19%,1,4%,
37,2023,2023-09-24,3,3,25.206,DET,,ATL,W 20-6,,,,,,,,,,,,,,,,,,0,0%,9,13%,1,4%,
38,2023,2023-09-28,4,4,25.210,DET,@,GNB,W 34-20,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,10,18%,2,7%,
39,2023,2023-10-08,5,5,,DET,,CAR,W 42-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,2023,2023-10-15,6,6,25.227,DET,@,TAM,W 20-6,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,11,20%,0,0%,
41,2023,2023-10-22,7,7,,DET,@,BAL,L 6-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,2023,2023-10-30,8,8,,DET,,LVR,W 26-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,2023,2023-11-12,9,10,,DET,@,LAC,W 41-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,2023,2023-11-19,10,11,,DET,,CHI,W 31-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
45,2023,2023-11-23,11,12,25.266,DET,,GNB,L 22-29,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,7,13%,0,0%,
46,2023,2023-12-03,12,13,,DET,@,NOR,W 33-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,2023,2023-12-10,13,14,25.283,DET,@,CHI,L 13-28,,,,,,,,,,,,,,,,,,0,0%,14,20%,0,0%,
48,2023,2023-12-16,14,15,25.289,DET,,DEN,W 42-17,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,14,22%,1,3%,
49,2023,2023-12-24,15,16,25.297,DET,@,MIN,W 30-24,,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,6,11%,0,0%,
50,2023,2023-12-30,16,17,,DET,@,DAL,L 19-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,2023,2024-01-07,17,18,25.311,DET,,MIN,W 30-20,,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,25,34%,2,7%,
52,2024,2024-09-08,1,1,26.190,DET,,LAR,W 26-20,*,0.5,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,50,64%,4,15%,
53,2024,2024-09-15,2,2,26.197,DET,,TAM,L 16-20,*,0.5,0,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,36,75%,3,12%,
