Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-08,1.0,1.0,,DET,,LAR,W 26-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2.0,2024.0,2024-09-15,2.0,2.0,24.107,DET,,TAM,L 16-20,,0,0%,0,0%,5,19%,
3.0,2024.0,2024-09-22,3.0,3.0,24.114,DET,@,ARI,W 20-13,,0,0%,0,0%,12,52%,
4.0,2024.0,2024-09-30,4.0,4.0,24.122,DET,,SEA,W 42-29,,0,0%,0,0%,20,69%,
5.0,2024.0,2024-10-13,5.0,6.0,,DET,@,DAL,W 47-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6.0,2024.0,2024-10-20,6.0,7.0,,DET,@,MIN,W 31-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7.0,2024.0,2024-10-27,7.0,8.0,,DET,,TEN,W 52-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8.0,2024.0,2024-11-03,8.0,9.0,24.156,DET,@,GNB,W 24-14,,0,0%,0,0%,9,41%,
9.0,2024.0,2024-11-10,9.0,10.0,,DET,@,HOU,W 26-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10.0,2024.0,2024-11-17,10.0,11.0,,DET,,JAX,W 52-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11.0,2024.0,2024-11-24,11.0,12.0,24.177,DET,@,IND,W 24-6,,0,0%,0,0%,9,38%,
