Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sfty,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1,2017,2017-12-03,12,13,24.032,TAM,@,GNB,L 20-26,,,0,0,0.0,0,0,0,,,0,0%,1,2%,4,14%,
2,2017,2017-12-10,13,14,24.039,TAM,,DET,L 21-24,,,0,0,0.0,0,0,0,,,0,0%,4,6%,0,0%,
3,2017,2017-12-18,14,15,24.047,TAM,,ATL,L 21-24,,,0,0,0.0,0,0,0,,,0,0%,8,11%,4,15%,
4,2017,2017-12-24,,16,,TAM,@,CAR,L 19-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2017,2017-12-31,,17,,TAM,,NOR,W 31-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2019,2019-09-29,,4,,TAM,@,LAR,W 55-40,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2019,2019-10-06,,5,,TAM,@,NOR,L 24-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2019,2019-10-13,,6,,TAM,,CAR,L 26-37,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2019,2019-10-27,,8,,TAM,@,TEN,L 23-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2019,2019-11-03,,9,,TAM,@,SEA,L 34-40,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,2019,2019-11-10,9,10,26.009,TAM,,ARI,W 30-27,,,0,0,0.0,0,1,1,0,0,0,0%,0,0%,9,28%,
12,2019,2019-11-17,10,11,26.016,TAM,,NOR,L 17-34,,,0,0,,,,,,,0,0%,0,0%,14,54%,
13,2019,2019-11-24,11,12,26.023,TAM,@,ATL,W 35-22,,,0,0,0.0,1,0,1,0,0,0,0%,7,8%,21,62%,
14,2019,2019-12-01,12,13,26.030,TAM,@,JAX,W 28-11,,,0,0,,,,,,,0,0%,2,3%,15,63%,
15,2019,2019-12-08,13,14,26.037,TAM,,IND,W 38-35,,,0,0,0.0,1,0,1,0,0,0,0%,0,0%,21,68%,
16,2019,2019-12-15,14,15,26.044,TAM,@,DET,W 38-17,,,0,0,,,,,,,0,0%,1,2%,18,60%,
17,2019,2019-12-21,15,16,26.050,TAM,,HOU,L 20-23,,,0,0,0.0,0,1,1,0,0,0,0%,0,0%,19,63%,
18,2019,2019-12-29,16,17,26.058,TAM,,ATL,L 22-28,,,0,0,0.0,2,0,2,0,1,0,0%,16,18%,21,75%,
19,2020,2020-09-13,1,1,26.317,TAM,@,NOR,L 23-34,,,0,0,,,,,,,0,0%,5,7%,14,42%,
20,2020,2020-09-20,2,2,26.324,TAM,,CAR,W 31-17,,,0,0,,,,,,,0,0%,1,1%,14,56%,
21,2020,2020-09-27,3,3,26.331,TAM,@,DEN,W 28-10,,,0,0,0.0,0,0,0,0,0,0,0%,0,0%,18,62%,
22,2020,2020-10-04,4,4,26.338,TAM,,LAC,W 38-31,,,0,0,,,,,,,0,0%,0,0%,22,69%,
23,2020,2020-10-08,5,5,26.342,TAM,@,CHI,L 19-20,,,0,0,,,,,,,0,0%,1,2%,22,79%,
24,2020,2020-10-18,6,6,26.352,TAM,,GNB,W 38-10,,,0,0,,,,,,,0,0%,2,3%,24,80%,
25,2020,2020-10-25,7,7,26.359,TAM,@,LVR,W 45-20,,,0,0,0.0,1,0,1,0,0,0,0%,7,11%,22,71%,
26,2020,2020-11-02,8,8,27.001,TAM,@,NYG,W 25-23,,,0,0,0.0,1,0,1,0,0,0,0%,4,5%,16,59%,
27,2020,2020-11-08,9,9,27.007,TAM,,NOR,L 3-38,,,0,0,,,,,,,0,0%,8,11%,21,100%,
28,2020,2020-11-15,10,10,27.014,TAM,@,CAR,W 46-23,,,0,0,,,,,,,0,0%,0,0%,32,100%,
29,2020,2020-11-23,11,11,27.022,TAM,,LAR,L 24-27,,,0,0,,,,,,,0,0%,2,3%,30,100%,
30,2020,2020-11-29,12,12,27.028,TAM,,KAN,L 24-27,,,0,0,,,,,,,0,0%,1,1%,24,83%,
31,2020,2020-12-13,13,14,27.042,TAM,,MIN,W 26-14,,,0,0,1.0,1,0,1,1,1,0,0%,22,28%,13,60%,
32,2020,2020-12-20,14,15,27.049,TAM,@,ATL,W 31-27,,,0,0,,,,,,,0,0%,0,0%,33,100%,
33,2020,2020-12-26,15,16,27.055,TAM,@,DET,W 47-7,,,0,0,,,,,,,0,0%,4,8%,28,93%,
34,2020,2021-01-03,16,17,27.063,TAM,,ATL,W 44-27,,,0,0,0.0,0,1,1,0,0,0,0%,5,7%,20,72%,
35,2021,2021-09-09,1,1,27.312,TAM,,DAL,W 31-29,,,0,0,,,,,,,0,0%,0,0%,25,74%,
36,2021,2021-09-19,2,2,27.322,TAM,,ATL,W 48-25,,,0,0,,,,,,,0,0%,0,0%,30,100%,
37,2021,2021-09-26,3,3,27.329,TAM,@,LAR,L 24-34,,,0,0,,,,,,,0,0%,0,0%,29,97%,
38,2021,2021-10-03,4,4,27.336,TAM,@,NWE,W 19-17,,,0,0,,,,,,,0,0%,1,2%,28,97%,
39,2021,2021-10-10,5,5,,TAM,,MIA,W 45-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,2021,2021-10-14,6,6,27.347,TAM,@,PHI,W 28-22,,,0,0,0.0,1,0,1,0,0,0,0%,0,0%,24,100%,
41,2021,2021-10-24,7,7,27.357,TAM,,CHI,W 38-3,,,0,0,,,,,,,0,0%,11,17%,25,100%,
42,2021,2021-10-31,8,8,27.364,TAM,@,NOR,L 27-36,,,0,0,0.0,0,1,1,0,0,0,0%,6,8%,29,100%,
43,2021,2021-11-14,9,10,28.013,TAM,@,WAS,L 19-29,,,0,0,,,,,,,0,0%,1,1%,25,100%,
44,2021,2021-11-22,10,11,28.021,TAM,,NYG,W 30-10,,,0,0,0.5,0,1,1,0,1,0,0%,2,3%,24,96%,
45,2021,2021-11-28,11,12,28.027,TAM,@,IND,W 38-31,,,0,0,0.0,0,0,0,0,1,0,0%,1,1%,31,100%,
46,2021,2021-12-05,12,13,28.034,TAM,@,ATL,W 30-17,,,0,0,,,,,,,0,0%,15,21%,26,100%,
47,2021,2021-12-12,13,14,28.041,TAM,,BUF,W 33-27,,,0,0,0.0,1,0,1,1,0,0,0%,8,10%,23,66%,
48,2021,2021-12-19,14,15,28.048,TAM,,NOR,L 0-9,,,0,0,,,,,,,0,0%,0,0%,25,93%,
49,2021,2021-12-26,15,16,,TAM,@,CAR,W 32-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
50,2021,2022-01-02,16,17,,TAM,@,NYJ,W 28-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
51,2021,2022-01-09,17,18,,TAM,,CAR,W 41-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
52,2022,2022-09-11,1,1,28.314,TAM,@,DAL,W 19-3,,,0,0,,,,,,,0,0%,0,0%,11,46%,
