Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2015,2015-09-13,,1,,BAL,@,DEN,L 13-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2015,2015-09-20,2,2,23.012,BAL,@,OAK,L 33-37,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,36,49%,7,21%,
3,2015,2015-09-27,3,3,23.019,BAL,,CIN,L 24-28,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,28,38%,0,0%,
4,2015,2015-10-01,4,4,23.023,BAL,@,PIT,W 23-20,,0,0,,0,2.0,4,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0%,19,30%,0,0%,
5,2015,2015-10-11,5,5,23.033,BAL,,CLE,L 30-33,,0,0,,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,70,80%,0,0%,
6,2015,2015-10-18,6,6,23.040,BAL,@,SFO,L 20-25,,0,0,,0,0.0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,18,31%,5,17%,
7,2015,2015-10-26,7,7,23.048,BAL,@,ARI,L 18-26,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,26,42%,6,21%,
8,2015,2015-11-01,8,8,23.054,BAL,,SDG,W 29-26,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,16,24%,5,16%,
9,2015,2015-11-15,9,10,23.068,BAL,,JAX,L 20-22,,0,0,,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,21,28%,5,17%,
10,2015,2015-11-22,10,11,23.075,BAL,,STL,W 16-13,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,15,25%,8,27%,
11,2015,2015-11-30,11,12,23.083,BAL,@,CLE,W 33-27,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,26%,11,32%,
12,2015,2015-12-06,12,13,23.089,BAL,@,MIA,L 13-15,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,12,25%,6,21%,
13,2015,2015-12-13,13,14,23.096,BAL,,SEA,L 6-35,,0,0,,0,0.0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,31,44%,11,46%,
14,2015,2015-12-20,14,15,23.103,BAL,,KAN,L 14-34,,0,0,,0,2.0,3,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0%,32,57%,18,62%,
15,2015,2015-12-27,15,16,23.110,BAL,,PIT,W 20-17,,1,15,15.00,0,1.0,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0%,34,56%,7,28%,
16,2015,2016-01-03,16,17,23.117,BAL,@,CIN,L 16-24,,0,0,,0,0.5,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,30,49%,9,32%,
17,2016,2016-09-11,1,1,24.003,BAL,,BUF,W 13-7,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,36,73%,2,9%,
18,2016,2016-09-18,2,2,24.010,BAL,@,CLE,W 25-20,,0,0,,0,0.0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,42,68%,0,0%,
19,2016,2016-09-25,3,3,24.017,BAL,@,JAX,W 19-17,,0,0,,0,0.0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0%,40,61%,0,0%,
20,2016,2016-10-02,4,4,24.024,BAL,,OAK,L 27-28,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,33,55%,4,12%,
21,2016,2016-10-09,5,5,24.031,BAL,,WAS,L 10-16,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,47,71%,7,25%,
22,2016,2016-10-16,6,6,24.038,BAL,@,NYG,L 23-27,*,0,0,,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,53,79%,11,34%,
23,2016,2016-10-23,7,7,24.045,BAL,@,NYJ,L 16-24,*,0,0,,0,0.0,0,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,68,100%,6,19%,
24,2016,2016-11-06,8,9,24.059,BAL,,PIT,W 21-14,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,49,71%,2,6%,
25,2016,2016-11-10,9,10,24.063,BAL,,CLE,W 28-7,*,0,0,,0,1.0,2,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0%,31,62%,1,4%,
26,2016,2016-11-20,10,11,24.073,BAL,@,DAL,L 17-27,*,0,0,,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,45,63%,7,24%,
27,2016,2016-11-27,,12,,BAL,,CIN,W 19-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,2016,2016-12-04,12,13,24.087,BAL,,MIA,W 38-6,,0,0,,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,11,18%,3,12%,
29,2016,2016-12-12,,14,,BAL,@,NWE,L 23-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,2016,2016-12-18,,15,,BAL,,PHI,W 27-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,2016,2016-12-25,15,16,24.108,BAL,@,PIT,L 27-31,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,12,21%,6,19%,
32,2016,2017-01-01,16,17,24.115,BAL,@,CIN,L 10-27,,0,0,,0,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,27,40%,6,24%,
33,2017,2017-09-10,1,1,25.002,BAL,@,CIN,W 20-0,,0,0,,0,1.0,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,7,11%,0,0%,
34,2017,2017-09-17,,2,,BAL,,CLE,W 24-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,2017,2017-09-24,3,3,25.016,BAL,@,JAX,L 7-44,*,0,0,,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,43,59%,8,26%,
36,2017,2017-10-01,4,4,25.023,BAL,,PIT,L 9-26,,0,0,,0,0.0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0%,50,66%,5,20%,
37,2017,2017-10-08,5,5,25.030,BAL,@,OAK,W 30-17,*,0,0,,0,0.0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,37,66%,6,22%,
38,2017,2017-10-15,6,6,25.037,BAL,,CHI,L 24-27,,0,0,,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,40,50%,5,14%,
39,2017,2017-10-22,7,7,25.044,BAL,@,MIN,L 16-24,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,35,53%,8,26%,
40,2017,2017-10-26,8,8,25.048,BAL,,MIA,W 40-0,,0,0,,0,0.5,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,43,65%,5,17%,
41,2017,2017-11-05,9,9,25.058,BAL,@,TEN,L 20-23,,0,0,,0,0.0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,27,52%,9,31%,
42,2017,2017-11-19,10,11,25.072,BAL,@,GNB,W 23-0,*,0,0,,0,0.0,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0%,41,60%,0,0%,
43,2017,2017-11-27,11,12,25.080,BAL,,HOU,W 23-16,,0,0,,0,0.0,2,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0%,33,49%,4,13%,
44,2017,2017-12-03,12,13,25.086,BAL,,DET,W 44-20,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,32,51%,3,9%,
45,2017,2017-12-10,,14,,BAL,@,PIT,L 38-39,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,2017,2017-12-17,14,15,25.100,BAL,@,CLE,W 27-10,,0,0,,0,1.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0%,49,78%,2,8%,
47,2017,2017-12-23,15,16,25.106,BAL,,IND,W 23-16,,0,0,,0,1.0,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,41,66%,9,33%,
48,2017,2017-12-31,16,17,25.114,BAL,,CIN,L 27-31,*,0,0,,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,54,68%,5,13%,
49,2018,2018-09-09,1,1,26.001,BAL,,BUF,W 47-3,*,0,0,,0,1.0,4,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0%,36,56%,1,3%,
50,2018,2018-09-13,2,2,26.005,BAL,@,CIN,L 23-34,,0,0,,0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,54,71%,6,20%,
51,2018,2018-09-23,3,3,26.015,BAL,,DEN,W 27-14,,0,0,,0,1.0,1,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0%,37,54%,2,7%,
52,2018,2018-09-30,4,4,26.022,BAL,@,PIT,W 26-14,*,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,74%,2,7%,
53,2018,2018-10-07,5,5,26.029,BAL,@,CLE,L 9-12,,0,0,,0,0.5,2,4,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0%,63,79%,4,12%,
54,2018,2018-10-14,6,6,26.036,BAL,@,TEN,W 21-0,,0,0,,0,3.0,4,1,5,3,2,0,0,0,0,0,0,1,0,0,0,0,0%,22,50%,0,0%,
55,2018,2018-10-21,7,7,26.043,BAL,,NOR,L 23-24,,0,0,,0,0.0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,43,61%,4,17%,
56,2018,2018-10-28,8,8,26.050,BAL,@,CAR,L 21-36,,0,0,,0,0.0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,36,55%,0,0%,
57,2018,2018-11-04,9,9,26.057,BAL,,PIT,L 16-23,*,0,0,,0,0.0,2,2,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,64,79%,1,4%,
58,2018,2018-11-18,10,11,26.071,BAL,,CIN,W 24-21,*,0,0,,0,0.0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,43,78%,0,0%,
59,2018,2018-11-25,11,12,26.078,BAL,,OAK,W 34-17,*,0,0,,0,0.0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,35,60%,0,0%,
60,2018,2018-12-02,12,13,26.085,BAL,@,ATL,W 26-16,*,0,0,,0,1.0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,36,68%,4,14%,
61,2018,2018-12-09,13,14,26.092,BAL,@,KAN,L 24-27,*,0,0,,0,0.5,2,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0%,59,69%,1,3%,
62,2018,2018-12-16,14,15,26.099,BAL,,TAM,W 20-12,,0,0,,0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,31,62%,1,4%,
63,2018,2018-12-22,15,16,26.105,BAL,@,LAC,W 22-10,,0,0,,0,1.5,4,1,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0%,41,65%,0,0%,
64,2018,2018-12-30,16,17,26.113,BAL,,CLE,W 26-24,*,0,0,,0,0.0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,75%,0,0%,
65,2019,2019-09-05,1,1,26.362,GNB,@,CHI,W 10-3,*,0,0,,0,1.0,3,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0%,65,92%,4,16%,
66,2019,2019-09-15,2,2,27.007,GNB,,MIN,W 21-16,*,0,0,,0,0.0,3,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,56,86%,6,21%,
67,2019,2019-09-22,3,3,27.014,GNB,,DEN,W 27-16,*,0,0,,0,2.0,2,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0%,59,81%,6,23%,
68,2019,2019-09-26,4,4,27.018,GNB,,PHI,L 27-34,*,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,47,76%,5,19%,
69,2019,2019-10-06,5,5,27.028,GNB,@,DAL,W 34-24,*,0,0,,0,2.0,3,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0%,51,72%,7,21%,
70,2019,2019-10-14,6,6,27.036,GNB,,DET,W 23-22,*,0,0,,0,1.0,3,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,46,84%,6,19%,
71,2019,2019-10-20,7,7,27.042,GNB,,OAK,W 42-24,*,0,0,,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,49,74%,3,11%,
72,2019,2019-10-27,8,8,27.049,GNB,@,KAN,W 31-24,*,0,0,,0,2.0,4,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0%,46,78%,6,22%,
73,2019,2019-11-03,9,9,27.056,GNB,@,LAC,L 11-26,*,0,0,,0,0.5,5,2,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,56,79%,6,23%,
74,2019,2019-11-10,10,10,27.063,GNB,,CAR,W 24-16,*,0,0,,0,0.0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0%,63,88%,4,17%,
75,2019,2019-11-24,11,12,27.077,GNB,@,SFO,L 8-37,*,0,0,,0,1.5,5,1,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0%,40,83%,6,23%,
76,2019,2019-12-01,12,13,27.084,GNB,@,NYG,W 31-13,*,0,0,,0,0.0,3,1,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0%,57,86%,3,14%,
77,2019,2019-12-08,13,14,27.091,GNB,,WAS,W 20-15,*,0,0,,0,0.0,3,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0%,59,94%,3,12%,
78,2019,2019-12-15,14,15,27.098,GNB,,CHI,W 21-13,*,0,0,,0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,77,92%,5,18%,
79,2019,2019-12-23,15,16,27.106,GNB,@,MIN,W 23-10,*,0,0,,0,3.5,6,1,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0%,47,87%,4,15%,
80,2019,2019-12-29,16,17,27.112,GNB,@,DET,W 23-20,*,0,0,,0,0.0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,54,90%,1,3%,
81,2020,2020-09-13,1,1,28.005,GNB,@,MIN,W 43-34,*,0,0,,0,1.0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,43,83%,2,8%,
82,2020,2020-09-20,2,2,28.012,GNB,,DET,W 42-21,*,0,0,,0,1.0,3,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,56,95%,4,13%,
83,2020,2020-09-27,3,3,28.019,GNB,@,NOR,W 37-30,*,0,0,,0,0.0,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0%,56,92%,7,22%,
84,2020,2020-10-05,4,4,28.027,GNB,,ATL,W 30-16,*,0,0,,0,3.0,6,2,8,4,5,0,0,0,0,0,0,0,0,0,0,0,0%,64,92%,0,0%,
85,2020,2020-10-18,5,6,28.040,GNB,@,TAM,L 10-38,*,0,0,,0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,48,75%,4,13%,
86,2020,2020-10-25,6,7,28.047,GNB,@,HOU,W 35-20,*,0,0,,0,1.0,2,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,50,74%,0,0%,
87,2020,2020-11-01,7,8,28.054,GNB,,MIN,L 22-28,*,0,0,,0,0.0,3,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,47,90%,0,0%,
88,2020,2020-11-05,8,9,28.058,GNB,@,SFO,W 34-17,*,0,0,,0,1.0,2,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0%,32,56%,1,4%,
89,2020,2020-11-15,9,10,28.068,GNB,,JAX,W 24-20,*,0,0,,0,1.0,4,2,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,53,83%,1,3%,
90,2020,2020-11-22,10,11,28.075,GNB,@,IND,L 31-34,*,0,0,,0,0.0,4,2,6,1,2,0,0,0,1,0,0,0,0,0,0,0,0%,75,89%,0,0%,
91,2020,2020-11-29,11,12,28.082,GNB,,CHI,W 41-25,*,0,0,,0,1.0,1,1,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0%,63,93%,0,0%,
92,2020,2020-12-06,12,13,28.089,GNB,,PHI,W 30-16,*,0,0,,0,1.5,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,52,84%,1,4%,
93,2020,2020-12-13,13,14,28.096,GNB,@,DET,W 31-24,*,0,0,,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,58,87%,0,0%,
94,2020,2020-12-19,14,15,28.102,GNB,,CAR,W 24-16,*,0,0,,0,1.0,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,60,87%,1,4%,
95,2020,2020-12-27,15,16,28.110,GNB,,TEN,W 40-14,*,0,0,,0,1.0,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0%,35,64%,1,5%,
96,2020,2021-01-03,16,17,28.117,GNB,@,CHI,W 35-16,*,0,0,,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,66,88%,0,0%,
97,2021,2021-09-12,1,1,29.004,GNB,@,NOR,L 3-38,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,29%,0,0%,
98,2021,2021-09-20,2,2,,GNB,,DET,W 35-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
