Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
1,2014,2014-09-07,1,1,23.044,DEN,,IND,W 31-24,,0,0,,0,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,38%,
2,2014,2014-09-14,2,2,23.051,DEN,,KAN,W 24-17,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,0,,0,,0,,0,0,0%,0,0%,9,41%,
3,2014,2014-09-21,3,3,23.058,DEN,@,SEA,L 20-26,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,0,,0,,0,,0,0,0%,0,0%,7,22%,
4,2014,2014-10-05,4,5,23.072,DEN,,ARI,W 41-20,,0,0,,0,5,5,100.0,2,3,66.7,0,11,0.0,0,0,0,,,0,0,,0,0,,0,,0,,0,0,0%,0,0%,16,39%,
5,2014,2014-10-12,5,6,23.079,DEN,@,NYJ,W 31-17,,0,0,,0,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,32%,
6,2014,2014-10-19,6,7,23.086,DEN,,SFO,W 42-17,,0,0,,0,6,6,100.0,,,,0,6,0.0,0,0,0,,,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,43%,
7,2014,2014-10-23,7,8,23.090,DEN,,SDG,W 35-21,,0,0,,0,5,5,100.0,,1,0.0,0,5,0.0,0,0,0,,,0,0,,0,0,,0,,0,,0,0,0%,0,0%,12,44%,
8,2014,2014-11-02,8,9,23.100,DEN,@,NWE,L 21-43,,0,0,,0,3,3,100.0,,1,0.0,0,3,0.0,0,0,0,,,0,0,,0,0,,0,,0,,0,0,0%,0,0%,8,24%,
9,2014,2014-11-09,9,10,23.107,DEN,@,OAK,W 41-17,,0,0,,0,5,5,100.0,2,2,100.0,0,11,0.0,0,0,0,,,0,0,,0,0,,0,,0,,0,0,0%,0,0%,15,42%,
10,2014,2014-11-16,10,11,23.114,DEN,@,STL,L 7-22,,0,0,,0,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0,,0,0,,0,,0,,0,0,0%,0,0%,3,11%,
11,2014,2014-11-23,11,12,23.121,DEN,,MIA,W 39-36,,0,0,,0,4,4,100.0,1,2,50.0,0,7,0.0,0,0,0,,,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,48%,
12,2014,2014-12-07,13,14,23.135,DEN,,BUF,W 24-17,,,,,,,,,,,,0,0,0.0,,,,,,0,0,,,,,,,,,,0,0%,0,0%,5,23%,
13,2014,2014-12-14,14,15,23.142,DEN,@,SDG,W 22-10,,,,,,,,,,,,0,0,0.0,,,,,,0,0,,,,,,,,,,0,0%,0,0%,7,26%,
14,2014,2014-12-22,15,16,23.150,DEN,@,CIN,L 28-37,,,,,,,,,,,,0,0,0.0,,,,,,0,0,,,,,,,,,,0,0%,0,0%,5,14%,
15,2014,2014-12-28,16,17,23.156,DEN,,OAK,W 47-14,,,,,,,,,,,,0,0,0.0,,,,,,0,0,,,,,,,,,,0,0%,0,0%,10,28%,
16,2015,2015-09-13,1,1,24.050,DEN,,BAL,W 19-13,,0,0,,0,1,1,100.0,4,4,100.0,0,13,0.0,0,0,0,,,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,38%,
17,2015,2015-09-17,2,2,24.054,DEN,@,KAN,W 31-24,,0,0,,0,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,35%,
18,2015,2015-09-27,3,3,24.064,DEN,@,DET,W 24-12,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,0,,0,,0,,0,0,0%,0,0%,10,42%,
19,2015,2015-10-04,4,4,24.071,DEN,,MIN,W 23-20,,0,0,,0,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,38%,
20,2015,2015-10-11,5,5,24.078,DEN,@,OAK,W 16-10,,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,1,41,41.00,0,21,21.0,1,100.0%,0,0.0%,0,0,0%,0,0%,10,38%,
21,2015,2015-10-18,6,6,24.085,DEN,@,CLE,W 26-23,,0,0,,0,2,2,100.0,4,5,80.0,0,14,0.0,0,0,0,,,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,35%,
22,2015,2015-11-01,7,8,24.099,DEN,,GNB,W 29-10,,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,44%,
