Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,23.122,GNB,@,MIN,L 7-23,*,4,2,34,17.00,0,50.0%,8.50,1,7,7.00,0,0,0,,0,,0,0,40,66%,0,0%,1,4%,
2,2022,2022-09-18,2,2,23.129,GNB,,CHI,W 27-10,,3,3,9,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,,0,0,22,32%,0,0%,3,14%,
3,2022,2022-09-25,3,3,,GNB,@,TAM,W 14-12,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2022,2022-10-02,4,4,23.143,GNB,,NWE,W 27-24,,3,1,8,8.00,0,33.3%,2.67,1,15,15.00,1,0,0,,0,,1,6,18,25%,0,0%,6,19%,
5,2022,2022-10-09,5,5,23.150,GNB,,NYG,L 22-27,,1,1,1,1.00,0,100.0%,1.00,1,-3,-3.00,0,2,35,17.50,0,,0,0,18,29%,0,0%,4,15%,
6,2022,2022-10-16,6,6,,GNB,,NYJ,L 10-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2022,2022-10-23,7,7,,GNB,@,WAS,L 21-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2022,2022-10-30,8,8,23.171,GNB,@,BUF,L 17-27,*,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,,0,0,6,9%,0,0%,0,0%,
9,2022,2022-11-06,9,9,23.178,GNB,@,DET,L 9-15,*,2,2,24,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,,0,0,17,23%,0,0%,0,0%,
10,2022,2022-11-13,10,10,23.185,GNB,,DAL,W 31-28,*,8,4,107,26.75,3,50.0%,13.38,0,0,,0,0,0,,0,,3,18,54,84%,0,0%,0,0%,
11,2022,2022-11-17,11,11,23.189,GNB,,TEN,L 17-27,*,6,4,48,12.00,2,66.7%,8.00,1,3,3.00,0,0,0,,0,,2,12,49,80%,0,0%,0,0%,
12,2022,2022-11-27,12,12,23.199,GNB,@,PHI,L 33-40,*,6,4,110,27.50,1,66.7%,18.33,0,0,,0,0,0,,0,,1,6,45,92%,0,0%,0,0%,
13,2022,2022-12-04,13,13,23.206,GNB,@,CHI,W 28-19,*,7,3,48,16.00,1,42.9%,6.86,1,46,46.00,1,0,0,,0,,2,12,61,92%,0,0%,0,0%,
14,2022,2022-12-19,14,15,23.221,GNB,,LAR,W 24-12,*,6,4,46,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,,0,0,62,87%,0,0%,0,0%,
15,2022,2022-12-25,15,16,23.227,GNB,@,MIA,W 26-20,*,8,6,49,8.17,0,75.0%,6.13,0,0,,0,0,0,,0,,0,0,25,38%,0,0%,0,0%,
16,2022,2023-01-01,16,17,23.234,GNB,,MIN,W 41-17,*,5,1,11,11.00,0,20.0%,2.20,0,0,,0,0,0,,0,,0,0,38,60%,0,0%,0,0%,
17,2022,2023-01-08,17,18,23.241,GNB,,DET,L 16-20,*,6,5,104,20.80,0,83.3%,17.33,2,12,6.00,0,0,0,,0,,0,0,52,87%,0,0%,0,0%,
18,2023,2023-09-10,1,1,,GNB,@,CHI,W 38-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
