Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,23.148,NYG,@,DAL,L 17-35,,2,46,23.00,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,9,13%,20,77%,
2,2019,2019-09-15,2,2,23.155,NYG,,BUF,L 14-28,,2,40,20.00,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,20,71%,
3,2019,2019-09-22,3,3,23.162,NYG,@,TAM,W 32-31,,1,22,22.00,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,25,74%,
4,2019,2019-09-29,4,4,23.169,NYG,,WAS,W 24-3,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,15,75%,
5,2019,2019-10-06,5,5,23.176,NYG,,MIN,L 10-28,,2,76,38.00,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,18,75%,
6,2019,2019-10-10,6,6,23.180,NYG,@,NWE,L 14-35,,2,53,26.50,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,1%,19,73%,
7,2019,2019-10-20,,7,,NYG,,ARI,L 21-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2019,2019-10-27,,8,,NYG,@,DET,L 26-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2019,2019-11-04,9,9,23.205,NYG,,DAL,L 18-37,,0,0,,0,0,0,,0,0.0,3,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,53,77%,3,10%,
10,2019,2019-11-10,10,10,23.211,NYG,@,NYJ,L 27-34,*,1,19,19.00,0,0,0,,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,68%,2,6%,
11,2019,2019-11-24,11,12,23.225,NYG,@,CHI,L 14-19,*,0,0,,0,0,0,,0,0.0,8,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,84%,2,7%,
12,2019,2019-12-01,12,13,23.232,NYG,,GNB,L 13-31,,0,0,,0,0,0,,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,14,22%,4,18%,
13,2019,2019-12-09,,14,,NYG,@,PHI,L 17-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,2019,2019-12-15,14,15,23.246,NYG,,MIA,W 36-20,,0,0,,0,0,0,,0,0.0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,62,87%,0,0%,
15,2019,2019-12-22,15,16,23.253,NYG,@,WAS,W 41-35,,0,0,,0,0,0,,0,0.0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,54,77%,0,0%,
16,2019,2019-12-29,16,17,23.260,NYG,,PHI,L 17-34,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,8,24%,
17,2020,2020-09-14,1,1,24.154,NYG,,PIT,L 16-26,*,0,0,,0,0,0,,0,0.0,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,59,92%,6,23%,
18,2020,2020-09-20,2,2,24.160,NYG,@,CHI,L 13-17,*,0,0,,0,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,29,45%,7,32%,
