Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct
1,2023,2023-09-10,1,1,24.212,GNB,@,CHI,W 38-20,,5,249,49.80,16,193,38.6,2,40.0%,1,20.0%,0,0,0%,0,0%,11,39%
2,2023,2023-09-17,2,2,24.219,GNB,@,ATL,L 24-25,,4,199,49.75,20,159,39.8,1,25.0%,0,0.0%,0,0,0%,0,0%,8,30%
3,2023,2023-09-24,3,3,24.226,GNB,,NOR,W 18-17,,4,153,38.25,76,77,19.3,0,0.0%,2,50.0%,0,0,0%,0,0%,6,24%
4,2023,2023-09-28,4,4,24.230,GNB,,DET,L 20-34,,5,259,51.80,36,223,44.6,0,0.0%,0,0.0%,0,0,0%,0,0%,7,23%
5,2023,2023-10-09,5,5,24.241,GNB,@,LVR,L 13-17,,4,184,46.00,6,178,44.5,0,0.0%,1,25.0%,0,0,0%,0,0%,7,29%
6,2023,2023-10-22,6,7,24.254,GNB,@,DEN,L 17-19,,3,155,51.67,11,124,41.3,1,33.3%,2,66.7%,0,0,0%,0,0%,7,28%
7,2023,2023-10-29,7,8,24.261,GNB,,MIN,L 10-24,,4,207,51.75,34,173,43.3,0,0.0%,0,0.0%,0,0,0%,0,0%,8,35%
8,2023,2023-11-05,8,9,24.268,GNB,,LAR,W 20-3,,4,174,43.50,49,125,31.3,0,0.0%,1,25.0%,0,0,0%,0,0%,9,39%
9,2023,2023-11-12,9,10,24.275,GNB,@,PIT,L 19-23,,4,179,44.75,20,159,39.8,0,0.0%,1,25.0%,0,0,0%,0,0%,8,28%
10,2023,2023-11-19,10,11,24.282,GNB,,LAC,W 23-20,,4,193,48.25,6,167,41.8,1,25.0%,2,50.0%,0,0,0%,0,0%,9,35%
11,2023,2023-11-23,11,12,24.286,GNB,@,DET,W 29-22,,4,152,38.00,0,152,38.0,0,0.0%,4,100.0%,0,0,0%,0,0%,9,39%
12,2023,2023-12-03,12,13,24.296,GNB,,KAN,W 27-19,,2,76,38.00,0,76,38.0,0,0.0%,2,100.0%,0,0,0%,0,0%,7,32%
13,2023,2023-12-11,13,14,24.304,GNB,@,NYG,L 22-24,,3,119,39.67,0,119,39.7,0,0.0%,1,33.3%,0,0,0%,0,0%,8,30%
14,2023,2023-12-17,14,15,24.310,GNB,,TAM,L 20-34,,2,94,47.00,13,81,40.5,0,0.0%,1,50.0%,0,0,0%,0,0%,6,24%
15,2023,2023-12-24,15,16,24.317,GNB,@,CAR,W 33-30,,3,142,47.33,0,142,47.3,0,0.0%,0,0.0%,0,0,0%,0,0%,9,30%
16,2023,2023-12-31,16,17,24.324,GNB,@,MIN,W 33-10,,2,99,49.50,4,95,47.5,0,0.0%,0,0.0%,0,0,0%,0,0%,8,33%
17,2023,2024-01-07,17,18,24.331,GNB,,CHI,W 17-9,,,,,,,,,,,,,0,0%,0,0%,4,22%
18,2024,2024-09-06,1,1,25.209,GNB,@,PHI,L 29-34,,2,74,37.00,0,74,37.0,0,0.0%,1,50.0%,0,0,0%,0,0%,10,32%
19,2024,2024-09-15,2,2,25.218,GNB,,IND,W 16-10,,3,139,46.33,0,139,46.3,0,0.0%,3,100.0%,0,0,0%,0,0%,8,36%
20,2024,2024-09-22,3,3,25.225,GNB,@,TEN,W 30-14,,5,244,48.80,24,180,36.0,2,40.0%,0,0.0%,0,0,0%,0,0%,13,47%
21,2024,2024-09-29,4,4,25.232,GNB,,MIN,L 29-31,,3,180,60.00,10,170,56.7,0,0.0%,2,66.7%,0,0,0%,0,0%,9,31%
22,2024,2024-10-06,5,5,25.239,GNB,@,LAR,W 24-19,,5,186,37.20,0,186,37.2,0,0.0%,1,20.0%,0,0,0%,0,0%,9,41%
23,2024,2024-10-13,6,6,25.246,GNB,,ARI,W 34-13,,1,46,46.00,0,46,46.0,0,0.0%,1,100.0%,0,0,0%,0,0%,8,30%
24,2024,2024-10-20,7,7,25.253,GNB,,HOU,W 24-22,,5,284,56.80,26,258,51.6,0,0.0%,0,0.0%,0,0,0%,0,0%,9,31%
25,2024,2024-10-27,8,8,25.260,GNB,@,JAX,W 30-27,,5,241,48.20,17,224,44.8,0,0.0%,3,60.0%,0,0,0%,0,0%,11,33%
26,2024,2024-11-03,9,9,25.267,GNB,,DET,L 14-24,,2,84,42.00,0,84,42.0,0,0.0%,2,100.0%,0,0,0%,0,0%,6,27%
27,2024,2024-11-17,10,11,25.281,GNB,@,CHI,W 20-19,,1,47,47.00,0,47,47.0,0,0.0%,1,100.0%,0,0,0%,0,0%,3,17%
28,2024,2024-11-24,11,12,25.288,GNB,,SFO,W 38-10,,4,195,48.75,69,126,31.5,0,0.0%,1,25.0%,0,0,0%,0,0%,10,40%
