Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,22.086,GNB,@,CHI,W 38-20,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,37,62%,0,0%,0,0%,
2,2023,2023-09-17,2,2,22.093,GNB,@,ATL,L 24-25,*,4,2,40,20.00,1,50.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,25,50%,0,0%,0,0%,
3,2023,2023-09-24,3,3,22.100,GNB,,NOR,W 18-17,*,6,4,45,11.25,0,66.7%,7.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,52,66%,0,0%,0,0%,
4,2023,2023-09-28,4,4,22.104,GNB,,DET,L 20-34,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,33,58%,0,0%,0,0%,
5,2023,2023-10-09,5,5,22.115,GNB,@,LVR,L 13-17,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,13,22%,0,0%,0,0%,
6,2023,2023-10-22,6,7,22.128,GNB,@,DEN,L 17-19,,1,1,17,17.00,0,100.0%,17.00,1,1,1.00,0,1,1,100.00,14,0,0,118.7,0,0,14.00,14.00,0,0,0,0,0,0,0,0,14,22%,0,0%,0,0%,
7,2023,2023-10-29,7,8,22.135,GNB,,MIN,L 10-24,,4,2,28,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,23,34%,0,0%,0,0%,
8,2023,2023-11-05,8,9,22.142,GNB,,LAR,W 20-3,,4,4,49,12.25,0,100.0%,12.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,1,0,0,0,0,23,32%,0,0%,1,4%,
9,2023,2023-11-12,9,10,22.149,GNB,@,PIT,L 19-23,,4,3,51,17.00,0,75.0%,12.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0,0,0,0,30,44%,0,0%,0,0%,
10,2023,2023-11-19,10,11,22.156,GNB,,LAC,W 23-20,,5,3,91,30.33,0,60.0%,18.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,24,33%,0,0%,0,0%,
11,2023,2023-11-23,11,12,,GNB,@,DET,W 29-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,2023,2023-12-03,12,13,22.170,GNB,,KAN,W 27-19,,4,3,43,14.33,0,75.0%,10.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,25,39%,0,0%,0,0%,
13,2023,2023-12-11,13,14,22.178,GNB,@,NYG,L 22-24,*,6,2,20,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,43,63%,0,0%,0,0%,
14,2023,2023-12-17,14,15,22.184,GNB,,TAM,L 20-34,*,7,6,97,16.17,0,85.7%,13.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0,1,0,0,47,78%,0,0%,0,0%,
15,2023,2023-12-24,15,16,22.191,GNB,@,CAR,W 33-30,*,2,2,29,14.50,1,100.0%,14.50,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,26,39%,0,0%,0,0%,
16,2023,2023-12-31,16,17,,GNB,@,MIN,W 33-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,2023,2024-01-07,17,18,22.205,GNB,,CHI,W 17-9,*,7,6,61,10.17,2,85.7%,8.71,0,0,,0,0,0,,0,0,0,,0,0,,,2,12,0,0,0,0,0,0,43,72%,0,0%,0,0%,
18,2024,2024-09-06,1,1,23.082,GNB,@,PHI,L 29-34,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,31,46%,0,0%,0,0%,
19,2024,2024-09-15,2,2,23.091,GNB,,IND,W 16-10,,4,3,26,8.67,1,75.0%,6.50,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,36,51%,0,0%,0,0%,
20,2024,2024-09-22,3,3,23.098,GNB,@,TEN,W 30-14,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,29,46%,0,0%,0,0%,
21,2024,2024-09-29,4,4,23.105,GNB,,MIN,L 29-31,,13,5,78,15.60,2,38.5%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,2,12,0,0,0,0,0,0,58,76%,0,0%,0,0%,
22,2024,2024-10-06,5,5,23.112,GNB,@,LAR,W 24-19,*,7,2,20,10.00,0,28.6%,2.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,45,76%,0,0%,0,0%,
23,2024,2024-10-13,6,6,23.119,GNB,,ARI,W 34-13,,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,10,14%,0,0%,0,0%,
24,2024,2024-10-20,7,7,23.126,GNB,,HOU,W 24-22,,6,3,48,16.00,1,50.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,24,41%,0,0%,0,0%,
25,2024,2024-10-27,8,8,23.133,GNB,@,JAX,W 30-27,,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,21,30%,0,0%,0,0%,
26,2024,2024-11-03,9,9,23.140,GNB,,DET,L 14-24,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,35,54%,0,0%,0,0%,
27,2024,2024-11-17,10,11,23.154,GNB,@,CHI,W 20-19,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,16,35%,0,0%,0,0%,
28,2024,2024-11-24,11,12,23.161,GNB,,SFO,W 38-10,,2,1,25,25.00,0,50.0%,12.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,28,39%,0,0%,0,0%,
