Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-06,1.0,1.0,23.04,GNB,@,PHI,L 29-34,,,,,,,,,,,,,,,,,,0,0%,0,0%,16,52%,
2.0,2024.0,2024-09-15,2.0,2.0,23.049,GNB,,IND,W 16-10,,0.0,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0%,20,36%,11,50%,
3.0,2024.0,2024-09-22,3.0,3.0,23.056,GNB,@,TEN,W 30-14,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,7%,13,47%,
4.0,2024.0,2024-09-29,4.0,4.0,23.063,GNB,,MIN,L 29-31,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,10,15%,15,52%,
5.0,2024.0,2024-10-06,5.0,5.0,23.07,GNB,@,LAR,W 24-19,*,0.0,4,6,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,78,100%,11,50%,
6.0,2024.0,2024-10-13,6.0,6.0,23.077,GNB,,ARI,W 34-13,,0.0,4,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0%,38,66%,11,41%,
7.0,2024.0,2024-10-20,7.0,7.0,23.084,GNB,,HOU,W 24-22,*,0.0,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,64,100%,16,55%,
8.0,2024.0,2024-10-27,8.0,8.0,23.091,GNB,@,JAX,W 30-27,*,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,32%,0,0%,
9.0,2024.0,2024-11-03,9.0,9.0,,GNB,,DET,L 14-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10.0,2024.0,2024-11-17,10.0,11.0,23.112,GNB,@,CHI,W 20-19,*,0.0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,71,99%,0,0%,
11.0,2024.0,2024-11-24,11.0,12.0,23.119,GNB,,SFO,W 38-10,,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,36,73%,7,28%,
