Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-06,1.0,1.0,23.094,GNB,@,PHI,L 29-34,,0,0%,0,0%,7,23%,
2.0,2024.0,2024-09-15,2.0,2.0,23.103,GNB,,IND,W 16-10,,0,0%,0,0%,5,23%,
3.0,2024.0,2024-09-22,3.0,3.0,23.11,GNB,@,TEN,W 30-14,,0,0%,0,0%,7,25%,
4.0,2024.0,2024-09-29,4.0,4.0,23.117,GNB,,MIN,L 29-31,,0,0%,0,0%,5,17%,
5.0,2024.0,2024-10-06,5.0,5.0,23.124,GNB,@,LAR,W 24-19,,0,0%,0,0%,4,18%,
6.0,2024.0,2024-10-13,6.0,6.0,23.131,GNB,,ARI,W 34-13,,0,0%,0,0%,2,7%,
7.0,2024.0,2024-10-20,7.0,7.0,,GNB,,HOU,W 24-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8.0,2024.0,2024-10-27,8.0,8.0,23.145,GNB,@,JAX,W 30-27,,0,0%,0,0%,4,12%,
9.0,2024.0,2024-11-03,9.0,9.0,23.152,GNB,,DET,L 14-24,,0,0%,0,0%,3,14%,
10.0,2024.0,2024-11-17,10.0,11.0,23.166,GNB,@,CHI,W 20-19,,0,0%,0,0%,2,11%,
11.0,2024.0,2024-11-24,11.0,12.0,,GNB,,SFO,W 38-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
