Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-09,1,1,21.210,OAK,,DEN,W 24-16,*,23,85,3.70,2,1,1,28,28.00,0,100.0%,28.00,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,40,73%,0,0%,0,0%,
2,2019,2019-09-15,2,2,21.216,OAK,,KAN,L 10-28,*,12,99,8.25,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,30,48%,0,0%,0,0%,
3,2019,2019-09-22,3,3,21.223,OAK,@,MIN,L 14-34,*,10,44,4.40,0,2,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,42%,0,0%,0,0%,
4,2019,2019-09-29,4,4,21.230,OAK,@,IND,W 31-24,*,17,79,4.65,0,2,2,29,14.50,0,100.0%,14.50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,53%,0,0%,0,0%,
5,2019,2019-10-06,5,5,21.237,OAK,,CHI,W 24-21,*,26,123,4.73,2,3,3,20,6.67,0,100.0%,6.67,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,49,68%,0,0%,0,0%,
6,2019,2019-10-20,6,7,21.251,OAK,@,GNB,L 24-42,*,21,124,5.90,0,3,3,10,3.33,0,100.0%,3.33,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,56%,0,0%,0,0%,
7,2019,2019-10-27,7,8,21.258,OAK,@,HOU,L 24-27,*,15,66,4.40,0,2,2,15,7.50,0,100.0%,7.50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,30,55%,0,0%,0,0%,
8,2019,2019-11-03,8,9,21.265,OAK,,DET,W 31-24,*,28,120,4.29,2,2,0,0,,0,0.0%,0.00,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,42,60%,0,0%,0,0%,
9,2019,2019-11-07,9,10,21.269,OAK,,LAC,W 26-24,*,16,71,4.44,1,5,3,30,10.00,0,60.0%,6.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,30,52%,0,0%,0,0%,
10,2019,2019-11-17,10,11,21.279,OAK,,CIN,W 17-10,*,23,112,4.87,0,3,3,12,4.00,0,100.0%,4.00,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,43,63%,0,0%,0,0%,
11,2019,2019-11-24,11,12,21.286,OAK,@,NYJ,L 3-34,*,10,34,3.40,0,1,1,2,2.00,0,100.0%,2.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,40%,0,0%,0,0%,
12,2019,2019-12-01,12,13,21.293,OAK,@,KAN,L 9-40,*,17,104,6.12,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,34,58%,0,0%,0,0%,
13,2019,2019-12-08,,14,,OAK,,TEN,L 21-42,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,2019,2019-12-15,14,15,21.307,OAK,,JAX,L 16-20,*,24,89,3.71,0,3,2,20,10.00,0,66.7%,6.67,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,57%,0,0%,0,0%,
15,2019,2019-12-22,,16,,OAK,@,LAC,W 24-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,2019,2019-12-29,,17,,OAK,@,DEN,L 15-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,2020,2020-09-13,1,1,22.215,LVR,@,CAR,W 34-30,*,25,93,3.72,3,6,4,46,11.50,0,66.7%,7.67,3,18,0.0,0,0,0,0,0,0,0,0,0,0,0,49,78%,0,0%,0,0%,
18,2020,2020-09-21,2,2,22.223,LVR,,NOR,W 34-24,*,27,88,3.26,0,3,3,17,5.67,0,100.0%,5.67,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,66%,0,0%,0,0%,
19,2020,2020-09-27,3,3,22.229,LVR,@,NWE,L 20-36,*,16,71,4.44,0,4,3,12,4.00,0,75.0%,3.00,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,35,59%,0,0%,0,0%,
20,2020,2020-10-04,4,4,22.236,LVR,,BUF,L 23-30,*,15,48,3.20,0,4,3,25,8.33,0,75.0%,6.25,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,68%,0,0%,0,0%,
21,2020,2020-10-11,5,5,22.243,LVR,@,KAN,W 40-32,*,23,77,3.35,2,3,2,8,4.00,0,66.7%,2.67,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,45,64%,0,0%,0,0%,
22,2020,2020-10-25,6,7,22.257,LVR,,TAM,L 20-45,*,10,17,1.70,0,4,3,14,4.67,0,75.0%,3.50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,49%,0,0%,0,0%,
23,2020,2020-11-01,7,8,22.264,LVR,@,CLE,W 16-6,*,31,129,4.16,0,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,67%,0,0%,0,0%,
24,2020,2020-11-08,8,9,22.271,LVR,@,LAC,W 31-26,*,14,65,4.64,1,1,1,3,3.00,0,100.0%,3.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,29,57%,0,0%,0,0%,
25,2020,2020-11-15,9,10,22.278,LVR,,DEN,W 37-12,*,21,112,5.33,2,4,4,24,6.00,0,100.0%,6.00,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,43,60%,0,0%,0,0%,
26,2020,2020-11-22,10,11,22.285,LVR,,KAN,L 31-35,*,17,55,3.24,1,1,1,9,9.00,0,100.0%,9.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,44,75%,0,0%,0,0%,
27,2020,2020-11-29,11,12,22.292,LVR,@,ATL,L 6-43,*,7,27,3.86,0,3,3,17,5.67,0,100.0%,5.67,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,38,60%,0,0%,0,0%,
28,2020,2020-12-06,12,13,,LVR,@,NYJ,W 31-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,2020,2020-12-13,13,14,22.306,LVR,,IND,L 27-44,*,13,49,3.77,0,5,3,25,8.33,0,60.0%,5.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,43%,0,0%,0,0%,
30,2020,2020-12-17,14,15,22.310,LVR,,LAC,L 27-30,*,26,76,2.92,1,3,3,38,12.67,0,100.0%,12.67,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,52,68%,0,0%,0,0%,
31,2020,2020-12-26,15,16,22.319,LVR,,MIA,L 25-26,*,13,69,5.31,0,2,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,50%,0,0%,0,0%,
