Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-12,1,1,23.058,GNB,@,NOR,L 3-38,*,0,0,0,0,0,0,57,100%,0,0%,0,0%,
2,2021,2021-09-20,2,2,23.066,GNB,,DET,W 35-17,*,,,,,,,65,100%,0,0%,0,0%,
3,2021,2021-09-26,3,3,23.072,GNB,@,SFO,W 30-28,*,,,,,,,63,100%,0,0%,0,0%,
4,2021,2021-10-03,4,4,23.079,GNB,,PIT,W 27-17,*,,,,,,,72,100%,0,0%,0,0%,
5,2021,2021-10-10,5,5,,GNB,@,CIN,W 25-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2021,2021-10-17,6,6,23.093,GNB,@,CHI,W 24-14,*,,,,,,,4,7%,0,0%,0,0%,
7,2021,2021-10-24,7,7,,GNB,,WAS,W 24-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,2021,2021-10-28,8,8,,GNB,@,ARI,W 24-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,2021,2021-11-07,9,9,,GNB,@,KAN,L 7-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,2021,2021-11-14,10,10,,GNB,,SEA,W 17-0,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,2021,2021-11-21,11,11,,GNB,@,MIN,L 31-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
