Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1,2023,2023-09-10,1,1,23.125,GNB,@,CHI,W 38-20,,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,29,39%,2,7%
2,2023,2023-09-17,2,2,23.132,GNB,@,ATL,L 24-25,,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,23,28%,6,22%
3,2023,2023-09-24,3,3,23.139,GNB,,NOR,W 18-17,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,28,46%,5,20%
4,2023,2023-09-28,4,4,23.143,GNB,,DET,L 20-34,,1.0,2,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0%,31,41%,7,23%
5,2023,2023-10-09,5,5,23.154,GNB,@,LVR,L 13-17,,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,19,30%,5,21%
6,2023,2023-10-22,6,7,23.167,GNB,@,DEN,L 17-19,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,26,44%,8,32%
7,2023,2023-10-29,7,8,23.174,GNB,,MIN,L 10-24,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,23,32%,8,35%
8,2023,2023-11-05,8,9,23.181,GNB,,LAR,W 20-3,,0.0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,23,40%,6,26%
9,2023,2023-11-12,9,10,23.188,GNB,@,PIT,L 19-23,,,,,,,,,,,,,,,,,,0,0%,14,22%,9,31%
10,2023,2023-11-19,10,11,23.195,GNB,,LAC,W 23-20,,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,25,38%,7,27%
11,2023,2023-11-23,11,12,23.199,GNB,@,DET,W 29-22,,0.0,1,1,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0%,30,36%,4,17%
12,2023,2023-12-03,12,13,23.209,GNB,,KAN,W 27-19,,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,24,36%,4,18%
13,2023,2023-12-11,13,14,23.217,GNB,@,NYG,L 22-24,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,24,43%,9,33%
14,2023,2023-12-17,14,15,23.223,GNB,,TAM,L 20-34,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,12,19%,7,28%
15,2023,2023-12-24,15,16,23.230,GNB,@,CAR,W 33-30,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,17,26%,8,27%
16,2023,2023-12-31,16,17,23.237,GNB,@,MIN,W 33-10,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0%,14,26%,6,25%
17,2023,2024-01-07,17,18,23.244,GNB,,CHI,W 17-9,,1.0,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0%,18,38%,6,33%
18,2024,2024-09-06,1,1,24.121,GNB,@,PHI,L 29-34,,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,20,26%,8,26%
19,2024,2024-09-15,2,2,24.130,GNB,,IND,W 16-10,,,,,,,,,,,,,,,,,,0,0%,23,41%,3,14%
20,2024,2024-09-22,3,3,24.137,GNB,@,TEN,W 30-14,,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,26,48%,2,7%
21,2024,2024-09-29,4,4,24.144,GNB,,MIN,L 29-31,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,27,40%,5,17%
22,2024,2024-10-06,5,5,24.151,GNB,@,LAR,W 24-19,,1.5,1,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0%,46,59%,2,9%
23,2024,2024-10-13,6,6,24.158,GNB,,ARI,W 34-13,,0.0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0%,29,50%,8,30%
24,2024,2024-10-20,7,7,24.165,GNB,,HOU,W 24-22,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,22,34%,5,17%
25,2024,2024-10-27,8,8,24.172,GNB,@,JAX,W 30-27,,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,23,40%,5,15%
26,2024,2024-11-03,9,9,24.179,GNB,,DET,L 14-24,,,,,,,,,,,,,,,,,,0,0%,15,26%,8,36%
27,2024,2024-11-17,10,11,24.193,GNB,@,CHI,W 20-19,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,29,40%,6,33%
28,2024,2024-11-24,11,12,24.200,GNB,,SFO,W 38-10,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0%,20,41%,5,20%
