Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2016,2016-09-11,1,1,20.343,GNB,@,JAX,W 27-23,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,9,12%,5,18%,
2,2016,2016-09-18,2,2,20.350,GNB,@,MIN,L 14-17,,0.0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,38,66%,4,17%,
3,2016,2016-09-25,3,3,20.357,GNB,,DET,W 34-27,*,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,42,62%,12,41%,
4,2016,2016-10-09,4,5,21.005,GNB,,NYG,W 23-16,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0%,18,32%,9,30%,
5,2016,2016-10-16,5,6,21.012,GNB,,DAL,L 16-30,*,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,25,39%,6,24%,
6,2016,2016-10-20,6,7,21.016,GNB,,CHI,W 26-10,,0.0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,15,31%,2,8%,
7,2016,2016-10-30,7,8,21.026,GNB,@,ATL,L 32-33,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,25,40%,5,19%,
8,2016,2016-11-06,8,9,21.033,GNB,,IND,L 26-31,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,22,32%,5,16%,
9,2016,2016-11-13,9,10,21.040,GNB,@,TEN,L 25-47,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,22,37%,7,20%,
10,2016,2016-11-20,10,11,21.047,GNB,@,WAS,L 24-42,,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,24,36%,5,17%,
11,2016,2016-11-28,11,12,21.055,GNB,@,PHI,W 27-13,,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,13,22%,3,14%,
12,2016,2016-12-04,12,13,21.061,GNB,,HOU,W 21-13,,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,7,11%,2,9%,
13,2016,2016-12-11,13,14,21.068,GNB,,SEA,W 38-10,,0.0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,25,35%,2,7%,
14,2016,2016-12-18,14,15,21.075,GNB,@,CHI,W 30-27,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,13,20%,5,17%,
15,2016,2016-12-24,15,16,21.081,GNB,,MIN,W 38-25,,0.0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0%,20,26%,4,12%,
