Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1,2023,2023-09-10,1,1,22.066,GNB,@,CHI,W 38-20,,1.0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,35,47%,11,39%
2,2023,2023-09-17,2,2,22.073,GNB,@,ATL,L 24-25,,0.0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,22%,6,22%
3,2023,2023-09-24,3,3,22.080,GNB,,NOR,W 18-17,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,12,20%,0,0%
4,2023,2023-09-28,4,4,22.084,GNB,,DET,L 20-34,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,37,49%,0,0%
5,2023,2023-10-09,5,5,22.095,GNB,@,LVR,L 13-17,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,26,41%,2,8%
6,2023,2023-10-22,6,7,22.108,GNB,@,DEN,L 17-19,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,16,27%,7,28%
7,2023,2023-10-29,7,8,22.115,GNB,,MIN,L 10-24,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,26,36%,7,30%
8,2023,2023-11-05,8,9,22.122,GNB,,LAR,W 20-3,,0.0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,20,34%,7,30%
9,2023,2023-11-12,9,10,22.129,GNB,@,PIT,L 19-23,,0.0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,19,29%,10,34%
10,2023,2023-11-19,10,11,22.136,GNB,,LAC,W 23-20,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,12,18%,7,27%
11,2023,2023-11-23,11,12,22.140,GNB,@,DET,W 29-22,,0.0,3,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,28,33%,4,17%
12,2023,2023-12-03,12,13,22.150,GNB,,KAN,W 27-19,,1.0,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,25,37%,4,18%
13,2023,2023-12-11,13,14,22.158,GNB,@,NYG,L 22-24,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,14,25%,9,33%
14,2023,2023-12-17,14,15,22.164,GNB,,TAM,L 20-34,,1.0,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,26,42%,7,28%
15,2023,2023-12-24,15,16,22.171,GNB,@,CAR,W 33-30,,0.0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,20,30%,8,27%
16,2023,2023-12-31,16,17,22.178,GNB,@,MIN,W 33-10,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,19,36%,6,25%
17,2023,2024-01-07,17,18,22.185,GNB,,CHI,W 17-9,,1.0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,12,25%,6,33%
18,2024,2024-09-06,1,1,23.062,GNB,@,PHI,L 29-34,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,19,25%,11,35%
19,2024,2024-09-15,2,2,23.071,GNB,,IND,W 16-10,,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,20,36%,9,41%
20,2024,2024-09-22,3,3,23.078,GNB,@,TEN,W 30-14,,1.0,1,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0%,22,41%,12,43%
21,2024,2024-09-29,4,4,23.085,GNB,,MIN,L 29-31,,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,24,35%,12,41%
22,2024,2024-10-06,5,5,23.092,GNB,@,LAR,W 24-19,,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,42,54%,10,45%
23,2024,2024-10-13,6,6,23.099,GNB,,ARI,W 34-13,,,,,,,,,,,,,,,,,,0,0%,26,45%,9,33%
24,2024,2024-10-20,7,7,23.106,GNB,,HOU,W 24-22,,0.0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,35,55%,15,52%
25,2024,2024-10-27,8,8,23.113,GNB,@,JAX,W 30-27,,0.0,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,21,37%,25,76%
26,2024,2024-11-03,9,9,23.120,GNB,,DET,L 14-24,,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,24,42%,16,73%
27,2024,2024-11-17,10,11,23.134,GNB,@,CHI,W 20-19,,,,,,,,,,,,,,,,,,0,0%,25,35%,14,78%
28,2024,2024-11-24,11,12,23.141,GNB,,SFO,W 38-10,,1.0,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0%,18,37%,12,48%
