Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,23.191,GNB,@,CHI,W 38-20,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,29,48%,0,0%,4,14%,
2,2023,2023-09-17,2,2,23.198,GNB,@,ATL,L 24-25,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,10,20%,0,0%,7,26%,
3,2023,2023-09-24,3,3,23.205,GNB,,NOR,W 18-17,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,11,14%,0,0%,4,16%,
4,2023,2023-09-28,4,4,,GNB,,DET,L 20-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2023,2023-10-09,5,5,,GNB,@,LVR,L 13-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2023,2023-10-22,6,7,,GNB,@,DEN,L 17-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2023,2023-10-29,7,8,,GNB,,MIN,L 10-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2023,2023-11-05,8,9,23.247,GNB,,LAR,W 20-3,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,7,10%,0,0%,2,9%,
9,2023,2023-11-12,9,10,23.254,GNB,@,PIT,L 19-23,,,,,,,0.0%,,,,,,0,0,,,,,,,3,4%,0,0%,6,21%,
10,2023,2023-11-19,10,11,23.261,GNB,,LAC,W 23-20,,1,1,7,7.00,0,100.0%,7.00,1,1,1.00,0,0,0,0.0,2,0,2,0,0,15,21%,0,0%,10,38%,
