Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,22.126,GNB,@,MIN,L 7-23,*,0,0,0.0,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,38,61%,3,13%,
2,2022,2022-09-18,2,2,22.133,GNB,,CHI,W 27-10,*,0,0,0.0,3,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,32,78%,2,9%,
3,2022,2022-09-25,3,3,22.140,GNB,@,TAM,W 14-12,,0,0,0.0,3,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,55,85%,7,28%,
4,2022,2022-10-02,4,4,22.147,GNB,,NWE,W 27-24,*,0,0,0.0,5,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,50,86%,10,31%,
5,2022,2022-10-09,5,5,22.154,GNB,,NYG,L 22-27,*,0,0,0.0,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,52,85%,3,12%,
6,2022,2022-10-16,6,6,22.161,GNB,,NYJ,L 10-27,*,0,0,0.0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,38,69%,6,21%,
7,2022,2022-10-23,7,7,22.168,GNB,@,WAS,L 21-23,*,0,0,0.0,6,7,13,0,2,0,0,0,1,0,0,0,0,0,0,0,0%,54,73%,6,21%,
8,2022,2022-10-30,8,8,22.175,GNB,@,BUF,L 17-27,*,0,0,0.0,4,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,15,25%,1,5%,
9,2022,2022-11-06,9,9,22.182,GNB,@,DET,L 9-15,*,0,0,0.0,4,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,62,100%,4,31%,
10,2022,2022-11-13,10,10,22.189,GNB,,DAL,W 31-28,*,0,0,0.0,4,4,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,83,100%,8,27%,
11,2022,2022-11-17,11,11,22.193,GNB,,TEN,L 17-27,*,0,0,0.5,8,4,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,57,86%,8,36%,
12,2022,2022-11-27,12,12,22.203,GNB,@,PHI,L 33-40,*,0,0,0.0,4,7,11,0,0,0,0,0,0,0,0,0,1,63,0,0,0%,80,100%,9,29%,
13,2022,2022-12-04,13,13,22.210,GNB,@,CHI,W 28-19,*,0,0,0.0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,52,100%,3,13%,
14,2022,2022-12-19,14,15,22.225,GNB,,LAR,W 24-12,*,0,0,1.0,5,0,5,1,1,0,0,0,2,0,0,1,0,0,0,0,0%,43,96%,1,5%,
15,2022,2022-12-25,15,16,22.231,GNB,@,MIA,W 26-20,*,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,48,96%,2,8%,
16,2022,2023-01-01,16,17,22.238,GNB,,MIN,W 41-17,*,0,0,0.0,4,4,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,41,71%,3,11%,
17,2022,2023-01-08,17,18,22.245,GNB,,DET,L 16-20,*,0,0,0.0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,74%,2,8%,
18,2023,2023-09-10,1,1,23.125,GNB,@,CHI,W 38-20,*,1,6,0.0,1,3,4,1,0,1,37,1,1,0,0,0,0,0,0,0,0%,49,66%,6,21%,
19,2023,2023-09-17,2,2,23.132,GNB,@,ATL,L 24-25,*,0,0,0.0,8,9,17,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,82,100%,10,37%,
20,2023,2023-09-24,3,3,23.139,GNB,,NOR,W 18-17,*,0,0,0.0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,100%,9,36%,
21,2023,2023-09-28,4,4,23.143,GNB,,DET,L 20-34,*,0,0,0.0,10,9,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,75,100%,7,23%,
22,2023,2023-10-09,5,5,23.154,GNB,@,LVR,L 13-17,*,0,0,0.0,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,17,27%,1,4%,
23,2023,2023-10-22,6,7,23.167,GNB,@,DEN,L 17-19,*,0,0,0.0,4,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0%,59,100%,6,24%,
24,2023,2023-10-29,7,8,23.174,GNB,,MIN,L 10-24,*,0,0,0.0,7,3,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,72,100%,7,30%,
25,2023,2023-11-05,8,9,,GNB,,LAR,W 20-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,2023,2023-11-12,9,10,,GNB,@,PIT,L 19-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,2023,2023-11-19,10,11,23.195,GNB,,LAC,W 23-20,*,0,0,0.0,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,65,100%,5,19%,
28,2023,2023-11-23,11,12,23.199,GNB,@,DET,W 29-22,*,0,0,0.0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,84,100%,2,9%,
29,2023,2023-12-03,12,13,23.209,GNB,,KAN,W 27-19,*,0,0,0.0,4,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,67,100%,3,14%,
30,2023,2023-12-11,13,14,,GNB,@,NYG,L 22-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,2023,2023-12-17,14,15,23.223,GNB,,TAM,L 20-34,*,0,0,0.0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,51,82%,0,0%,
32,2023,2023-12-24,15,16,23.230,GNB,@,CAR,W 33-30,*,0,0,0.5,1,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,66,100%,0,0%,
33,2023,2023-12-31,16,17,23.237,GNB,@,MIN,W 33-10,*,0,0,1.0,2,4,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,53,100%,1,4%,
34,2023,2024-01-07,17,18,23.244,GNB,,CHI,W 17-9,*,0,0,1.0,6,3,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,48,100%,2,11%,
35,2024,2024-09-06,1,1,24.121,GNB,@,PHI,L 29-34,*,0,0,0.0,7,4,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,76,100%,6,19%,
36,2024,2024-09-15,2,2,24.130,GNB,,IND,W 16-10,*,0,0,0.0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,100%,3,14%,
37,2024,2024-09-22,3,3,24.137,GNB,@,TEN,W 30-14,*,0,0,0.5,3,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,54,100%,2,7%,
38,2024,2024-09-29,4,4,24.144,GNB,,MIN,L 29-31,*,0,0,1.0,6,2,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,68,100%,7,24%,
39,2024,2024-10-06,5,5,24.151,GNB,@,LAR,W 24-19,*,0,0,0.0,6,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,78,100%,2,9%,
40,2024,2024-10-13,6,6,24.158,GNB,,ARI,W 34-13,*,0,0,0.0,10,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,58,100%,4,15%,
41,2024,2024-10-20,7,7,24.165,GNB,,HOU,W 24-22,*,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,13,20%,2,7%,
42,2024,2024-10-27,8,8,,GNB,@,JAX,W 30-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,2024,2024-11-03,9,9,24.179,GNB,,DET,L 14-24,*,0,0,0.0,7,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,100%,4,18%,
44,2024,2024-11-17,10,11,24.193,GNB,@,CHI,W 20-19,*,0,0,0.0,5,3,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,72,100%,4,22%,
45,2024,2024-11-24,11,12,24.200,GNB,,SFO,W 38-10,*,0,0,0.0,6,1,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0%,43,88%,2,8%,
