Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Num,Pct,Num,Pct,Num,Pct
1,2021,2021-09-12,1,1,23.344,GNB,@,NOR,L 3-38,,0.0,2,0,2,0,0,0,0,0,0,0,0%,16,26%,6,27%
2,2021,2021-09-20,2,2,23.352,GNB,,DET,W 35-17,,0.0,1,0,1,0,0,0,0,0,0,0,0%,6,11%,3,13%
3,2021,2021-09-26,3,3,23.358,GNB,@,SFO,W 30-28,,0.5,0,1,1,0,1,0,0,0,0,0,0%,2,3%,4,15%
4,2021,2021-10-03,4,4,24.000,GNB,,PIT,W 27-17,,0.0,0,1,1,0,0,0,0,0,0,0,0%,9,15%,3,12%
5,2021,2021-10-10,5,5,24.007,GNB,@,CIN,W 25-22,,0.5,0,2,2,0,1,0,0,0,0,0,0%,13,19%,16,52%
6,2021,2021-10-17,6,6,24.014,GNB,@,CHI,W 24-14,,0.0,1,0,1,0,0,0,0,0,0,0,0%,7,11%,6,29%
7,2021,2021-10-24,7,7,24.021,GNB,,WAS,W 24-10,,0.0,0,0,0,0,0,0,0,0,0,0,0%,7,10%,8,42%
8,2021,2021-10-28,8,8,24.025,GNB,@,ARI,W 24-21,,0.0,0,1,1,0,0,0,0,0,0,0,0%,6,10%,7,32%
9,2021,2021-11-07,9,9,24.035,GNB,@,KAN,L 7-13,,0.0,3,1,4,0,0,0,0,0,0,0,0%,45,69%,9,41%
10,2021,2021-11-14,10,10,24.042,GNB,,SEA,W 17-0,,,,,,,,,,,,0,0%,12,20%,7,39%
11,2021,2021-11-21,11,11,24.049,GNB,@,MIN,L 31-34,,0.0,1,1,2,0,0,0,0,0,0,0,0%,17,24%,12,43%
12,2021,2021-11-28,12,12,24.056,GNB,,LAR,W 36-28,,,,,,,,,,,,0,0%,5,8%,12,33%
13,2021,2021-12-12,13,14,24.070,GNB,,CHI,W 45-30,,0.0,1,0,1,0,0,0,0,0,0,0,0%,7,11%,14,39%
14,2021,2021-12-19,14,15,24.077,GNB,@,BAL,W 31-30,,0.0,2,2,4,0,0,0,0,0,0,0,0%,25,36%,9,36%
15,2021,2021-12-25,15,16,24.083,GNB,,CLE,W 24-22,,0.0,1,0,1,0,0,0,0,0,0,0,0%,24,35%,7,30%
16,2021,2022-01-02,16,17,24.091,GNB,,MIN,W 37-10,,,,,,,,,,,,0,0%,21,39%,10,37%
17,2021,2022-01-09,17,18,24.098,GNB,@,DET,L 30-37,,0.0,2,0,2,0,0,0,0,0,0,0,0%,33,56%,10,36%
18,2022,2022-09-11,1,1,24.343,GNB,@,MIN,L 7-23,,0.0,0,1,1,0,0,0,0,0,0,0,0%,18,29%,6,26%
19,2022,2022-09-18,2,2,24.350,GNB,,CHI,W 27-10,,0.0,0,0,0,0,0,0,0,0,0,0,0%,14,34%,7,32%
20,2022,2022-09-25,3,3,24.357,GNB,@,TAM,W 14-12,,,,,,,,,,,,0,0%,13,20%,4,16%
21,2022,2022-10-02,4,4,24.364,GNB,,NWE,W 27-24,,0.0,1,0,1,0,0,0,0,0,0,0,0%,14,24%,9,28%
22,2022,2022-10-09,5,5,25.006,GNB,,NYG,L 22-27,,0.0,2,2,4,0,0,0,0,0,0,0,0%,25,41%,9,35%
23,2022,2022-10-16,6,6,25.013,GNB,,NYJ,L 10-27,,0.0,0,1,1,0,0,0,0,0,0,0,0%,20,36%,9,31%
24,2022,2022-10-23,7,7,25.020,GNB,@,WAS,L 21-23,,0.0,0,3,3,0,0,0,0,0,0,0,0%,24,32%,9,31%
25,2022,2022-10-30,8,8,25.027,GNB,@,BUF,L 17-27,,0.0,0,2,2,0,0,0,0,0,0,0,0%,22,37%,9,41%
26,2022,2022-11-06,9,9,25.034,GNB,@,DET,L 9-15,,0.0,1,0,1,0,0,0,0,0,0,0,0%,18,29%,3,23%
27,2022,2022-11-13,10,10,25.041,GNB,,DAL,W 31-28,,,,,,,,,,,,0,0%,21,25%,10,33%
28,2022,2022-11-17,11,11,25.045,GNB,,TEN,L 17-27,,0.0,2,0,2,0,0,0,0,0,0,0,0%,22,33%,6,27%
29,2022,2022-11-27,12,12,25.055,GNB,@,PHI,L 33-40,,0.0,1,2,3,0,0,0,0,0,0,0,0%,27,34%,13,42%
30,2022,2022-12-04,13,13,25.062,GNB,@,CHI,W 28-19,,0.0,1,0,1,0,0,0,0,0,0,0,0%,9,17%,9,38%
31,2022,2022-12-19,14,15,25.077,GNB,,LAR,W 24-12,,0.0,1,1,2,0,0,0,0,0,0,0,0%,10,22%,7,33%
32,2022,2022-12-25,15,16,25.083,GNB,@,MIA,W 26-20,,0.0,2,1,3,1,0,0,0,0,0,0,0%,20,40%,11,42%
33,2022,2023-01-01,16,17,25.090,GNB,,MIN,W 41-17,*,0.0,2,2,4,1,0,0,0,0,2,0,0%,24,41%,12,43%
