Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,,CAR,,CLE,L 24-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2022,2022-09-18,2,2,,CAR,@,NYG,L 16-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2022,2022-09-25,3,3,,CAR,,NOR,W 22-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2022,2022-10-02,4,4,,CAR,,ARI,L 16-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2022,2022-10-09,5,5,23.166,CAR,,SFO,L 15-37,,,,,,,,0,0%,1,1%,4,14%,
6,2022,2022-10-16,6,6,,CAR,@,LAR,L 10-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2022,2022-10-23,7,7,23.180,CAR,,TAM,W 21-3,,,,,,,,0,0%,3,4%,1,4%,
8,2022,2022-10-30,8,8,23.187,CAR,@,ATL,L 34-37,,0.0,2,0,2,0,0,0,0%,1,1%,8,23%,
9,2022,2022-11-06,9,9,23.194,CAR,@,CIN,L 21-42,,1.0,3,0,3,0,1,0,0%,12,16%,8,28%,
10,2022,2022-11-10,10,10,23.198,CAR,,ATL,W 25-15,,,,,,,,0,0%,2,3%,10,35%,
11,2022,2022-11-20,11,11,23.208,CAR,@,BAL,L 3-13,,0.0,1,0,1,1,0,0,0%,3,4%,6,26%,
12,2022,2022-11-27,12,12,23.215,CAR,,DEN,W 23-10,,0.0,0,0,0,0,0,0,0%,11,18%,17,57%,
13,2022,2022-12-11,13,14,23.229,CAR,@,SEA,W 30-24,,,,,,,,0,0%,1,2%,13,46%,
14,2022,2022-12-18,14,15,,CAR,,PIT,L 16-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,2022,2022-12-24,15,16,,CAR,,DET,W 37-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,2022,2023-01-01,16,17,,CAR,@,TAM,L 24-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,2022,2023-01-08,17,18,23.257,CAR,@,NOR,W 10-7,,1.0,2,1,3,1,1,0,0%,17,28%,6,30%,
18,2023,2023-09-10,1,1,24.137,CAR,@,ATL,L 10-24,,,,,,,,0,0%,0,0%,18,69%,
19,2023,2023-09-18,2,2,24.145,CAR,,NOR,L 17-20,,0.0,1,0,1,0,0,0,0%,2,3%,19,70%,
20,2023,2023-09-24,3,3,24.151,CAR,@,SEA,L 27-37,,0.0,0,0,0,0,0,0,0%,17,23%,20,57%,
21,2023,2023-10-01,4,4,24.158,CAR,,MIN,L 13-21,,,,,,,,0,0%,2,4%,15,68%,
