Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2016,2016-09-11,1,1,22.271,DAL,,NYG,L 19-20,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,13,23%,7,26%,
2,2016,2016-09-18,2,2,22.278,DAL,@,WAS,W 27-23,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,7,26%,
3,2016,2016-09-25,3,3,22.285,DAL,,CHI,W 31-17,*,0,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,86%,8,30%,
4,2016,2016-10-02,4,4,22.292,DAL,@,SFO,W 24-17,*,0,0,0.0,3,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,50,94%,10,40%,
5,2016,2016-10-09,5,5,22.299,DAL,,CIN,W 28-14,,0,0,0.0,4,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,58,83%,10,45%,
6,2016,2016-10-16,6,6,22.306,DAL,@,GNB,W 30-16,*,0,0,0.0,10,1,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0%,61,87%,10,40%,
7,2016,2016-10-30,7,8,22.320,DAL,,PHI,W 29-23,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,6,8%,12,33%,
8,2016,2016-11-06,8,9,22.327,DAL,@,CLE,W 35-10,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,31,70%,13,54%,
9,2016,2016-11-13,9,10,22.334,DAL,@,PIT,W 35-30,*,0,0,0.0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,63,85%,14,47%,
10,2016,2016-11-20,10,11,22.341,DAL,,BAL,W 27-17,,0,0,0.0,1,4,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,42,76%,8,28%,
11,2016,2016-11-24,11,12,22.345,DAL,,WAS,W 31-26,,0,0,0.0,7,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,59,79%,13,50%,
12,2016,2016-12-01,12,13,22.352,DAL,@,MIN,W 17-15,*,0,0,0.0,3,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,74,100%,12,43%,
13,2016,2016-12-11,13,14,22.362,DAL,@,NYG,L 7-10,*,0,0,0.0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0%,67,100%,10,37%,
14,2016,2016-12-18,14,15,23.003,DAL,,TAM,W 26-20,*,0,0,0.0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,59,98%,14,47%,
15,2016,2016-12-26,15,16,23.011,DAL,,DET,W 42-21,*,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,9,13%,3,10%,
16,2016,2017-01-01,16,17,23.017,DAL,@,PHI,L 13-27,*,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,67,88%,8,29%,
17,2017,2017-09-10,1,1,23.269,DAL,,NYG,W 19-3,,0,0,0.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0%,52,91%,11,46%,
