Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-09,,1,,CLE,,PIT,T 21-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2018,2018-09-16,2,2,23.011,CLE,@,NOR,L 18-21,,0.0,0,0,0,,,0,0,0,0,0,0,4,6%,0,0%,6,22%,
3,2018,2018-09-20,3,3,23.015,CLE,,NYJ,W 21-17,,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,3,10%,
4,2018,2018-09-30,,4,,CLE,@,OAK,L 42-45,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2018,2018-10-07,5,5,23.032,CLE,,BAL,W 12-9,*,0.0,0,0,0,,,0,0,0,0,0,0,3,4%,0,0%,4,12%,
6,2018,2018-10-14,6,6,23.039,CLE,,LAC,L 14-38,,0.0,0,0,0,,,0,0,0,0,0,0,1,1%,0,0%,2,7%,
7,2018,2018-10-21,7,7,23.046,CLE,@,TAM,L 23-26,,0.0,0,0,0,,,0,0,0,0,0,0,1,1%,0,0%,3,9%,
8,2018,2018-10-28,8,8,23.053,CLE,@,PIT,L 18-33,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,4,13%,
9,2018,2018-11-04,9,9,23.060,CLE,,KAN,L 21-37,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,1,4%,
10,2018,2018-11-11,10,10,23.067,CLE,,ATL,W 28-16,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,4,18%,
11,2018,2018-11-25,11,12,23.081,CLE,@,CIN,W 35-20,,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,5,20%,
12,2018,2018-12-02,,13,,CLE,@,HOU,L 13-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,2018,2018-12-09,,14,,CLE,,CAR,W 26-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,2018,2018-12-15,,15,,CLE,@,DEN,W 17-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,2018,2018-12-23,15,16,23.109,CLE,,CIN,W 26-18,,0.0,0,0,0,,,0,0,0,0,0,0,1,1%,0,0%,5,19%,
16,2018,2018-12-30,16,17,23.116,CLE,@,BAL,L 24-26,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,5,16%,
17,2019,2019-09-08,,1,,CLE,,TEN,L 13-43,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,2019,2019-09-16,,2,,CLE,@,NYJ,W 23-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,2019,2019-09-22,3,3,24.017,CLE,,LAR,L 13-20,,,,,,,,0,,,0,0,0,0,0%,0,0%,3,13%,
20,2019,2019-09-29,4,4,24.024,CLE,@,BAL,W 40-25,,,,,,,,0,,,0,0,0,1,1%,0,0%,6,21%,
21,2019,2019-10-07,5,5,24.032,CLE,@,SFO,L 3-31,,,,,,,,0,,,0,0,0,0,0%,0,0%,1,4%,
