Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,,CAR,@,ATL,L 10-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2023,2023-09-18,2,2,24.263,CAR,,NOR,L 17-20,,,,,,,,0,0%,0,0%,18,67%,
3,2023,2023-09-24,3,3,24.269,CAR,@,SEA,L 27-37,,,,,,,,0,0%,0,0%,21,60%,
4,2023,2023-10-01,4,4,24.276,CAR,,MIN,L 13-21,,,,,,,,0,0%,0,0%,15,68%,
5,2023,2023-10-08,5,5,24.283,CAR,@,DET,L 24-42,,,,,,,,0,0%,0,0%,15,56%,
6,2023,2023-10-15,6,6,24.290,CAR,@,MIA,L 21-42,,,,,,,,0,0%,0,0%,21,70%,
7,2023,2023-10-29,7,8,24.304,CAR,,HOU,W 15-13,,,,,,,,0,0%,0,0%,15,63%,
8,2023,2023-11-05,8,9,,CAR,,IND,L 13-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,2023,2023-11-09,9,10,,CAR,@,CHI,L 13-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,2023,2023-11-19,10,11,,CAR,,DAL,L 10-33,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,2023,2023-11-26,11,12,,CAR,@,TEN,L 10-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,2023,2023-12-03,12,13,,CAR,@,TAM,L 18-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,2023,2023-12-10,13,14,,CAR,@,NOR,L 6-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,2023,2023-12-17,14,15,,CAR,,ATL,W 9-7,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,2023,2023-12-24,15,16,,CAR,,GNB,L 30-33,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,2023,2023-12-31,16,17,,CAR,@,JAX,L 0-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,2023,2024-01-07,17,18,,CAR,,TAM,L 0-9,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,2024,2024-09-08,1,1,25.254,CAR,@,NOR,L 10-47,,0.0,1,0,1,0,0,0,0%,0,0%,19,64%,
19,2024,2024-09-15,2,2,25.261,CAR,,LAC,L 3-26,,,,,,,,0,0%,0,0%,18,76%,
20,2024,2024-09-22,3,3,25.268,CAR,@,LVR,W 36-22,,,,,,,,0,0%,0,0%,21,70%,
21,2024,2024-09-29,4,4,25.275,CAR,,CIN,L 24-34,,0.0,0,2,2,0,0,0,0%,9,13%,18,64%,
22,2024,2024-10-06,5,5,25.282,CAR,@,CHI,L 10-36,,0.0,1,4,5,0,0,0,0%,49,65%,4,15%,
23,2024,2024-10-13,6,6,25.289,CAR,,ATL,L 20-38,*,0.0,3,2,5,0,1,0,0%,47,67%,3,11%,
24,2024,2024-10-20,7,7,,CAR,@,WAS,L 7-40,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,2024,2024-10-27,8,8,25.303,CAR,@,DEN,L 14-28,,0.0,0,1,1,0,0,0,0%,0,0%,17,71%,
26,2024,2024-11-03,9,9,25.310,CAR,,NOR,W 23-22,,0.0,1,1,2,0,0,0,0%,0,0%,22,76%,
27,2024,2024-11-10,10,10,25.317,CAR,,NYG,W 20-17,,0.0,1,0,1,0,0,0,0%,0,0%,21,70%,
28,2024,2024-11-24,11,12,25.331,CAR,,KAN,L 27-30,,0.0,0,1,1,0,0,0,0%,0,0%,16,59%,
