Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-10-13,5,5,,BUF,@,TEN,L 16-42,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,2020,2020-10-25,7,7,23.331,BUF,@,NYJ,W 18-10,*,0.0,3,0,3,0,0,1,6,0,2,0,0,0,0,0,0,0,0%,57,100%,2,9%,
3,2020,2020-11-01,8,8,23.338,BUF,,NWE,W 24-21,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,7,28%,
4,2020,2020-11-08,9,9,23.345,BUF,,SEA,W 44-34,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,6%,7,21%,
5,2020,2020-11-15,10,10,23.352,BUF,@,ARI,L 30-32,*,0.0,6,2,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0%,58,79%,3,9%,
6,2020,2021-01-03,16,17,24.035,BUF,,MIA,W 56-26,,0.0,3,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0%,74,89%,22,59%,
7,2021,2021-09-12,1,1,24.287,BUF,,PIT,L 16-23,,,,,,,,,,,,,,,,,,0,0%,0,0%,5,17%,
8,2021,2021-09-19,2,2,24.294,BUF,@,MIA,W 35-0,,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,47,64%,7,32%,
9,2021,2021-09-26,3,3,24.301,BUF,,WAS,W 43-21,,,,,,,,,,,,,,,,,,0,0%,0,0%,8,28%,
10,2021,2021-10-03,4,4,24.308,BUF,,HOU,W 40-0,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,13,28%,12,50%,
11,2021,2021-10-10,5,5,24.315,BUF,@,KAN,W 38-20,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,11,13%,8,28%,
12,2021,2021-10-18,6,6,24.323,BUF,@,TEN,L 31-34,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,13,45%,
13,2021,2021-10-31,7,8,24.336,BUF,,MIA,W 26-11,,,,,,,,,,,,,,,,,,0,0%,0,0%,6,25%,
14,2021,2021-11-07,8,9,24.343,BUF,@,JAX,L 6-9,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,2%,8,38%,
15,2021,2021-11-14,9,10,24.350,BUF,@,NYJ,W 45-17,,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,14,18%,9,33%,
16,2021,2021-11-21,10,11,24.357,BUF,,IND,L 15-41,,,,,,,,,,,,,,,,,,0,0%,7,10%,3,13%,
17,2021,2021-11-25,11,12,24.361,BUF,@,NOR,W 31-6,,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,36,63%,6,27%,
18,2021,2021-12-06,12,13,25.007,BUF,,NWE,L 10-14,*,0.0,4,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,51,100%,3,13%,
19,2021,2021-12-12,13,14,25.013,BUF,@,TAM,L 27-33,*,0.0,7,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,83,100%,5,14%,
20,2021,2021-12-19,14,15,25.020,BUF,,CAR,W 31-14,*,0.0,5,2,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,72,95%,0,0%,
21,2021,2021-12-26,15,16,25.027,BUF,@,NWE,W 33-21,*,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,51,80%,3,14%,
22,2021,2022-01-02,16,17,25.034,BUF,,ATL,W 29-15,*,0.0,3,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,52,98%,9,47%,
23,2021,2022-01-09,17,18,25.041,BUF,,NYJ,W 27-10,*,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,100%,2,6%,
24,2022,2022-09-08,1,1,25.283,BUF,@,LAR,W 31-10,*,0.0,4,1,5,0,0,1,2,0,1,0,0,0,0,0,0,0,0%,65,97%,3,16%,
