Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-05,1,1,23.357,CHI,,GNB,L 3-10,,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0%,0,0%,3,12%,
2,2019,2019-09-15,2,2,24.002,CHI,@,DEN,W 16-14,,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,8,32%,
3,2019,2019-09-23,3,3,24.010,CHI,@,WAS,W 31-15,,4,4,100.0,1,2,50.0,0,7,0.0,0,0,0,0,0,0,0%,0,0%,6,29%,
4,2019,2019-09-29,4,4,24.016,CHI,,MIN,W 16-6,,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,4,20%,
5,2019,2019-10-06,5,5,24.023,CHI,@,OAK,L 21-24,,3,3,100.0,,,,0,3,0.0,0,0,0,0,0,0,0%,0,0%,3,11%,
6,2019,2019-10-20,6,7,24.037,CHI,,NOR,L 25-36,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0%,0,0%,8,23%,
7,2019,2019-10-27,7,8,24.044,CHI,,LAC,L 16-17,,1,1,100.0,3,5,60.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,10,38%,
8,2019,2019-11-03,8,9,24.051,CHI,@,PHI,L 14-22,,2,2,100.0,,,,0,2,0.0,0,0,0,0,0,0,0%,0,0%,5,17%,
9,2019,2019-11-10,9,10,24.058,CHI,,DET,W 20-13,,2,3,66.7,,,,0,2,0.0,0,0,0,0,0,0,0%,0,0%,7,23%,
10,2019,2019-11-17,10,11,24.065,CHI,@,LAR,L 7-17,,1,1,100.0,,2,0.0,0,1,0.0,0,0,0,0,0,0,0%,0,0%,5,20%,
11,2019,2019-11-24,11,12,24.072,CHI,,NYG,W 19-14,,1,2,50.0,2,2,100.0,0,7,0.0,0,0,0,0,0,0,0%,0,0%,9,33%,
12,2019,2019-11-28,12,13,24.076,CHI,@,DET,W 24-20,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,9,33%,
13,2019,2019-12-05,13,14,24.083,CHI,,DAL,W 31-24,,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,0,0,0%,0,0%,11,37%,
14,2019,2019-12-15,14,15,24.093,CHI,@,GNB,L 13-21,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,0,0,0%,0,0%,7,26%,
15,2019,2019-12-22,15,16,24.100,CHI,,KAN,L 3-26,,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0%,0,0%,3,15%,
16,2019,2019-12-29,16,17,24.107,CHI,@,MIN,W 21-19,,1,1,100.0,4,4,100.0,0,13,0.0,0,0,0,0,0,0,0%,0,0%,11,44%,
