Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-08,1.0,1.0,,CAR,@,NOR,L 10-47,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2.0,2024.0,2024-09-15,2.0,2.0,,CAR,,LAC,L 3-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3.0,2024.0,2024-09-22,3.0,3.0,,CAR,@,LVR,W 36-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4.0,2024.0,2024-09-29,4.0,4.0,22.335,CAR,,CIN,L 24-34,,1,0,0,,0,0.0%,0.00,0,0,7,10%,0,0%,7,25%,
5.0,2024.0,2024-10-06,5.0,5.0,22.342,CAR,@,CHI,L 10-36,,4,4,68,17.00,0,100.0%,17.00,0,0,32,53%,0,0%,7,27%,
6.0,2024.0,2024-10-13,6.0,6.0,22.349,CAR,,ATL,L 20-38,,3,3,30,10.00,0,100.0%,10.00,0,0,43,65%,0,0%,8,30%,
7.0,2024.0,2024-10-20,7.0,7.0,22.356,CAR,@,WAS,L 7-40,,1,1,10,10.00,0,100.0%,10.00,0,0,22,51%,0,0%,9,35%,
8.0,2024.0,2024-10-27,8.0,8.0,22.363,CAR,@,DEN,L 14-28,,6,4,78,19.50,1,66.7%,13.00,1,6,42,69%,0,0%,0,0%,
9.0,2024.0,2024-11-03,9.0,9.0,23.004,CAR,,NOR,W 23-22,,3,2,36,18.00,0,66.7%,12.00,0,0,24,45%,0,0%,0,0%,
10.0,2024.0,2024-11-10,10.0,10.0,23.011,CAR,,NYG,W 20-17,*,8,3,41,13.67,0,37.5%,5.13,0,0,53,88%,0,0%,0,0%,
11.0,2024.0,2024-11-24,11.0,12.0,,CAR,,KAN,L 27-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
