Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-08,1.0,1.0,,CAR,@,NOR,L 10-47,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2.0,2024.0,2024-09-15,2.0,2.0,,CAR,,LAC,L 3-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3.0,2024.0,2024-09-22,3.0,3.0,,CAR,@,LVR,W 36-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4.0,2024.0,2024-09-29,4.0,4.0,,CAR,,CIN,L 24-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5.0,2024.0,2024-10-06,5.0,5.0,,CAR,@,CHI,L 10-36,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6.0,2024.0,2024-10-13,6.0,6.0,,CAR,,ATL,L 20-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7.0,2024.0,2024-10-20,7.0,7.0,24.323,CAR,@,WAS,L 7-40,,0,0%,0,0%,1,4%,
8.0,2024.0,2024-10-27,8.0,8.0,24.33,CAR,@,DEN,L 14-28,,1,2%,0,0%,2,8%,
9.0,2024.0,2024-11-03,9.0,9.0,24.337,CAR,,NOR,W 23-22,,0,0%,0,0%,3,10%,
10.0,2024.0,2024-11-10,10.0,10.0,24.344,CAR,,NYG,W 20-17,,0,0%,0,0%,4,13%,
11.0,2024.0,2024-11-24,11.0,12.0,,CAR,,KAN,L 27-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
