Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,22.130,PHI,,WAS,W 32-27,,11,25,2.27,0,2,1,2,2.00,0,50.0%,1.00,0,0,,0,,0,0,0,0,0,0,0,0,36,49%,0,0%,0,0%,
2,2019,2019-09-15,2,2,22.137,PHI,@,ATL,L 20-24,*,10,28,2.80,0,4,3,9,3.00,0,75.0%,2.25,2,52,26.00,0,,0,0,0,0,0,0,0,0,34,43%,0,0%,2,8%,
3,2019,2019-09-22,3,3,22.144,PHI,,DET,L 24-27,*,13,53,4.08,0,4,2,73,36.50,0,50.0%,18.25,3,54,18.00,0,,0,0,2,1,0,0,0,0,25,34%,0,0%,7,23%,
4,2019,2019-09-26,4,4,22.148,PHI,@,GNB,W 34-27,*,11,72,6.55,0,0,0,0,,0,0.0%,,2,77,38.50,0,,0,0,0,0,0,0,0,0,22,35%,0,0%,6,22%,
5,2019,2019-10-06,5,5,22.158,PHI,,NYJ,W 31-6,*,9,15,1.67,0,5,4,49,12.25,0,80.0%,9.80,1,24,24.00,0,,0,0,0,0,0,0,0,0,28,42%,0,0%,2,7%,
6,2019,2019-10-13,6,6,22.165,PHI,@,MIN,L 20-38,,3,6,2.00,0,3,3,86,28.67,1,100.0%,28.67,1,15,15.00,0,,1,6,0,0,0,0,0,0,19,30%,0,0%,7,24%,
7,2019,2019-10-20,7,7,22.172,PHI,@,DAL,L 10-37,,6,21,3.50,0,3,3,11,3.67,0,100.0%,3.67,2,37,18.50,0,,0,0,0,0,0,0,0,0,32,53%,0,0%,7,28%,
8,2019,2019-10-27,8,8,22.179,PHI,@,BUF,W 31-13,,3,74,24.67,1,3,3,44,14.67,0,100.0%,14.67,1,24,24.00,0,1,1,8,0,0,0,0,0,0,13,18%,0,0%,3,12%,
9,2019,2019-11-03,9,9,22.186,PHI,,CHI,W 22-14,,10,42,4.20,0,3,3,31,10.33,0,100.0%,10.33,2,31,15.50,0,,0,0,0,0,0,0,0,0,32,38%,0,0%,3,10%,
10,2019,2019-11-17,10,11,22.200,PHI,,NWE,L 10-17,*,11,38,3.45,0,4,2,9,4.50,0,50.0%,2.25,0,0,,0,,0,0,0,0,0,0,0,0,61,85%,0,0%,0,0%,
11,2019,2019-11-24,11,12,22.207,PHI,,SEA,L 9-17,*,12,63,5.25,0,5,3,23,7.67,0,60.0%,4.60,0,0,,0,,0,0,0,0,0,0,0,0,63,85%,0,0%,0,0%,
12,2019,2019-12-01,12,13,22.214,PHI,@,MIA,L 31-37,*,17,83,4.88,0,5,5,22,4.40,1,100.0%,4.40,0,0,,0,,1,6,0,0,0,0,0,0,61,88%,0,0%,0,0%,
13,2019,2019-12-09,13,14,22.222,PHI,,NYG,W 23-17,*,15,45,3.00,0,5,4,24,6.00,0,80.0%,4.80,0,0,,0,,0,0,0,0,0,0,0,0,50,57%,0,0%,0,0%,
14,2019,2019-12-15,14,15,22.228,PHI,@,WAS,W 37-27,*,19,122,6.42,1,6,6,50,8.33,1,100.0%,8.33,0,0,,0,,2,12,0,0,0,0,0,0,55,71%,0,0%,0,0%,
15,2019,2019-12-22,15,16,22.235,PHI,,DAL,W 17-9,*,20,79,3.95,1,6,5,77,15.40,0,83.3%,12.83,0,0,,0,,1,6,0,0,0,0,0,0,59,81%,0,0%,0,0%,
16,2019,2019-12-29,16,17,22.242,PHI,@,NYG,W 34-17,*,9,52,5.78,0,5,3,-1,-0.33,0,60.0%,-0.20,0,0,,0,,0,0,0,0,0,0,0,0,23,31%,0,0%,0,0%,
