Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-08,1,1,,BUF,@,LAR,W 31-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,2022,2022-09-19,2,2,,BUF,,TEN,W 41-7,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2022,2022-09-25,3,3,,CAR,,NOR,W 22-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2022,2022-10-02,4,4,,CAR,,ARI,L 16-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2022,2022-10-09,5,5,23.126,CAR,,SFO,L 15-37,,0,0,,0,0,0,0,,0,0.0%,,7,200,28.57,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,7,25%,
6,2022,2022-10-16,6,6,23.133,CAR,@,LAR,L 10-24,,0,0,,0,0,0,0,,0,0.0%,,1,24,24.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,5,19%,
7,2022,2022-10-23,7,7,23.140,CAR,,TAM,W 21-3,*,2,-5,-2.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,10%,0,0%,16,67%,
8,2022,2022-10-30,8,8,23.147,CAR,@,ATL,L 34-37,,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,9%,0,0%,7,20%,
9,2022,2022-11-06,9,9,23.154,CAR,@,CIN,L 21-42,,5,13,2.60,1,4,4,40,10.00,0,100.0%,10.00,2,88,44.00,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,17,35%,0,0%,9,31%,
10,2022,2022-11-10,10,10,23.158,CAR,,ATL,W 25-15,,6,32,5.33,0,0,0,0,,0,0.0%,,1,9,9.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,12%,0,0%,4,14%,
