Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,24.019,MIA,@,NWE,L 11-21,,,,,,0,,,0,0,0,2,3%,0,0%,1,5%,
2,2020,2020-09-20,2,2,24.026,MIA,,BUF,L 28-31,,,,,,0,,,0,0,0,2,3%,0,0%,4,13%,
3,2020,2020-09-24,3,3,24.030,MIA,@,JAX,W 31-13,,,,,,0,,,0,0,0,2,3%,0,0%,5,22%,
4,2020,2020-10-04,4,4,24.040,MIA,,SEA,L 23-31,,,,,,0,,,0,0,0,3,4%,0,0%,5,19%,
5,2020,2020-10-11,5,5,24.047,MIA,@,SFO,W 43-17,*,,,,,0,,,0,0,0,67,100%,0,0%,10,31%,
6,2020,2020-10-18,6,6,24.054,MIA,,NYJ,W 24-0,*,,,,,0,,,0,0,0,56,100%,0,0%,4,14%,
7,2020,2020-11-01,7,8,24.068,MIA,,LAR,W 28-17,*,,,,,0,,,0,0,0,49,100%,0,0%,4,12%,
8,2020,2020-11-08,8,9,24.075,MIA,@,ARI,W 34-31,*,,,,,0,,,0,0,0,61,100%,0,0%,6,21%,
9,2020,2020-11-15,9,10,24.082,MIA,,LAC,W 29-21,*,,,,,0,,,0,0,0,2,3%,0,0%,7,24%,
10,2020,2020-11-22,10,11,24.089,MIA,@,DEN,L 13-20,,,,,,0,,,0,0,0,34,52%,0,0%,3,13%,
11,2020,2020-11-29,11,12,24.096,MIA,@,NYJ,W 20-3,*,,,,,0,,,0,0,0,71,100%,0,0%,4,17%,
12,2020,2020-12-06,12,13,24.103,MIA,,CIN,W 19-7,*,,,,,0,,,0,0,0,70,100%,0,0%,6,21%,
13,2020,2020-12-13,13,14,24.110,MIA,,KAN,L 27-33,*,,,,,0,,,0,0,0,83,100%,0,0%,6,18%,
14,2020,2020-12-20,14,15,24.117,MIA,,NWE,W 22-12,*,,,,,0,,,0,0,0,72,100%,0,0%,3,14%,
15,2020,2020-12-26,15,16,24.123,MIA,@,LVR,W 26-25,*,,,,,0,,,0,0,0,63,100%,0,0%,6,17%,
16,2020,2021-01-03,16,17,24.131,MIA,@,BUF,L 26-56,*,,,,,0,,,0,0,0,83,100%,0,0%,4,11%,
17,2021,2021-09-12,1,1,25.018,MIA,@,NWE,W 17-16,*,,,,,,,,,,,54,100%,0,0%,3,14%,
18,2021,2021-09-19,2,2,25.025,MIA,,BUF,L 0-35,*,,,,,,,,,,,74,100%,0,0%,0,0%,
19,2021,2021-09-26,3,3,25.032,MIA,@,LVR,L 28-31,*,,,,,,,,,,,83,100%,0,0%,5,15%,
20,2021,2021-10-03,4,4,25.039,MIA,,IND,L 17-27,*,,,,,,,,,,,52,100%,0,0%,3,11%,
21,2021,2021-10-10,5,5,25.046,MIA,@,TAM,L 17-45,*,,,,,,,,,,,54,100%,0,0%,3,11%,
22,2021,2021-10-17,6,6,25.053,MIA,@,JAX,L 20-23,*,,,,,,,,,,,70,100%,0,0%,5,18%,
23,2021,2021-10-24,7,7,25.060,MIA,,ATL,L 28-30,*,,,,,,,,,,,73,100%,0,0%,5,18%,
24,2021,2021-10-31,8,8,25.067,MIA,@,BUF,L 11-26,*,0,0,,0,0,0,0,1,0,0,69,100%,0,0%,2,8%,
25,2021,2021-11-07,9,9,25.074,MIA,,HOU,W 17-9,*,,,,,,,,,,,75,100%,0,0%,3,13%,
26,2021,2021-11-11,10,10,25.078,MIA,,BAL,W 22-10,*,0,0,,0,0,0,0,0,0,0,69,100%,0,0%,4,13%,
27,2021,2021-11-21,11,11,25.088,MIA,@,NYJ,W 24-17,*,,,,,,,,,,,72,100%,0,0%,5,18%,
28,2021,2021-11-28,12,12,25.095,MIA,,CAR,W 33-10,*,,,,,,,,,,,74,100%,0,0%,6,21%,
29,2021,2021-12-05,13,13,25.102,MIA,,NYG,W 20-9,*,,,,,,,,,,,69,100%,0,0%,5,17%,
30,2021,2021-12-19,14,15,25.116,MIA,,NYJ,W 31-24,*,,,,,,,,,,,71,100%,0,0%,5,17%,
31,2021,2021-12-27,15,16,25.124,MIA,@,NOR,W 20-3,*,,,,,,,,,,,65,100%,0,0%,5,19%,
32,2021,2022-01-02,16,17,25.130,MIA,@,TEN,L 3-34,*,,,,,,,,,,,62,100%,0,0%,2,8%,
33,2021,2022-01-09,17,18,25.137,MIA,,NWE,W 33-24,*,,,,,,,,,,,68,100%,0,0%,5,17%,
34,2022,2022-09-11,1,1,26.017,MIA,,NWE,W 20-7,*,,,,,,,,,,,60,100%,0,0%,4,21%,
35,2022,2022-09-18,2,2,26.024,MIA,@,BAL,W 42-38,*,,,,,,,,,,,71,100%,0,0%,6,20%,
36,2022,2022-09-25,3,3,26.031,MIA,,BUF,W 21-19,*,,,,,,,,,,,42,98%,0,0%,3,14%,
37,2022,2022-09-29,4,4,26.035,MIA,@,CIN,L 15-27,*,,,,,,,,,,,64,100%,0,0%,5,18%,
38,2022,2022-10-09,5,5,26.045,MIA,@,NYJ,L 17-40,*,,,,,,,,,,,67,100%,0,0%,4,14%,
39,2022,2022-10-16,6,6,26.052,MIA,,MIN,L 16-24,*,,,,,,,,,,,78,100%,0,0%,3,10%,
40,2022,2022-10-23,7,7,26.059,MIA,,PIT,W 16-10,*,,,,,,,,,,,62,100%,0,0%,4,15%,
41,2022,2022-10-30,8,8,26.066,MIA,@,DET,W 31-27,*,,,,,,,,,,,68,100%,0,0%,5,20%,
42,2022,2022-11-06,9,9,26.073,MIA,@,CHI,W 35-32,*,,,,,,,,,,,57,100%,0,0%,6,23%,
43,2022,2022-11-13,10,10,26.080,MIA,,CLE,W 39-17,*,1,0,0.00,0,1,0,0,0,0,0,69,100%,0,0%,7,30%,
44,2022,2022-11-27,11,12,26.094,MIA,,HOU,W 30-15,*,,,,,,,,,,,76,100%,0,0%,6,20%,
45,2022,2022-12-04,12,13,26.101,MIA,@,SFO,L 17-33,*,,,,,,,,,,,46,100%,0,0%,3,10%,
46,2022,2022-12-11,13,14,26.108,MIA,@,LAC,L 17-23,*,,,,,,,,,,,51,100%,0,0%,3,10%,
47,2022,2022-12-17,14,15,26.114,MIA,@,BUF,L 29-32,*,,,,,,,,,,,59,100%,0,0%,5,17%,
48,2022,2022-12-25,15,16,26.122,MIA,,GNB,L 20-26,*,0,0,,0,0,0,0,1,0,0,50,100%,0,0%,5,19%,
