Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1,2017,2017-09-10,1,1,23.023,CAR,@,SFO,W 23-3,,0.0,0,0,0,,,0,0%,0,0%,5,25%,
2,2017,2017-09-17,2,2,23.030,CAR,,BUF,W 9-3,,0.0,0,0,0,,,2,3%,0,0%,5,23%,
3,2017,2017-09-24,3,3,23.037,CAR,,NOR,L 13-34,,0.0,0,0,0,,,0,0%,0,0%,9,35%,
4,2017,2017-10-01,4,4,23.044,CAR,@,NWE,W 33-30,,0.0,0,0,0,,,0,0%,0,0%,6,21%,
5,2017,2017-10-08,5,5,23.051,CAR,@,DET,W 27-24,,0.0,0,0,0,,,0,0%,0,0%,6,19%,
6,2017,2017-10-12,6,6,23.055,CAR,,PHI,L 23-28,,0.0,0,0,0,,,2,2%,0,0%,5,16%,
7,2017,2017-10-22,7,7,23.065,CAR,@,CHI,L 3-17,,0.0,0,0,0,,,4,6%,0,0%,1,5%,
8,2017,2017-10-29,8,8,23.072,CAR,@,TAM,W 17-3,,0.0,0,0,0,,,11,17%,0,0%,3,13%,
9,2017,2017-11-05,9,9,23.079,CAR,,ATL,W 20-17,,0.0,0,0,0,,,12,18%,0,0%,4,16%,
10,2017,2017-11-13,10,10,23.087,CAR,,MIA,W 45-21,,0.0,0,0,0,,,5,7%,0,0%,7,25%,
11,2017,2017-11-26,11,12,23.100,CAR,@,NYJ,W 35-27,,0.0,0,0,0,,,8,11%,0,0%,4,11%,
12,2017,2017-12-03,12,13,23.107,CAR,@,NOR,L 21-31,,0.0,0,0,0,,,3,5%,0,0%,3,10%,
13,2017,2017-12-10,13,14,23.114,CAR,,MIN,W 31-24,,0.0,0,0,0,,,5,8%,0,0%,5,16%,
14,2017,2017-12-17,14,15,23.121,CAR,,GNB,W 31-24,,0.0,0,0,0,,,3,4%,0,0%,5,19%,
15,2017,2017-12-24,15,16,23.128,CAR,,TAM,W 22-19,,0.0,0,0,0,,,3,5%,0,0%,5,18%,
16,2017,2017-12-31,16,17,23.135,CAR,@,ATL,L 10-22,,0.0,0,0,0,,,5,8%,0,0%,2,7%,
17,2018,2018-09-09,1,1,24.022,CAR,,DAL,W 16-8,*,0.0,0,0,0,,,67,100%,0,0%,3,14%,
18,2018,2018-09-16,2,2,24.029,CAR,@,ATL,L 24-31,*,0.0,0,0,0,,,67,100%,0,0%,4,14%,
19,2018,2018-09-23,3,3,24.036,CAR,,CIN,W 31-21,*,0.0,0,0,0,,,67,100%,0,0%,5,19%,
20,2018,2018-10-07,4,5,24.050,CAR,,NYG,W 33-31,*,0.0,0,0,0,,,71,100%,0,0%,7,22%,
21,2018,2018-10-14,5,6,24.057,CAR,@,WAS,L 17-23,*,0.0,0,0,0,,,60,100%,0,0%,2,8%,
22,2018,2018-10-21,6,7,24.064,CAR,@,PHI,W 21-17,*,0.0,0,0,0,,,59,100%,0,0%,2,9%,
23,2018,2018-10-28,7,8,24.071,CAR,,BAL,W 36-21,*,0.0,0,0,0,,,63,97%,0,0%,6,21%,
24,2018,2018-11-04,8,9,24.078,CAR,,TAM,W 42-28,*,0.0,0,0,0,,,62,100%,0,0%,6,19%,
25,2018,2018-11-08,9,10,24.082,CAR,@,PIT,L 21-52,*,0.0,0,0,0,,,54,95%,0,0%,3,10%,
26,2018,2018-11-18,10,11,24.092,CAR,@,DET,L 19-20,*,0.0,0,0,0,,,58,100%,0,0%,3,11%,
27,2018,2018-11-25,11,12,24.099,CAR,,SEA,L 27-30,*,0.0,0,0,0,,,59,100%,0,0%,6,22%,
28,2018,2018-12-02,12,13,24.106,CAR,@,TAM,L 17-24,*,0.0,0,0,0,,,70,100%,0,0%,3,12%,
29,2018,2018-12-09,13,14,24.113,CAR,@,CLE,L 20-26,*,0.0,0,0,0,,,74,100%,0,0%,4,14%,
30,2018,2018-12-17,14,15,24.121,CAR,,NOR,L 9-12,*,0.0,0,0,0,,,58,100%,0,0%,1,5%,
31,2018,2018-12-23,15,16,24.127,CAR,,ATL,L 10-24,*,0.0,0,0,0,,,92,100%,0,0%,2,9%,
32,2018,2018-12-30,16,17,24.134,CAR,@,NOR,W 33-14,*,0.0,0,0,0,,,72,100%,0,0%,6,24%,
33,2019,2019-09-08,1,1,25.021,CAR,,LAR,L 27-30,*,,,,,,,66,100%,0,0%,6,17%,
34,2019,2019-09-12,2,2,25.025,CAR,,TAM,L 14-20,*,0.0,0,0,0,0,0,75,100%,0,0%,4,13%,
35,2019,2019-09-22,3,3,25.035,CAR,@,ARI,W 38-20,*,,,,,,,60,100%,0,0%,6,20%,
36,2019,2019-09-29,4,4,25.042,CAR,@,HOU,W 16-10,*,,,,,,,66,99%,0,0%,4,16%,
37,2019,2019-10-06,5,5,25.049,CAR,,JAX,W 34-27,*,,,,,,,63,100%,0,0%,7,21%,
38,2019,2019-10-13,6,6,25.056,CAR,@,TAM,W 37-26,*,,,,,,,67,99%,0,0%,8,21%,
39,2019,2019-10-27,7,8,25.070,CAR,@,SFO,L 13-51,*,,,,,,,68,100%,0,0%,1,3%,
40,2019,2019-11-03,8,9,25.077,CAR,,TEN,W 30-20,*,,,,,,,71,100%,0,0%,6,21%,
41,2019,2019-11-10,9,10,25.084,CAR,@,GNB,L 16-24,*,,,,,,,72,100%,0,0%,2,9%,
42,2019,2019-11-17,10,11,25.091,CAR,,ATL,L 3-29,*,,,,,,,69,93%,0,0%,1,4%,
43,2019,2019-11-24,11,12,25.098,CAR,@,NOR,L 31-34,*,,,,,,,73,99%,0,0%,6,19%,
44,2019,2019-12-01,12,13,25.105,CAR,,WAS,L 21-29,*,0.0,0,0,0,0,0,73,100%,0,0%,3,9%,
45,2019,2019-12-08,13,14,25.112,CAR,@,ATL,L 20-40,*,,,,,,,71,100%,0,0%,4,12%,
46,2019,2019-12-15,14,15,25.119,CAR,,SEA,L 24-30,*,0.0,0,0,0,0,0,72,100%,0,0%,4,14%,
47,2019,2019-12-22,15,16,25.126,CAR,@,IND,L 6-38,*,,,,,,,70,100%,0,0%,2,8%,
48,2019,2019-12-29,16,17,25.133,CAR,,NOR,L 10-42,*,,,,,,,71,100%,0,0%,2,6%,
49,2020,2020-09-13,1,1,26.026,CAR,,LVR,L 30-34,*,,,,,,,67,100%,0,0%,5,17%,
50,2020,2020-09-20,2,2,26.033,CAR,@,TAM,L 17-31,*,,,,,,,73,100%,0,0%,3,12%,
51,2020,2020-09-27,3,3,26.040,CAR,@,LAC,W 21-16,*,,,,,,,51,100%,0,0%,7,27%,
52,2020,2020-10-04,4,4,26.047,CAR,,ARI,W 31-21,*,,,,,,,76,100%,0,0%,6,24%,
53,2020,2020-10-11,5,5,26.054,CAR,@,ATL,W 23-16,*,,,,,,,66,100%,0,0%,5,19%,
