Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,,DEN,,LVR,L 16-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2023,2023-09-17,2,2,24.210,DEN,,WAS,L 33-35,,,,,,,,0,0%,2,3%,9,30%,
3,2023,2023-09-24,3,3,24.217,DEN,@,MIA,L 20-70,,0.0,1,0,1,0,0,0,0%,10,14%,10,28%,
4,2023,2023-10-01,4,4,24.224,DEN,@,CHI,W 31-28,,,,,,,,0,0%,1,1%,8,31%,
5,2023,2023-10-08,5,5,,DEN,,NYJ,L 21-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2023,2023-10-12,6,6,,DEN,@,KAN,L 8-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2023,2023-10-22,7,7,,DEN,,GNB,W 19-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2023,2023-10-29,8,8,,DEN,,KAN,W 24-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2023,2023-11-13,9,10,,DEN,@,BUF,W 24-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2023,2023-11-19,10,11,,DEN,,MIN,W 21-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,2023,2023-11-26,11,12,,DEN,,CLE,W 29-12,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,2023,2023-12-03,12,13,,DEN,@,HOU,L 17-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,2023,2023-12-10,13,14,,DEN,@,LAC,W 24-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,2023,2023-12-16,14,15,24.300,DEN,@,DET,L 17-42,,0.0,0,1,1,0,0,0,0%,7,11%,8,28%,
15,2023,2023-12-24,15,16,,DEN,,NWE,L 23-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,2023,2023-12-31,16,17,,DEN,,LAC,W 16-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,2023,2024-01-07,17,18,,DEN,@,LVR,L 14-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,2024,2024-09-08,1,1,,CAR,@,NOR,L 10-47,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,2024,2024-09-15,2,2,,CAR,,LAC,L 3-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
20,2024,2024-09-22,3,3,,CAR,@,LVR,W 36-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
21,2024,2024-09-29,4,4,25.223,CAR,,CIN,L 24-34,,0.0,2,0,2,0,0,0,0%,11,16%,17,61%,
22,2024,2024-10-06,5,5,25.230,CAR,@,CHI,L 10-36,,0.0,1,0,1,0,1,0,0%,11,15%,17,65%,
23,2024,2024-10-13,6,6,25.237,CAR,,ATL,L 20-38,,,,,,,,0,0%,0,0%,23,85%,
24,2024,2024-10-20,7,7,25.244,CAR,@,WAS,L 7-40,,0.0,2,0,2,1,0,0,0%,16,23%,25,96%,
25,2024,2024-10-27,8,8,25.251,CAR,@,DEN,L 14-28,,0.0,1,0,1,0,0,0,0%,0,0%,22,92%,
26,2024,2024-11-03,9,9,25.258,CAR,,NOR,W 23-22,,,,,,,,0,0%,0,0%,26,90%,
27,2024,2024-11-10,10,10,25.265,CAR,,NYG,W 20-17,,,,,,,,0,0%,0,0%,26,87%,
28,2024,2024-11-24,11,12,,CAR,,KAN,L 27-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
