Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-12,1,1,21.102,CAR,,NYJ,W 19-14,,0,0,0,,0,0.0%,,0,0,,0,1,21,21.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,19%,0,0%,9,32%,
2,2021,2021-09-19,2,2,21.109,CAR,,NOR,W 26-7,*,,,,,,0.0%,,,,,,,,,,,0,0,,,,,,,,,,,,,29,38%,0,0%,12,48%,
3,2021,2021-09-23,3,3,21.113,CAR,@,HOU,W 24-9,,1,1,30,30.00,0,100.0%,30.00,1,7,7.00,1,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,19,26%,0,0%,13,57%,
4,2021,2021-10-03,4,4,21.123,CAR,@,DAL,L 28-36,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,39%,0,0%,12,41%,
5,2021,2021-10-10,5,5,21.130,CAR,,PHI,L 18-21,*,4,2,12,6.00,1,50.0%,3.00,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,27,38%,0,0%,5,17%,
6,2021,2021-10-17,6,6,21.137,CAR,,MIN,L 28-34,*,2,0,0,,0,0.0%,0.00,1,0,0.00,0,0,0,,0,1,0,2,0.0,1,0,1,0,0,0,0,0,0,0,0,38,51%,0,0%,8,23%,
7,2021,2021-10-24,7,7,21.144,CAR,@,NYG,L 3-25,*,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,55%,0,0%,8,30%,
8,2021,2021-10-31,8,8,21.151,CAR,@,ATL,W 19-13,*,4,3,18,6.00,0,75.0%,4.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,46%,0,0%,8,31%,
9,2021,2021-11-07,9,9,21.158,CAR,,NWE,L 6-24,*,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,58%,0,0%,7,32%,
10,2021,2021-11-14,10,10,21.165,CAR,@,ARI,W 34-10,*,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,68%,0,0%,11,44%,
11,2021,2021-11-21,11,11,21.172,CAR,,WAS,L 21-27,,2,2,35,17.50,0,100.0%,17.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,47%,0,0%,13,50%,
12,2021,2021-11-28,12,12,21.179,CAR,@,MIA,L 10-33,*,3,1,4,4.00,0,33.3%,1.33,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,45%,0,0%,16,57%,
13,2021,2021-12-12,13,14,21.193,CAR,,ATL,L 21-29,,2,2,23,11.50,0,100.0%,11.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,53%,0,0%,12,52%,
14,2021,2021-12-19,14,15,21.200,CAR,@,BUF,L 14-31,,4,1,8,8.00,0,25.0%,2.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,64%,0,0%,9,41%,
15,2021,2021-12-26,15,16,21.207,CAR,,TAM,L 6-32,*,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,41,59%,0,0%,15,56%,
16,2021,2022-01-02,16,17,,CAR,@,NOR,L 10-18,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,2021,2022-01-09,17,18,21.221,CAR,@,TAM,L 17-41,*,5,2,7,3.50,0,40.0%,1.40,1,4,4.00,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,42,58%,0,0%,13,46%,
