Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-12,1,1,,LAR,,CHI,W 34-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2021,2021-09-19,2,2,,LAR,@,IND,W 27-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2021,2021-09-26,3,3,,LAR,,TAM,W 34-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2021,2021-10-03,4,4,,LAR,,ARI,L 20-37,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2021,2021-10-07,5,5,,LAR,@,SEA,W 26-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2021,2021-10-17,6,6,,LAR,@,NYG,W 38-11,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2021,2021-10-24,7,7,,LAR,,DET,W 28-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2021,2021-10-31,8,8,23.109,LAR,@,HOU,W 38-22,,9,13%,0,0%,0,0%,
9,2021,2021-11-07,9,9,,LAR,,TEN,L 16-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2021,2021-11-15,10,10,,LAR,@,SFO,L 10-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,2021,2021-11-28,11,12,,LAR,@,GNB,L 28-36,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,2021,2021-12-05,12,13,,LAR,,JAX,W 37-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,2021,2021-12-13,13,14,23.152,LAR,@,ARI,W 30-23,,0,0%,0,0%,6,22%,
14,2021,2021-12-21,14,15,23.160,LAR,,SEA,W 20-10,,0,0%,0,0%,4,17%,
15,2021,2021-12-26,15,16,23.165,LAR,@,MIN,W 30-23,,52,74%,0,0%,6,19%,
16,2021,2022-01-02,16,17,,LAR,@,BAL,W 20-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,2021,2022-01-09,17,18,,LAR,,SFO,L 24-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,2022,2022-09-08,1,1,24.056,LAR,,BUF,L 10-31,,0,0%,0,0%,2,11%,
19,2022,2022-09-18,2,2,24.066,LAR,,ATL,W 31-27,,60,95%,0,0%,5,22%,
20,2022,2022-09-25,3,3,24.073,LAR,@,ARI,W 20-12,*,48,100%,0,0%,4,16%,
21,2022,2022-10-03,4,4,24.081,LAR,@,SFO,L 9-24,*,74,100%,0,0%,3,12%,
22,2022,2022-10-09,5,5,24.087,LAR,,DAL,L 10-22,*,65,100%,0,0%,3,10%,
23,2022,2022-10-16,6,6,24.094,LAR,,CAR,W 24-10,*,65,100%,0,0%,4,15%,
24,2022,2022-10-30,7,8,24.108,LAR,,SFO,L 14-31,*,58,100%,0,0%,2,8%,
25,2022,2022-11-06,8,9,24.115,LAR,@,TAM,L 13-16,*,52,91%,0,0%,3,9%,
26,2022,2022-11-13,9,10,,LAR,,ARI,L 17-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,2022,2022-11-20,10,11,,LAR,@,NOR,L 20-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
28,2022,2022-11-27,11,12,,LAR,@,KAN,L 10-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
29,2022,2022-12-04,12,13,,LAR,,SEA,L 23-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
30,2022,2022-12-08,13,14,,LAR,,LVR,W 17-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
31,2022,2022-12-19,14,15,,LAR,@,GNB,L 12-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
32,2022,2022-12-25,15,16,,LAR,,DEN,W 51-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
33,2022,2023-01-01,16,17,,LAR,@,LAC,L 10-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
34,2022,2023-01-08,17,18,,LAR,@,SEA,L 16-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
35,2023,2023-09-10,1,1,25.058,LAR,@,SEA,W 30-13,*,81,100%,0,0%,8,29%,
36,2023,2023-09-17,2,2,25.065,LAR,,SFO,L 23-30,*,80,100%,0,0%,5,18%,
37,2023,2023-09-25,3,3,25.073,LAR,@,CIN,L 16-19,*,20,36%,0,0%,2,6%,
38,2023,2023-10-01,4,4,,LAR,@,IND,W 29-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,2023,2023-10-08,5,5,25.086,LAR,,PHI,L 14-23,*,56,100%,0,0%,0,0%,
40,2023,2023-10-15,6,6,25.093,LAR,,ARI,W 26-9,*,57,100%,0,0%,6,22%,
41,2023,2023-10-22,7,7,25.100,LAR,,PIT,L 17-24,*,68,100%,0,0%,4,15%,
42,2023,2023-10-29,8,8,25.107,LAR,@,DAL,L 20-43,*,62,100%,0,0%,2,7%,
43,2023,2023-11-05,9,9,25.114,LAR,@,GNB,L 3-20,*,58,100%,0,0%,2,9%,
44,2023,2023-11-19,10,11,25.128,LAR,,SEA,W 17-16,*,67,100%,0,0%,3,12%,
45,2023,2023-11-26,11,12,25.135,LAR,@,ARI,W 37-14,*,67,100%,0,0%,7,25%,
46,2023,2023-12-03,12,13,25.142,LAR,,CLE,W 36-19,*,64,100%,0,0%,7,21%,
47,2023,2023-12-10,13,14,25.149,LAR,@,BAL,L 31-37,*,77,100%,0,0%,5,14%,
48,2023,2023-12-17,14,15,25.156,LAR,,WAS,W 28-20,*,75,100%,0,0%,5,19%,
49,2023,2023-12-21,15,16,25.160,LAR,,NOR,W 30-22,*,70,100%,0,0%,7,29%,
50,2023,2023-12-31,16,17,,LAR,@,NYG,W 26-25,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,2023,2024-01-07,17,18,25.177,LAR,@,SFO,W 21-20,*,67,100%,0,0%,2,11%,
