Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,23.288,LAR,@,DET,L 20-26,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0%,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0%,0.0,0%,9.0,35%
2.0,2024.0,2024-09-15,2.0,2.0,23.295,LAR,@,ARI,L 10-41,,8.0,28.0,3.5,0.0,0.0,0.0,0.0,,0.0,0.0%,,1.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15%,0.0,0%,11.0,44%
3.0,2024.0,2024-09-22,3.0,3.0,23.302,LAR,,SFO,W 27-24,,,,,,,,,,,0.0%,,,,,,,,,,,,0.0,0%,0.0,0%,7.0,26%
4.0,2024.0,2024-09-29,4.0,4.0,23.309,LAR,@,CHI,L 18-24,,,,,,,,,,,0.0%,,,,,,,,,,,,0.0,0%,0.0,0%,16.0,62%
5.0,2024.0,2024-10-06,5.0,5.0,23.316,LAR,,GNB,L 19-24,,5.0,25.0,5.0,0.0,1.0,1.0,8.0,8.0,0.0,100.0%,8.0,3.0,74.0,24.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14%,0.0,0%,13.0,59%
6.0,2024.0,2024-10-20,6.0,7.0,23.33,LAR,,LVR,W 20-15,,3.0,11.0,3.67,0.0,0.0,0.0,0.0,,0.0,0.0%,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11%,0.0,0%,11.0,39%
7.0,2024.0,2024-10-24,7.0,8.0,23.334,LAR,,MIN,W 30-20,,4.0,9.0,2.25,0.0,1.0,1.0,9.0,9.0,0.0,100.0%,9.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11%,0.0,0%,13.0,52%
8.0,2024.0,2024-11-03,8.0,9.0,23.344,LAR,@,SEA,W 26-20,,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,,0.0,0.0%,,2.0,49.0,24.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1%,0.0,0%,20.0,63%
9.0,2024.0,2024-11-11,9.0,10.0,23.352,LAR,,MIA,L 15-23,,2.0,8.0,4.0,0.0,1.0,1.0,7.0,7.0,0.0,100.0%,7.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7%,0.0,0%,8.0,29%
10.0,2024.0,2024-11-17,10.0,11.0,23.358,LAR,@,NWE,W 28-22,,5.0,21.0,4.2,0.0,1.0,1.0,7.0,7.0,0.0,100.0%,7.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,19%,0.0,0%,10.0,37%
11.0,2024.0,2024-11-24,11.0,12.0,23.365,LAR,,PHI,L 20-37,,1.0,5.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0%,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9%,0.0,0%,10.0,36%
