Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,24.234,LAR,@,DET,L 20-26,*,0.0,2,3,5,0,0,0,0,0,0,0,0,0.0,0%,47.0,77%,7.0,27%
2.0,2024.0,2024-09-15,2.0,2.0,24.241,LAR,@,ARI,L 10-41,*,0.0,1,2,3,0,0,0,0,0,1,8,0,0.0,0%,52.0,79%,7.0,28%
3.0,2024.0,2024-09-22,3.0,3.0,24.248,LAR,,SFO,W 27-24,*,0.0,1,1,2,0,0,0,0,0,1,0,0,0.0,0%,45.0,63%,6.0,22%
4.0,2024.0,2024-09-29,4.0,4.0,24.255,LAR,@,CHI,L 18-24,,1.0,2,2,4,1,0,0,0,1,0,0,0,0.0,0%,33.0,55%,5.0,19%
5.0,2024.0,2024-10-06,5.0,5.0,24.262,LAR,,GNB,L 19-24,,0.0,1,3,4,1,0,0,0,0,0,0,0,0.0,0%,30.0,51%,4.0,18%
6.0,2024.0,2024-10-20,6.0,7.0,24.276,LAR,,LVR,W 20-15,,0.0,0,2,2,0,1,0,0,0,0,0,0,0.0,0%,40.0,51%,7.0,25%
7.0,2024.0,2024-10-24,7.0,8.0,24.28,LAR,,MIN,W 30-20,,0.0,2,0,2,0,0,0,0,0,0,0,0,0.0,0%,26.0,52%,0.0,0%
8.0,2024.0,2024-11-03,8.0,9.0,24.29,LAR,@,SEA,W 26-20,,2.0,2,2,4,2,2,0,0,0,0,0,0,0.0,0%,49.0,61%,3.0,9%
9.0,2024.0,2024-11-11,9.0,10.0,24.298,LAR,,MIA,L 15-23,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0%,28.0,53%,5.0,18%
10.0,2024.0,2024-11-17,10.0,11.0,24.304,LAR,@,NWE,W 28-22,,2.0,2,1,3,2,2,0,0,1,0,0,0,0.0,0%,43.0,57%,6.0,22%
11.0,2024.0,2024-11-24,11.0,12.0,24.311,LAR,,PHI,L 20-37,,1.0,2,2,4,2,1,0,0,0,0,0,0,0.0,0%,32.0,44%,7.0,25%
