Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-08,1.0,1.0,24.083,LAR,@,DET,L 20-26,,,,,,,,0,0%,0,0%,7,27%,
2.0,2024.0,2024-09-15,2.0,2.0,24.09,LAR,@,ARI,L 10-41,,0.0,1,0,1,0,0,0,0%,6,9%,8,32%,
3.0,2024.0,2024-09-22,3.0,3.0,24.097,LAR,,SFO,W 27-24,,,,,,,,0,0%,0,0%,11,41%,
4.0,2024.0,2024-09-29,4.0,4.0,24.104,LAR,@,CHI,L 18-24,,,,,,,,0,0%,0,0%,15,58%,
5.0,2024.0,2024-10-06,5.0,5.0,24.111,LAR,,GNB,L 19-24,,,,,,,,0,0%,0,0%,20,91%,
6.0,2024.0,2024-10-20,6.0,7.0,24.125,LAR,,LVR,W 20-15,,,,,,,,0,0%,0,0%,19,68%,
7.0,2024.0,2024-10-24,7.0,8.0,24.129,LAR,,MIN,W 30-20,,,,,,,,0,0%,0,0%,15,60%,
8.0,2024.0,2024-11-03,8.0,9.0,24.139,LAR,@,SEA,W 26-20,,0.0,0,0,0,0,0,0,0%,7,9%,24,75%,
9.0,2024.0,2024-11-11,9.0,10.0,,LAR,,MIA,L 15-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10.0,2024.0,2024-11-17,10.0,11.0,,LAR,@,NWE,W 28-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11.0,2024.0,2024-11-24,11.0,12.0,,LAR,,PHI,L 20-37,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
