Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,22.219,LAR,@,SEA,W 30-13,,,,,,,0.0%,,0,0,,,,,,,1,1%,0,0%,1,4%,
2,2023,2023-09-17,2,2,,LAR,,SFO,L 23-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2023,2023-09-25,3,3,,LAR,@,CIN,L 16-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,2023,2023-10-01,4,4,22.240,LAR,@,IND,W 29-23,,,,,,,0.0%,,0,0,,,,,,,1,1%,0,0%,3,11%,
5,2023,2023-10-08,5,5,22.247,LAR,,PHI,L 14-23,,,,,,,0.0%,,0,0,,,,,,,1,2%,0,0%,9,45%,
6,2023,2023-10-15,6,6,22.254,LAR,,ARI,W 26-9,,,,,,,0.0%,,0,0,,,,,,,4,7%,0,0%,8,30%,
7,2023,2023-10-22,7,7,22.261,LAR,,PIT,L 17-24,,,,,,,0.0%,,0,0,,,,,,,13,19%,0,0%,9,35%,
8,2023,2023-10-29,8,8,22.268,LAR,@,DAL,L 20-43,,,,,,,0.0%,,0,0,,,,,,,3,5%,0,0%,13,43%,
9,2023,2023-11-05,9,9,22.275,LAR,@,GNB,L 3-20,,0,0,0,,0,0.0%,,0,0,0.0,1,0,1,0,0,6,10%,0,0%,10,43%,
10,2023,2023-11-19,10,11,22.289,LAR,,SEA,W 17-16,,,,,,,0.0%,,0,0,,,,,,,1,1%,0,0%,10,38%,
11,2023,2023-11-26,11,12,22.296,LAR,@,ARI,W 37-14,,1,1,6,6.00,0,100.0%,6.00,0,0,0.0,0,0,0,0,0,9,13%,0,0%,4,14%,
12,2023,2023-12-03,12,13,22.303,LAR,,CLE,W 36-19,,,,,,,0.0%,,0,0,,,,,,,1,2%,0,0%,10,30%,
13,2023,2023-12-10,13,14,22.310,LAR,@,BAL,L 31-37,,5,4,50,12.50,1,80.0%,10.00,1,6,0.0,0,0,0,0,0,55,71%,0,0%,9,24%,
14,2023,2023-12-17,14,15,22.317,LAR,,WAS,W 28-20,,1,1,14,14.00,0,100.0%,14.00,0,0,0.0,0,0,0,0,0,26,35%,0,0%,5,19%,
15,2023,2023-12-21,15,16,22.321,LAR,,NOR,W 30-22,,,,,,,0.0%,,0,0,,,,,,,17,24%,0,0%,4,17%,
16,2023,2023-12-31,16,17,22.331,LAR,@,NYG,W 26-25,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,4,6%,0,0%,9,30%,
17,2023,2024-01-07,17,18,22.338,LAR,@,SFO,W 21-20,*,4,4,25,6.25,0,100.0%,6.25,0,0,0.0,0,0,0,0,0,50,75%,0,0%,0,0%,
18,2024,2024-09-08,1,1,23.218,LAR,@,DET,L 20-26,,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,6,8%,0,0%,12,46%,
19,2024,2024-09-15,2,2,,LAR,@,ARI,L 10-41,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,2024,2024-09-22,3,3,,LAR,,SFO,W 27-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,2024,2024-09-29,4,4,23.239,LAR,@,CHI,L 18-24,,,,,,,0.0%,,0,0,,,,,,,0,0%,0,0%,8,31%,
22,2024,2024-10-06,5,5,23.246,LAR,,GNB,L 19-24,,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,3,4%,0,0%,11,50%,
23,2024,2024-10-20,6,7,23.260,LAR,,LVR,W 20-15,,,,,,,0.0%,,0,0,,,,,,,12,22%,0,0%,9,32%,
24,2024,2024-10-24,7,8,23.264,LAR,,MIN,W 30-20,,,,,,,0.0%,,0,0,,,,,,,28,39%,0,0%,9,36%,
25,2024,2024-11-03,8,9,23.274,LAR,@,SEA,W 26-20,,3,1,5,5.00,0,33.3%,1.67,0,0,0.0,0,0,0,0,0,42,55%,0,0%,6,19%,
26,2024,2024-11-11,9,10,23.282,LAR,,MIA,L 15-23,*,6,5,34,6.80,0,83.3%,5.67,0,0,0.0,0,0,0,0,0,56,80%,0,0%,8,29%,
27,2024,2024-11-17,10,11,23.288,LAR,@,NWE,W 28-22,*,,,,,,0.0%,,0,0,,,,,,,34,65%,0,0%,6,22%,
28,2024,2024-11-24,11,12,23.295,LAR,,PHI,L 20-37,*,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,31,48%,0,0%,8,29%,
