Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,,LAR,@,SEA,W 30-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2023,2023-09-17,2,2,,LAR,,SFO,L 23-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2023,2023-09-25,3,3,24.022,LAR,@,CIN,L 16-19,,,,,,,,,,,,,,0,0%,5,6%,0,0%,
4,2023,2023-10-01,4,4,24.028,LAR,@,IND,W 29-23,,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0%,5,8%,0,0%,
5,2023,2023-10-08,5,5,,LAR,,PHI,L 14-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2023,2023-10-15,6,6,,LAR,,ARI,W 26-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2023,2023-10-22,7,7,24.049,LAR,,PIT,L 17-24,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,11,19%,0,0%,
8,2023,2023-10-29,8,8,24.056,LAR,@,DAL,L 20-43,,,,,,,,,,,,,,0,0%,7,11%,0,0%,
9,2023,2023-11-05,9,9,24.063,LAR,@,GNB,L 3-20,,,,,,,,,,,,,,0,0%,9,13%,0,0%,
10,2023,2023-11-19,10,11,24.077,LAR,,SEA,W 17-16,,,,,,,,,,,,,,0,0%,2,3%,0,0%,
11,2023,2023-11-26,11,12,24.084,LAR,@,ARI,W 37-14,,1.0,2,0,2,1,1,0,0,0,0,0,0,0,0%,22,31%,0,0%,
12,2023,2023-12-03,12,13,24.091,LAR,,CLE,W 36-19,,,,,,,,,,,,,,0,0%,2,3%,0,0%,
13,2023,2023-12-10,13,14,24.098,LAR,@,BAL,L 31-37,,,,,,,,,,,,,,0,0%,1,1%,0,0%,
14,2023,2023-12-17,14,15,,LAR,,WAS,W 28-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,2023,2023-12-21,15,16,,LAR,,NOR,W 30-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,2023,2023-12-31,16,17,24.119,LAR,@,NYG,W 26-25,,0.0,1,1,2,1,0,0,0,0,0,0,0,0,0%,9,12%,0,0%,
17,2023,2024-01-07,17,18,24.126,LAR,@,SFO,W 21-20,,1.0,1,1,2,0,1,0,0,1,0,0,0,0,0%,29,48%,0,0%,
18,2024,2024-09-08,1,1,,LAR,@,DET,L 20-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,2024,2024-09-15,2,2,25.012,LAR,@,ARI,L 10-41,,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0%,21,32%,0,0%,
20,2024,2024-09-22,3,3,25.019,LAR,,SFO,W 27-24,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,6,8%,0,0%,
21,2024,2024-09-29,4,4,,LAR,@,CHI,L 18-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
