Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,23.221,DET,,CHI,L 23-27,*,,,,,,,70,90%,0,0%,6,18%,
2,2020,2020-09-20,2,2,23.228,DET,@,GNB,L 21-42,*,,,,,,,59,100%,0,0%,4,13%,
3,2020,2020-09-27,3,3,23.235,DET,@,ARI,W 26-23,*,,,,,,,66,100%,0,0%,7,25%,
4,2020,2020-10-04,4,4,23.242,DET,,NOR,L 29-35,*,,,,,,,61,100%,0,0%,3,12%,
5,2020,2020-10-18,5,6,23.256,DET,@,JAX,W 34-16,*,,,,,,,59,77%,0,0%,8,31%,
6,2020,2020-10-25,6,7,23.263,DET,@,ATL,W 23-22,*,,,,,,,61,100%,0,0%,6,26%,
7,2020,2020-11-01,7,8,23.270,DET,,IND,L 21-41,*,0.0,0,0,0,0,0,61,100%,0,0%,4,13%,
8,2020,2020-11-08,8,9,23.277,DET,@,MIN,L 20-34,*,0.0,0,0,0,0,0,75,100%,0,0%,5,17%,
9,2020,2020-11-15,9,10,23.284,DET,,WAS,W 30-27,*,,,,,,,59,100%,0,0%,6,19%,
10,2020,2020-11-22,10,11,23.291,DET,@,CAR,L 0-20,*,0.0,0,0,0,0,0,56,100%,0,0%,1,4%,
11,2020,2020-11-26,11,12,23.295,DET,,HOU,L 25-41,*,,,,,,,82,100%,0,0%,3,10%,
12,2020,2020-12-06,12,13,23.305,DET,@,CHI,W 34-30,*,,,,,,,68,100%,0,0%,6,20%,
13,2020,2020-12-13,13,14,23.312,DET,,GNB,L 24-31,*,,,,,,,67,100%,0,0%,4,15%,
14,2020,2020-12-20,14,15,23.319,DET,@,TEN,L 25-46,*,,,,,,,65,100%,0,0%,4,15%,
15,2020,2020-12-26,15,16,23.325,DET,,TAM,L 7-47,*,,,,,,,53,100%,0,0%,1,3%,
16,2020,2021-01-03,16,17,23.333,DET,,MIN,L 35-37,*,,,,,,,42,72%,0,0%,4,13%,
17,2021,2021-09-12,1,1,24.219,DET,,SFO,L 33-41,*,,,,,,,92,100%,0,0%,4,13%,
18,2021,2021-09-20,2,2,24.227,DET,@,GNB,L 17-35,*,,,,,,,57,100%,0,0%,3,13%,
19,2021,2021-09-26,3,3,24.233,DET,,BAL,L 17-19,*,,,,,,,63,100%,0,0%,3,11%,
20,2021,2021-10-03,4,4,24.240,DET,@,CHI,L 14-24,*,,,,,,,71,100%,0,0%,2,10%,
21,2021,2021-10-10,5,5,24.247,DET,@,MIN,L 17-19,*,0.0,0,0,0,0,0,68,100%,0,0%,3,12%,
22,2021,2021-10-17,6,6,24.254,DET,,CIN,L 11-34,*,,,,,,,63,100%,0,0%,1,4%,
23,2021,2021-10-24,7,7,24.261,DET,@,LAR,L 19-28,*,0.0,1,0,1,0,0,69,100%,0,0%,5,20%,
24,2021,2021-10-31,8,8,24.268,DET,,PHI,L 6-44,*,,,,,,,62,100%,0,0%,1,4%,
25,2021,2021-11-14,9,10,24.282,DET,@,PIT,T 16-16,*,,,,,,,71,100%,0,0%,4,12%,
26,2021,2021-11-21,10,11,24.289,DET,@,CLE,L 10-13,*,,,,,,,48,100%,0,0%,2,9%,
27,2021,2021-11-25,11,12,24.293,DET,,CHI,L 14-16,*,,,,,,,49,100%,0,0%,3,13%,
28,2021,2021-12-05,12,13,24.303,DET,,MIN,W 29-27,*,,,,,,,72,100%,0,0%,5,19%,
29,2021,2021-12-12,13,14,24.310,DET,@,DEN,L 10-38,*,,,,,,,63,100%,0,0%,2,9%,
30,2021,2021-12-19,14,15,,DET,,ARI,W 30-12,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,2021,2021-12-26,15,16,24.324,DET,@,ATL,L 16-20,*,,,,,,,67,100%,0,0%,4,17%,
32,2021,2022-01-02,16,17,24.331,DET,@,SEA,L 29-51,*,,,,,,,63,100%,0,0%,4,12%,
33,2021,2022-01-09,17,18,24.338,DET,,GNB,W 37-30,*,,,,,,,59,100%,0,0%,7,25%,
34,2022,2022-09-11,1,1,25.218,DET,,PHI,L 35-38,*,,,,,,,69,100%,0,0%,5,16%,
35,2022,2022-09-18,2,2,,DET,,WAS,W 36-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,2022,2022-09-25,3,3,,DET,@,MIN,L 24-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,2022,2022-10-02,4,4,,DET,,SEA,L 45-48,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,2022,2022-10-09,5,5,25.246,DET,@,NWE,L 0-29,*,,,,,,,66,100%,0,0%,0,0%,
39,2022,2022-10-23,6,7,25.260,DET,@,DAL,L 6-24,*,,,,,,,59,100%,0,0%,2,9%,
40,2022,2022-10-30,7,8,25.267,DET,,MIA,L 27-31,*,,,,,,,60,100%,0,0%,5,20%,
41,2022,2022-11-06,8,9,25.274,DET,,GNB,W 15-9,*,,,,,,,62,100%,0,0%,2,15%,
42,2022,2022-11-13,9,10,25.281,DET,@,CHI,W 31-30,*,,,,,,,62,100%,0,0%,5,17%,
43,2022,2022-11-20,10,11,25.288,DET,@,NYG,W 31-18,*,,,,,,,67,100%,0,0%,5,19%,
44,2022,2022-11-24,11,12,,DET,,BUF,L 25-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
45,2022,2022-12-04,12,13,25.302,DET,,JAX,W 40-14,*,,,,,,,76,100%,0,0%,8,31%,
46,2022,2022-12-11,13,14,25.309,DET,,MIN,W 34-23,*,,,,,,,70,100%,0,0%,7,24%,
47,2022,2022-12-18,14,15,25.316,DET,@,NYJ,W 20-17,*,,,,,,,68,100%,0,0%,5,18%,
48,2022,2022-12-24,15,16,25.322,DET,@,CAR,L 23-37,*,,,,,,,66,100%,0,0%,3,10%,
49,2022,2023-01-01,16,17,25.330,DET,,CHI,W 41-10,*,,,,,,,71,100%,0,0%,7,23%,
50,2022,2023-01-08,17,18,25.337,DET,@,GNB,W 20-16,*,,,,,,,62,100%,0,0%,6,24%,
51,2023,2023-09-07,1,1,26.214,DET,@,KAN,W 21-20,*,,,,,,,70,100%,0,0%,3,11%,
52,2023,2023-09-17,2,2,26.224,DET,,SEA,L 31-37,*,,,,,,,66,100%,0,0%,5,18%,
53,2023,2023-09-24,3,3,26.231,DET,,ATL,W 20-6,*,,,,,,,70,100%,0,0%,4,15%,
54,2023,2023-09-28,4,4,26.235,DET,@,GNB,W 34-20,*,,,,,,,75,100%,0,0%,7,23%,
55,2023,2023-10-08,5,5,26.245,DET,,CAR,W 42-24,*,,,,,,,57,95%,0,0%,1,4%,
56,2023,2023-10-15,6,6,,DET,@,TAM,W 20-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,2023,2023-10-22,7,7,,DET,@,BAL,L 6-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
58,2023,2023-10-30,8,8,,DET,,LVR,W 26-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
59,2023,2023-11-12,9,10,26.280,DET,@,LAC,W 41-38,*,,,,,,,66,100%,0,0%,7,23%,
60,2023,2023-11-19,10,11,,DET,,CHI,W 31-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
61,2023,2023-11-23,11,12,,DET,,GNB,L 22-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
62,2023,2023-12-03,12,13,26.301,DET,@,NOR,W 33-28,*,,,,,,,58,100%,0,0%,0,0%,
63,2023,2023-12-10,13,14,26.308,DET,@,CHI,L 13-28,*,,,,,,,65,100%,0,0%,0,0%,
64,2023,2023-12-16,14,15,26.314,DET,,DEN,W 42-17,*,,,,,,,66,100%,0,0%,0,0%,
65,2023,2023-12-24,15,16,26.322,DET,@,MIN,W 30-24,*,,,,,,,79,100%,0,0%,0,0%,
66,2023,2023-12-30,16,17,26.328,DET,@,DAL,L 19-20,*,,,,,,,69,100%,0,0%,0,0%,
67,2023,2024-01-07,17,18,26.336,DET,,MIN,W 30-20,*,,,,,,,57,100%,0,0%,0,0%,
68,2024,2024-09-08,1,1,27.216,LAR,@,DET,L 20-26,*,,,,,,,78,100%,0,0%,3,12%,
69,2024,2024-09-15,2,2,27.223,LAR,@,ARI,L 10-41,*,,,,,,,52,100%,0,0%,2,8%,
70,2024,2024-09-22,3,3,,LAR,,SFO,W 27-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
71,2024,2024-09-29,4,4,,LAR,@,CHI,L 18-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
72,2024,2024-10-06,5,5,,LAR,,GNB,L 19-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
73,2024,2024-10-20,6,7,,LAR,,LVR,W 20-15,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
74,2024,2024-10-24,7,8,,LAR,,MIN,W 30-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
75,2024,2024-11-03,8,9,,LAR,@,SEA,W 26-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
76,2024,2024-11-11,9,10,27.280,LAR,,MIA,L 15-23,*,,,,,,,70,100%,0,0%,0,0%,
77,2024,2024-11-17,10,11,,LAR,@,NWE,W 28-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
78,2024,2024-11-24,11,12,,LAR,,PHI,L 20-37,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
