Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-14,1,1,23.362,PIT,@,NYG,W 26-16,,0,,,0,0,0,6,9%,0,0%,1,4%,
2,2020,2020-09-20,2,2,24.002,PIT,,DEN,W 26-21,*,0,,,0,0,0,65,100%,0,0%,4,13%,
3,2020,2020-09-27,3,3,24.009,PIT,,HOU,W 28-21,,0,,,0,0,0,0,0%,0,0%,4,14%,
4,2020,2020-10-11,4,5,24.023,PIT,,PHI,W 38-29,,0,,,0,0,0,55,72%,0,0%,6,23%,
5,2020,2020-10-18,5,6,24.030,PIT,,CLE,W 38-7,*,0,,,0,0,0,65,100%,0,0%,6,22%,
6,2020,2020-10-25,6,7,24.037,PIT,@,TEN,W 27-24,,0,,,0,0,0,0,0%,0,0%,5,18%,
7,2020,2020-11-01,7,8,24.044,PIT,@,BAL,W 28-24,,0,,,0,0,0,1,2%,0,0%,4,15%,
8,2020,2020-11-08,8,9,24.051,PIT,@,DAL,W 24-19,,0,,,0,0,0,0,0%,0,0%,5,19%,
9,2020,2020-11-15,9,10,,PIT,,CIN,W 36-10,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
10,2020,2020-11-22,10,11,,PIT,@,JAX,W 27-3,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
11,2020,2020-12-02,11,12,24.075,PIT,,BAL,W 19-14,,0,,,0,0,0,4,6%,0,0%,0,0%,
12,2020,2020-12-07,12,13,24.080,PIT,,WAS,L 17-23,,0,,,0,0,0,0,0%,0,0%,3,9%,
13,2020,2020-12-13,13,14,24.086,PIT,@,BUF,L 15-26,,0,,,0,0,0,29,51%,0,0%,0,0%,
14,2020,2020-12-21,14,15,,PIT,@,CIN,L 17-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,2020,2020-12-27,15,16,24.100,PIT,,IND,W 28-24,*,0,,,0,0,0,68,100%,0,0%,4,13%,
16,2020,2021-01-03,16,17,24.107,PIT,@,CLE,L 22-24,*,0,,,0,0,0,67,100%,0,0%,4,16%,
17,2021,2021-09-12,1,1,24.359,PIT,@,BUF,W 23-16,*,,,,,,,58,100%,0,0%,5,17%,
18,2021,2021-09-19,2,2,25.001,PIT,,LVR,L 17-26,*,,,,,,,56,100%,0,0%,3,11%,
19,2021,2021-09-26,3,3,25.008,PIT,,CIN,L 10-24,*,,,,,,,83,100%,0,0%,3,13%,
20,2021,2021-10-03,4,4,25.015,PIT,@,GNB,L 17-27,*,,,,,,,49,82%,0,0%,2,8%,
21,2021,2021-10-10,5,5,25.022,PIT,,DEN,W 27-19,*,,,,,,,65,100%,0,0%,6,23%,
22,2021,2021-10-17,6,6,25.029,PIT,,SEA,W 23-20,*,,,,,,,75,100%,0,0%,5,15%,
23,2021,2021-10-31,7,8,25.043,PIT,@,CLE,W 15-10,*,,,,,,,74,100%,0,0%,2,11%,
24,2021,2021-11-08,8,9,25.051,PIT,,CHI,W 29-27,*,,,,,,,72,100%,0,0%,6,17%,
25,2021,2021-11-14,9,10,25.057,PIT,,DET,T 16-16,*,,,,,,,33,38%,0,0%,1,3%,
26,2021,2021-11-21,10,11,,PIT,@,LAC,L 37-41,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
27,2021,2021-11-28,11,12,,PIT,@,CIN,L 10-41,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
28,2021,2021-12-05,12,13,,PIT,,BAL,W 20-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
29,2021,2021-12-09,13,14,,PIT,@,MIN,L 28-36,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
30,2021,2021-12-19,14,15,,PIT,,TEN,W 19-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
31,2021,2021-12-26,15,16,,PIT,@,KAN,L 10-36,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
32,2021,2022-01-03,16,17,,PIT,,CLE,W 26-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
33,2021,2022-01-09,17,18,,PIT,@,BAL,W 16-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
34,2022,2022-09-11,1,1,25.358,PIT,@,CIN,W 23-20,*,,,,,,,63,100%,0,0%,6,19%,
35,2022,2022-09-18,2,2,26.000,PIT,,NWE,L 14-17,*,,,,,,,59,100%,0,0%,2,9%,
36,2022,2022-09-22,3,3,26.004,PIT,@,CLE,L 17-29,*,,,,,,,59,100%,0,0%,5,18%,
37,2022,2022-10-02,4,4,26.014,PIT,,NYJ,L 20-24,*,,,,,,,64,100%,0,0%,4,15%,
38,2022,2022-10-09,5,5,26.021,PIT,@,BUF,L 3-38,*,,,,,,,75,100%,0,0%,3,12%,
39,2022,2022-10-16,6,6,26.028,PIT,,TAM,W 20-18,*,,,,,,,64,100%,0,0%,4,14%,
40,2022,2022-10-23,7,7,26.035,PIT,@,MIA,L 10-16,*,,,,,,,75,100%,0,0%,2,8%,
41,2022,2022-10-30,8,8,26.042,PIT,@,PHI,L 13-35,*,,,,,,,76,100%,0,0%,3,11%,
42,2022,2022-11-13,9,10,26.056,PIT,,NOR,W 20-10,*,,,,,,,84,100%,0,0%,6,25%,
43,2022,2022-11-20,10,11,26.063,PIT,,CIN,L 30-37,*,,,,,,,73,100%,0,0%,6,17%,
44,2022,2022-11-28,11,12,26.071,PIT,@,IND,W 24-17,*,,,,,,,69,100%,0,0%,4,15%,
45,2022,2022-12-04,12,13,26.077,PIT,@,ATL,W 19-16,*,,,,,,,65,100%,0,0%,5,20%,
46,2022,2022-12-11,13,14,26.084,PIT,,BAL,L 14-16,*,,,,,,,55,100%,0,0%,3,14%,
47,2022,2022-12-18,14,15,26.091,PIT,@,CAR,W 24-16,*,,,,,,,68,100%,0,0%,4,16%,
48,2022,2022-12-24,15,16,26.097,PIT,,LVR,W 13-10,*,,,,,,,68,100%,0,0%,5,23%,
49,2022,2023-01-01,16,17,26.105,PIT,@,BAL,W 16-13,*,,,,,,,70,100%,0,0%,5,22%,
50,2022,2023-01-08,17,18,26.112,PIT,,CLE,W 28-14,*,0,0,0,1,0,0,73,100%,0,0%,4,18%,
51,2023,2023-09-10,1,1,,LAR,@,SEA,W 30-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,2023,2023-09-17,2,2,,LAR,,SFO,L 23-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,2023,2023-09-25,3,3,,LAR,@,CIN,L 16-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,2023,2023-10-01,4,4,27.013,LAR,@,IND,W 29-23,*,,,,,,,82,100%,0,0%,7,26%,
55,2023,2023-10-08,5,5,27.020,LAR,,PHI,L 14-23,*,,,,,,,56,100%,0,0%,2,10%,
56,2023,2023-10-15,6,6,27.027,LAR,,ARI,W 26-9,*,,,,,,,54,95%,0,0%,6,22%,
57,2023,2023-10-22,7,7,27.034,LAR,,PIT,L 17-24,*,,,,,,,68,100%,0,0%,4,15%,
58,2023,2023-10-29,8,8,27.041,LAR,@,DAL,L 20-43,*,,,,,,,62,100%,0,0%,2,7%,
59,2023,2023-11-05,9,9,27.048,LAR,@,GNB,L 3-20,*,,,,,,,58,100%,0,0%,2,9%,
60,2023,2023-11-19,10,11,27.062,LAR,,SEA,W 17-16,*,,,,,,,67,100%,0,0%,3,12%,
61,2023,2023-11-26,11,12,27.069,LAR,@,ARI,W 37-14,*,,,,,,,64,96%,0,0%,7,25%,
62,2023,2023-12-03,12,13,27.076,LAR,,CLE,W 36-19,*,,,,,,,64,100%,0,0%,7,21%,
63,2023,2023-12-10,13,14,27.083,LAR,@,BAL,L 31-37,*,,,,,,,77,100%,0,0%,5,14%,
64,2023,2023-12-17,14,15,27.090,LAR,,WAS,W 28-20,*,,,,,,,75,100%,0,0%,5,19%,
65,2023,2023-12-21,15,16,27.094,LAR,,NOR,W 30-22,*,,,,,,,70,100%,0,0%,7,29%,
66,2023,2023-12-31,16,17,27.104,LAR,@,NYG,W 26-25,*,,,,,,,62,100%,0,0%,4,13%,
67,2023,2024-01-07,17,18,27.111,LAR,@,SFO,W 21-20,*,,,,,,,23,34%,0,0%,1,5%,
68,2024,2024-09-08,1,1,27.356,LAR,@,DET,L 20-26,*,,,,,,,78,100%,0,0%,4,15%,
69,2024,2024-09-15,2,2,27.363,LAR,@,ARI,L 10-41,*,,,,,,,52,100%,0,0%,0,0%,
70,2024,2024-09-22,3,3,28.004,LAR,,SFO,W 27-24,*,,,,,,,58,100%,0,0%,5,19%,
71,2024,2024-09-29,4,4,28.011,LAR,@,CHI,L 18-24,*,,,,,,,61,100%,0,0%,5,19%,
72,2024,2024-10-06,5,5,28.018,LAR,,GNB,L 19-24,*,0,0,0,0,0,0,78,100%,0,0%,2,9%,
73,2024,2024-10-20,6,7,28.032,LAR,,LVR,W 20-15,*,,,,,,,55,100%,0,0%,4,14%,
74,2024,2024-10-24,7,8,28.036,LAR,,MIN,W 30-20,*,,,,,,,72,100%,0,0%,4,16%,
75,2024,2024-11-03,8,9,28.046,LAR,@,SEA,W 26-20,*,,,,,,,77,100%,0,0%,4,13%,
76,2024,2024-11-11,9,10,28.054,LAR,,MIA,L 15-23,*,,,,,,,70,100%,0,0%,6,21%,
77,2024,2024-11-17,10,11,28.060,LAR,@,NWE,W 28-22,*,,,,,,,52,100%,0,0%,5,19%,
78,2024,2024-11-24,11,12,28.067,LAR,,PHI,L 20-37,*,,,,,,,64,100%,0,0%,3,11%,
