Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1,2021,2021-09-12,1,1,23.342,LAR,,CHI,W 34-14,*,,,,,,,,,,,,,,,,,,,,,0,0%,9,13%,6,30%
2,2021,2021-09-19,2,2,23.349,LAR,@,IND,W 27-24,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,6,9%,15,58%
3,2021,2021-09-26,3,3,23.356,LAR,,TAM,W 34-24,,,,,,,,,,,,,,,,,,,,,,0,0%,18,25%,9,30%
4,2021,2021-10-03,4,4,23.363,LAR,,ARI,L 20-37,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,5,6%,9,32%
5,2021,2021-10-07,5,5,24.002,LAR,@,SEA,W 26-17,*,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,16,25%,10,36%
6,2021,2021-10-17,6,6,24.012,LAR,@,NYG,W 38-11,*,,,,,,,,,,,,,,,,,,,,,0,0%,27,36%,14,52%
7,2021,2021-10-24,7,7,24.019,LAR,,DET,W 28-19,,,,,,,,,,,,,,,,,,,,,,0,0%,1,1%,11,44%
8,2021,2021-10-31,8,8,24.026,LAR,@,HOU,W 38-22,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,30%,17,52%
9,2021,2021-11-07,9,9,24.033,LAR,,TEN,L 16-28,,,,,,,,,,,,,,,,,,,,,,0,0%,3,5%,18,67%
10,2021,2021-11-15,10,10,24.041,LAR,@,SFO,L 10-31,,,,,,,,,,,,,,,,,,,,,,0,0%,1,1%,17,74%
11,2021,2021-11-28,11,12,24.054,LAR,@,GNB,L 28-36,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,1%,32,89%
12,2021,2021-12-05,12,13,24.061,LAR,,JAX,W 37-7,,0,0,,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,5,8%,21,81%
13,2021,2021-12-13,13,14,24.069,LAR,@,ARI,W 30-23,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,26,97%
14,2021,2021-12-21,14,15,24.077,LAR,,SEA,W 20-10,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,24,101%
15,2021,2021-12-26,15,16,24.082,LAR,@,MIN,W 30-23,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,24,77%
16,2021,2022-01-02,16,17,24.089,LAR,@,BAL,W 20-19,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,20,87%
17,2021,2022-01-09,17,18,24.096,LAR,,SFO,L 24-27,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,25,89%
18,2022,2022-09-08,1,1,24.338,LAR,,BUF,L 10-31,,,,,,,,,,,,,,,,,,,,,,0,0%,1,2%,19,100%
19,2022,2022-09-18,2,2,24.348,LAR,,ATL,W 31-27,,,,,,,,,,,,,,,,,,,,,,1,2%,1,2%,23,100%
20,2022,2022-09-25,3,3,24.355,LAR,@,ARI,W 20-12,,,,,,,,,,,,,,,,,,,,,,0,0%,3,4%,25,100%
21,2022,2022-10-03,4,4,24.363,LAR,@,SFO,L 9-24,,,,,,,,,,,,,,,,,,,,,,0,0%,1,2%,25,100%
22,2022,2022-10-09,5,5,25.004,LAR,,DAL,L 10-22,,,,,,,,,,,,,,,,,,,,,,0,0%,3,5%,27,90%
23,2022,2022-10-16,6,6,25.011,LAR,,CAR,W 24-10,,1,22,22.00,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,26,100%
