Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,22.104,LAR,@,SEA,W 30-13,*,15,10,119,11.90,0,66.7%,7.93,0,0,,0,0,0,0,0,0,0,0,0,63,78%,0,0%,0,0%,
2,2023,2023-09-17,2,2,22.111,LAR,,SFO,L 23-30,*,20,15,147,9.80,0,75.0%,7.35,2,4,2.00,0,0,0,0,0,0,0,0,0,69,86%,0,0%,0,0%,
3,2023,2023-09-25,3,3,22.119,LAR,@,CIN,L 16-19,*,7,5,72,14.40,0,71.4%,10.29,0,0,,0,0,0,0,0,0,0,0,0,53,96%,0,0%,0,0%,
4,2023,2023-10-01,4,4,22.125,LAR,@,IND,W 29-23,*,10,9,163,18.11,1,90.0%,16.30,0,0,,0,1,6,0,0,0,1,0,0,78,95%,0,0%,0,0%,
5,2023,2023-10-08,5,5,22.132,LAR,,PHI,L 14-23,*,11,7,71,10.14,1,63.6%,6.45,0,0,,0,1,6,1,0,0,0,0,0,56,100%,0,0%,0,0%,
6,2023,2023-10-15,6,6,22.139,LAR,,ARI,W 26-9,*,7,4,26,6.50,0,57.1%,3.71,0,0,,0,0,0,0,0,0,0,0,0,55,96%,0,0%,0,0%,
7,2023,2023-10-22,7,7,22.146,LAR,,PIT,L 17-24,*,12,8,154,19.25,0,66.7%,12.83,0,0,,0,0,0,0,0,0,0,0,0,63,93%,0,0%,0,0%,
8,2023,2023-10-29,8,8,22.153,LAR,@,DAL,L 20-43,*,7,3,43,14.33,0,42.9%,6.14,0,0,,0,0,0,0,0,0,0,0,0,57,92%,0,0%,0,0%,
9,2023,2023-11-05,9,9,22.160,LAR,@,GNB,L 3-20,*,7,3,32,10.67,0,42.9%,4.57,0,0,,0,0,0,0,0,0,0,0,0,47,81%,0,0%,0,0%,
10,2023,2023-11-19,10,11,22.174,LAR,,SEA,W 17-16,*,7,5,70,14.00,1,71.4%,10.00,1,7,7.00,0,1,6,0,0,0,0,0,0,59,88%,0,0%,0,0%,
11,2023,2023-11-26,11,12,22.181,LAR,@,ARI,W 37-14,*,8,4,27,6.75,0,50.0%,3.38,0,0,,0,0,0,0,0,0,0,0,0,54,81%,0,0%,1,4%,
12,2023,2023-12-03,12,13,22.188,LAR,,CLE,W 36-19,*,7,4,105,26.25,1,57.1%,15.00,2,34,17.00,0,1,6,0,0,0,0,0,0,40,63%,0,0%,1,3%,
13,2023,2023-12-10,13,14,22.195,LAR,@,BAL,L 31-37,*,9,5,84,16.80,0,55.6%,9.33,1,6,6.00,0,0,0,0,0,0,0,0,0,72,94%,0,0%,0,0%,
14,2023,2023-12-17,14,15,22.202,LAR,,WAS,W 28-20,*,8,5,50,10.00,0,62.5%,6.25,2,3,1.50,0,0,0,0,0,0,0,0,0,75,100%,0,0%,2,7%,
15,2023,2023-12-21,15,16,22.206,LAR,,NOR,W 30-22,*,11,9,164,18.22,1,81.8%,14.91,2,16,8.00,0,1,6,0,0,0,0,0,0,69,99%,0,0%,2,8%,
16,2023,2023-12-31,16,17,22.216,LAR,@,NYG,W 26-25,*,8,5,118,23.60,0,62.5%,14.75,2,19,9.50,0,0,0,0,0,0,0,0,0,61,98%,0,0%,1,3%,
17,2023,2024-01-07,17,18,22.223,LAR,@,SFO,W 21-20,*,6,4,41,10.25,1,66.7%,6.83,0,0,,0,1,6,0,0,0,0,0,0,29,43%,0,0%,0,0%,
18,2024,2024-09-08,1,1,23.102,LAR,@,DET,L 20-26,*,4,4,35,8.75,0,100.0%,8.75,1,7,7.00,0,0,0,0,0,0,0,0,0,25,32%,0,0%,0,0%,
19,2024,2024-09-15,2,2,,LAR,@,ARI,L 10-41,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
