Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-08,1.0,1.0,23.312,LAR,@,DET,L 20-26,,0.0,1,0,1,0,0,0,0%,11,18%,0,0%,
2.0,2024.0,2024-09-15,2.0,2.0,,LAR,@,ARI,L 10-41,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3.0,2024.0,2024-09-22,3.0,3.0,23.326,LAR,,SFO,W 27-24,,0.0,1,1,2,1,0,0,0%,21,30%,0,0%,
4.0,2024.0,2024-09-29,4.0,4.0,23.333,LAR,@,CHI,L 18-24,,0.0,0,1,1,0,0,0,0%,11,18%,0,0%,
5.0,2024.0,2024-10-06,5.0,5.0,23.34,LAR,,GNB,L 19-24,,0.0,0,1,1,0,0,0,0%,7,12%,0,0%,
6.0,2024.0,2024-10-20,6.0,7.0,23.354,LAR,,LVR,W 20-15,,,,,,,,0,0%,17,22%,0,0%,
7.0,2024.0,2024-10-24,7.0,8.0,23.358,LAR,,MIN,W 30-20,,0.0,2,0,2,0,0,0,0%,9,18%,0,0%,
8.0,2024.0,2024-11-03,8.0,9.0,24.002,LAR,@,SEA,W 26-20,,0.5,0,4,4,0,1,0,0%,20,25%,0,0%,
9.0,2024.0,2024-11-11,9.0,10.0,24.01,LAR,,MIA,L 15-23,,0.0,2,0,2,0,0,0,0%,17,32%,0,0%,
10.0,2024.0,2024-11-17,10.0,11.0,24.016,LAR,@,NWE,W 28-22,,0.0,2,1,3,1,0,0,0%,31,41%,0,0%,
11.0,2024.0,2024-11-24,11.0,12.0,24.023,LAR,,PHI,L 20-37,,0.0,2,3,5,0,0,0,0%,35,48%,0,0%,
