Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2016,2016-09-12,1,1,23.255,LAR,@,SFO,L 0-28,*,4,1,2,2.00,0,25.0%,0.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,34%,0,0%,0,0%,
2,2016,2016-09-18,2,2,23.261,LAR,,SEA,W 9-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,42%,0,0%,0,0%,
3,2016,2016-09-25,3,3,23.268,LAR,@,TAM,W 37-32,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,32%,0,0%,4,13%,
4,2016,2016-10-02,4,4,23.275,LAR,@,ARI,W 17-13,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,31%,0,0%,0,0%,
5,2016,2016-10-09,5,5,23.282,LAR,,BUF,L 19-30,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,48%,0,0%,0,0%,
6,2016,2016-10-16,6,6,23.289,LAR,@,DET,L 28-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,33%,0,0%,0,0%,
7,2016,2016-10-23,7,7,23.296,LAR,,NYG,L 10-17,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,29,37%,0,0%,0,0%,
8,2016,2016-11-06,8,9,23.310,LAR,,CAR,L 10-13,*,7,1,31,31.00,0,14.3%,4.43,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,46%,0,0%,0,0%,
9,2016,2016-11-13,9,10,23.317,LAR,@,NYJ,W 9-6,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,36%,0,0%,2,8%,
10,2016,2016-11-20,10,11,23.324,LAR,,MIA,L 10-14,*,3,2,4,2.00,0,66.7%,1.33,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,39%,0,0%,5,17%,
11,2016,2016-11-27,11,12,23.331,LAR,@,NOR,L 21-49,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,43%,0,0%,7,22%,
12,2016,2016-12-04,12,13,23.338,LAR,@,NWE,L 10-26,,4,2,16,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,55%,0,0%,1,3%,
13,2016,2016-12-11,13,14,23.345,LAR,,ATL,L 14-42,,4,1,8,8.00,0,25.0%,2.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,38,53%,0,0%,1,3%,
