Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2011,2011-09-08,1,1,22.060,NOR,@,GNB,L 34-42,*,0,0,0.0,2,1,3,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
2,2011,2011-09-18,2,2,22.070,NOR,,CHI,W 30-13,*,0,0,0.0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
3,2011,2011-09-25,3,3,22.077,NOR,,HOU,W 40-33,*,0,0,0.0,2,1,3,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
4,2011,2011-10-02,4,4,22.084,NOR,@,JAX,W 23-10,*,0,0,0.0,1,1,2,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
5,2011,2011-10-09,5,5,22.091,NOR,@,CAR,W 30-27,*,0,0,0.0,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
6,2011,2011-10-16,6,6,22.098,NOR,@,TAM,L 20-26,*,0,0,0.0,2,4,6,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
7,2011,2011-10-23,7,7,22.105,NOR,,IND,W 62-7,*,0,0,0.0,2,1,3,0,1,0,0,0,0,0,,0,1,0,0,,,,,,,
8,2011,2011-10-30,8,8,22.112,NOR,@,STL,L 21-31,*,0,0,0.0,2,0,2,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
9,2011,2011-11-06,9,9,22.119,NOR,,TAM,W 27-16,*,0,0,0.0,1,0,1,1,1,0,0,0,1,0,,0,0,0,0,,,,,,,
10,2011,2011-11-13,10,10,22.126,NOR,@,ATL,W 26-23,*,0,0,0.0,1,2,3,0,0,0,0,0,1,0,,0,0,0,0,,,,,,,
11,2011,2011-11-28,11,12,22.141,NOR,,NYG,W 49-24,*,0,0,0.0,,,,,,,,,,0,,,0,0,0,,,,,,,
12,2011,2011-12-04,12,13,22.147,NOR,,DET,W 31-17,*,0,0,0.0,,,,,,,,,,0,,,0,0,0,,,,,,,
13,2011,2011-12-11,13,14,22.154,NOR,@,TEN,W 22-17,*,0,0,0.0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,,,,,,,
14,2011,2011-12-18,14,15,22.161,NOR,@,MIN,W 42-20,*,0,0,0.0,1,0,1,1,0,0,0,0,0,0,,0,0,0,0,,,,,,,
15,2011,2011-12-26,15,16,22.169,NOR,,ATL,W 45-16,,0,0,0.0,0,2,2,0,0,0,0,0,1,0,,0,0,0,0,,,,,,,
16,2011,2012-01-01,16,17,22.175,NOR,,CAR,W 45-17,*,0,0,1.0,3,0,3,0,2,0,0,0,0,0,,0,0,0,0,,,,,,,
17,2012,2012-09-09,1,1,23.061,NOR,,WAS,L 32-40,*,0,0,0.0,5,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,75,100%,8,21%,
18,2012,2012-09-16,2,2,23.068,NOR,@,CAR,L 27-35,*,0,0,1.0,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,60,95%,5,17%,
19,2012,2012-09-23,3,3,23.075,NOR,,KAN,L 24-27,*,0,0,0.0,2,3,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0%,94,100%,7,19%,
20,2012,2012-09-30,4,4,23.082,NOR,@,GNB,L 27-28,*,0,0,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,68,97%,5,16%,
21,2012,2012-10-07,5,5,23.089,NOR,,SDG,W 31-24,*,0,0,1.0,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,69,100%,5,17%,
22,2012,2012-10-21,6,7,23.103,NOR,@,TAM,W 35-28,*,0,0,1.0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0%,65,89%,5,17%,
23,2012,2012-10-28,7,8,23.110,NOR,@,DEN,L 14-34,*,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,55,74%,6,20%,
24,2012,2012-11-05,8,9,23.118,NOR,,PHI,W 28-13,*,0,0,3.0,4,3,7,2,6,0,0,0,0,0,0,1,0,0,0,0,0%,78,99%,3,12%,
25,2012,2012-11-11,9,10,23.124,NOR,,ATL,W 31-27,*,0,0,0.0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,65,89%,5,17%,
26,2012,2012-11-18,10,11,23.131,NOR,@,OAK,W 38-17,*,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,66,90%,3,11%,
27,2012,2012-11-25,11,12,23.138,NOR,,SFO,L 21-31,*,0,0,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,95%,7,24%,
28,2012,2012-11-29,12,13,23.142,NOR,@,ATL,L 13-23,*,0,0,1.0,4,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,57,98%,5,18%,
