Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,22.076,NOR,@,ATL,W 27-26,,3,3,41,13.67,0,100.0%,13.67,0,0,,0,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,45,74%,0,0%,0,0%,
2,2022,2022-09-18,2,2,22.083,NOR,,TAM,L 10-20,*,13,5,80,16.00,0,38.5%,6.15,0,0,,0,,0,0,0.0,1,0,1,0,0,1,1,0,0,0,0,51,75%,0,0%,0,0%,
3,2022,2022-09-25,3,3,22.090,NOR,@,CAR,L 14-22,,13,9,147,16.33,0,69.2%,11.31,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,53,77%,0,0%,0,0%,
4,2022,2022-10-02,4,4,22.097,NOR,,MIN,L 25-28,*,7,4,67,16.75,1,57.1%,9.57,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,41,68%,0,0%,0,0%,
5,2022,2022-10-09,5,5,22.104,NOR,,SEA,W 39-32,*,6,4,54,13.50,1,66.7%,9.00,0,0,,0,,1,6,0.0,1,0,1,0,0,0,0,1,0,0,0,31,40%,0,0%,0,0%,
6,2022,2022-10-16,6,6,,NOR,,CIN,L 26-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2022,2022-10-20,7,7,22.115,NOR,@,ARI,L 34-42,*,14,7,106,15.14,0,50.0%,7.57,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,76%,0,0%,0,0%,
8,2022,2022-10-30,8,8,22.125,NOR,,LVR,W 24-0,*,7,5,52,10.40,0,71.4%,7.43,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,58%,0,0%,0,0%,
9,2022,2022-11-07,9,9,22.133,NOR,,BAL,L 13-27,*,9,6,71,11.83,0,66.7%,7.89,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,90%,0,0%,0,0%,
10,2022,2022-11-13,10,10,22.139,NOR,@,PIT,L 10-20,,5,3,40,13.33,0,60.0%,8.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,77%,0,0%,0,0%,
