Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-09,1,1,22.013,NOR,,HOU,W 30-28,*,,,,,,,0,,,0,0,0,66,100%,0,0%,7,23%,
2,2019,2019-09-15,2,2,22.019,NOR,@,LAR,L 9-27,*,,,,,,,0,,,0,0,0,63,100%,0,0%,3,11%,
3,2019,2019-09-22,3,3,22.026,NOR,@,SEA,W 33-27,*,,,,,,,0,,,0,0,0,56,100%,0,0%,5,18%,
4,2019,2019-09-29,4,4,22.033,NOR,,DAL,W 12-10,*,,,,,,,0,,,0,0,0,70,100%,0,0%,4,19%,
5,2019,2019-10-06,5,5,22.040,NOR,,TAM,W 31-24,*,0.0,0,0,0,0,0,0,0,0,0,0,0,69,100%,0,0%,5,17%,
6,2019,2019-10-13,6,6,22.047,NOR,@,JAX,W 13-6,*,,,,,,,0,,,0,0,0,66,100%,0,0%,3,13%,
7,2019,2019-10-20,7,7,22.054,NOR,@,CHI,W 36-25,*,,,,,,,0,,,0,0,0,76,100%,0,0%,8,23%,
8,2019,2019-10-27,8,8,22.061,NOR,,ARI,W 31-9,*,,,,,,,0,,,0,0,0,68,92%,0,0%,6,21%,
9,2019,2019-11-10,9,10,22.075,NOR,,ATL,L 9-26,*,,,,,,,0,,,0,0,0,66,100%,0,0%,3,11%,
10,2019,2019-11-17,10,11,22.082,NOR,@,TAM,W 34-17,*,,,,,,,0,,,0,0,0,67,100%,0,0%,6,23%,
11,2019,2019-11-24,11,12,22.089,NOR,,CAR,W 34-31,*,,,,,,,0,,,0,0,0,64,100%,0,0%,6,19%,
12,2019,2019-11-28,12,13,22.093,NOR,@,ATL,W 26-18,*,,,,,,,0,,,0,0,0,49,100%,0,0%,6,20%,
13,2019,2019-12-08,13,14,22.103,NOR,,SFO,L 46-48,*,,,,,,,0,,,0,0,0,72,100%,0,0%,6,16%,
14,2019,2019-12-16,14,15,22.111,NOR,,IND,W 34-7,*,,,,,,,0,,,0,0,0,67,100%,0,0%,6,25%,
15,2019,2019-12-22,15,16,22.117,NOR,@,TEN,W 38-28,*,,,,,,,0,,,0,0,0,70,100%,0,0%,6,17%,
16,2019,2019-12-29,16,17,22.124,NOR,@,CAR,W 42-10,*,,,,,,,0,,,0,0,0,69,100%,0,0%,3,10%,
17,2020,2020-09-13,1,1,23.017,NOR,,TAM,W 34-23,*,,,,,,,0,,,0,0,0,68,100%,0,0%,6,18%,
18,2020,2020-09-21,2,2,23.025,NOR,@,LVR,L 24-34,*,,,,,,,0,,,0,0,0,60,100%,0,0%,0,0%,
19,2020,2020-09-27,3,3,23.031,NOR,,GNB,L 30-37,*,,,,,,,0,,,0,0,0,61,100%,0,0%,3,9%,
20,2020,2020-10-04,4,4,23.038,NOR,@,DET,W 35-29,*,,,,,,,0,,,0,0,0,70,100%,0,0%,1,4%,
21,2020,2020-10-12,5,5,23.046,NOR,,LAC,W 30-27,*,,,,,,,0,,,0,0,0,76,100%,0,0%,6,16%,
22,2020,2020-10-25,6,7,23.059,NOR,,CAR,W 27-24,*,,,,,,,0,,,0,0,0,70,100%,0,0%,0,0%,
23,2020,2020-11-01,7,8,23.066,NOR,@,CHI,W 26-23,*,,,,,,,0,,,0,0,0,74,100%,0,0%,0,0%,
24,2020,2020-11-08,8,9,23.073,NOR,@,TAM,W 38-3,*,0.0,0,0,0,0,0,1,0,0,0,0,0,73,100%,0,0%,0,0%,
25,2020,2020-11-15,9,10,23.080,NOR,,SFO,W 27-13,*,,,,,,,0,,,0,0,0,59,100%,0,0%,0,0%,
26,2020,2020-11-22,10,11,23.087,NOR,,ATL,W 24-9,*,,,,,,,0,,,0,0,0,67,100%,0,0%,3,11%,
27,2020,2020-11-29,11,12,23.094,NOR,@,DEN,W 31-3,*,,,,,,,0,,,0,0,0,61,95%,0,0%,0,0%,
28,2020,2020-12-06,12,13,23.101,NOR,@,ATL,W 21-16,*,,,,,,,0,,,0,0,0,78,100%,0,0%,0,0%,
29,2020,2020-12-13,13,14,23.108,NOR,@,PHI,L 21-24,*,,,,,,,0,,,0,0,0,63,100%,0,0%,4,15%,
30,2020,2020-12-20,14,15,23.115,NOR,,KAN,L 29-32,*,,,,,,,0,,,0,0,0,55,100%,0,0%,0,0%,
31,2020,2020-12-25,15,16,23.120,NOR,,MIN,W 52-33,*,,,,,,,0,,,0,0,0,75,100%,0,0%,8,26%,
32,2020,2021-01-03,16,17,23.129,NOR,@,CAR,W 33-7,*,,,,,,,0,,,0,0,0,64,100%,0,0%,0,0%,
33,2021,2021-09-12,1,1,24.016,NOR,,GNB,W 38-3,*,,,,,,,,,,,,,5,8%,0,0%,0,0%,
34,2021,2021-09-19,2,2,,NOR,@,CAR,L 7-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,2021,2021-09-26,3,3,,NOR,@,NWE,W 28-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,2021,2021-10-03,4,4,,NOR,,NYG,L 21-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,2021,2021-10-10,5,5,,NOR,@,WAS,W 33-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,2021,2021-10-25,6,7,24.059,NOR,@,SEA,W 13-10,*,,,,,,,,,,,,,74,100%,0,0%,3,12%,
39,2021,2021-10-31,7,8,24.065,NOR,,TAM,W 36-27,*,,,,,,,,,,,,,76,100%,0,0%,0,0%,
40,2021,2021-11-07,8,9,24.072,NOR,,ATL,L 25-27,*,,,,,,,,,,,,,76,100%,0,0%,0,0%,
41,2021,2021-11-14,9,10,24.079,NOR,@,TEN,L 21-23,*,,,,,,,,,,,,,67,100%,0,0%,0,0%,
