Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-09,1,1,22.234,NOR,,TAM,L 40-48,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,17,52%,
2,2018,2018-09-16,2,2,22.241,NOR,,CLE,W 21-18,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,15,56%,
3,2018,2018-09-23,3,3,22.248,NOR,@,ATL,W 43-37,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,25,69%,
4,2018,2018-09-30,4,4,22.255,NOR,@,NYG,W 33-18,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,18,62%,
5,2018,2018-10-08,5,5,22.263,NOR,,WAS,W 43-19,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,14,56%,
6,2018,2018-10-21,,7,,NOR,@,BAL,W 24-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2018,2018-10-28,,8,,NOR,@,MIN,W 30-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2018,2018-11-04,,9,,NOR,,LAR,W 45-35,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2018,2018-11-11,,10,,NOR,@,CIN,W 51-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2019,2019-09-09,1,1,23.234,NOR,,HOU,W 30-28,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,18,60%,
