Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-08,1.0,1.0,,NOR,,CAR,W 47-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2.0,2024.0,2024-09-15,2.0,2.0,,NOR,@,DAL,W 44-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3.0,2024.0,2024-09-22,3.0,3.0,22.299,NOR,,PHI,L 12-15,,,,,,,,0,0%,0,0%,4,24%,
4.0,2024.0,2024-09-29,4.0,4.0,22.306,NOR,@,ATL,L 24-26,,,,,,,,0,0%,0,0%,8,29%,
5.0,2024.0,2024-10-07,5.0,5.0,22.314,NOR,@,KAN,L 13-26,,,,,,,,0,0%,0,0%,8,33%,
6.0,2024.0,2024-10-13,6.0,6.0,22.32,NOR,,TAM,L 27-51,,0.0,0,2,2,0,0,0,0%,0,0%,18,49%,
7.0,2024.0,2024-10-17,7.0,7.0,22.324,NOR,,DEN,L 10-33,,,,,,,,0,0%,0,0%,17,59%,
8.0,2024.0,2024-10-27,8.0,8.0,,NOR,@,LAC,L 8-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9.0,2024.0,2024-11-03,9.0,9.0,,NOR,@,CAR,L 22-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10.0,2024.0,2024-11-10,10.0,10.0,,NOR,,ATL,W 20-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11.0,2024.0,2024-11-17,11.0,11.0,,NOR,,CLE,W 35-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
