Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,24.291,NWE,,MIA,W 21-11,,2,3%,0,0%,0,0%,
2,2020,2020-09-20,2,2,24.298,NWE,@,SEA,L 30-35,,5,7%,0,0%,0,0%,
3,2020,2020-09-27,3,3,24.305,NWE,,LVR,W 36-20,,10,14%,0,0%,4,13%,
4,2020,2020-10-05,4,4,24.313,NWE,@,KAN,L 10-26,*,75,100%,0,0%,2,9%,
5,2020,2020-10-18,5,6,24.326,NWE,,DEN,L 12-18,*,57,100%,0,0%,2,8%,
6,2020,2020-10-25,6,7,24.333,NWE,,SFO,L 6-33,,12,23%,0,0%,2,10%,
7,2020,2020-11-01,7,8,,NWE,@,BUF,L 21-24,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
8,2020,2020-11-09,8,9,,NWE,@,NYJ,W 30-27,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
9,2020,2020-11-15,9,10,,NWE,,BAL,W 23-17,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
10,2020,2020-11-22,10,11,,NWE,@,HOU,L 20-27,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
11,2020,2020-11-29,11,12,25.002,NWE,,ARI,W 20-17,,15,28%,0,0%,4,18%,
12,2020,2020-12-06,12,13,25.009,NWE,@,LAC,W 45-0,,28,42%,0,0%,7,26%,
13,2020,2020-12-10,13,14,25.013,NWE,@,LAR,L 3-24,*,7,12%,0,0%,1,4%,
14,2020,2020-12-20,14,15,25.023,NWE,@,MIA,L 12-22,*,55,100%,0,0%,4,18%,
15,2020,2020-12-28,15,16,25.031,NWE,,BUF,L 9-38,*,44,88%,0,0%,2,7%,
16,2020,2021-01-03,16,17,25.037,NWE,,NYJ,W 28-14,*,41,63%,0,0%,3,12%,
17,2021,2021-09-12,1,1,25.289,NWE,,MIA,L 16-17,,46,61%,0,0%,4,19%,
18,2021,2021-09-19,2,2,25.296,NWE,@,NYJ,W 25-6,,30,51%,0,0%,5,20%,
19,2021,2021-09-26,3,3,25.303,NWE,,NOR,L 13-28,*,67,93%,0,0%,3,10%,
20,2021,2021-10-03,4,4,25.310,NWE,,TAM,L 17-19,*,39,66%,0,0%,4,14%,
21,2021,2021-10-10,5,5,25.317,NWE,@,HOU,W 25-22,*,64,100%,0,0%,6,22%,
22,2021,2021-10-17,6,6,25.324,NWE,,DAL,L 29-35,*,45,83%,0,0%,3,11%,
23,2021,2021-10-24,7,7,25.331,NWE,,NYJ,W 54-13,,14,18%,0,0%,9,33%,
24,2021,2021-10-31,8,8,25.338,NWE,@,LAC,W 27-24,,8,10%,0,0%,5,17%,
25,2021,2021-11-07,9,9,25.345,NWE,@,CAR,W 24-6,,6,10%,0,0%,5,23%,
26,2021,2021-11-14,10,10,25.352,NWE,,CLE,W 45-7,,9,13%,0,0%,1,4%,
27,2021,2021-11-18,11,11,,NWE,@,ATL,W 25-0,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
28,2021,2021-11-28,12,12,26.001,NWE,,TEN,W 36-13,,1,2%,0,0%,0,0%,
29,2021,2021-12-06,13,13,26.009,NWE,@,BUF,W 14-10,,0,0%,0,0%,2,9%,
30,2021,2021-12-18,14,15,26.021,NWE,@,IND,L 17-27,,0,0%,0,0%,3,12%,
31,2021,2021-12-26,15,16,26.029,NWE,,BUF,L 21-33,,0,0%,0,0%,3,14%,
32,2021,2022-01-02,16,17,26.036,NWE,,JAX,W 50-10,,13,18%,0,0%,8,30%,
33,2021,2022-01-09,17,18,26.043,NWE,@,MIA,L 24-33,,52,84%,0,0%,4,14%,
34,2022,2022-09-11,1,1,,NWE,@,MIA,L 7-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
35,2022,2022-09-18,2,2,,NWE,@,PIT,W 17-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
36,2022,2022-09-25,3,3,,LVR,@,TEN,L 22-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
37,2022,2022-10-02,4,4,26.309,LVR,,DEN,W 32-23,,17,23%,0,0%,7,22%,
38,2022,2022-10-10,5,5,,LVR,@,KAN,L 29-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
39,2022,2022-10-23,6,7,,LVR,,HOU,W 38-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
40,2022,2022-10-30,7,8,,LVR,@,NOR,L 0-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
41,2022,2022-11-06,8,9,,LVR,@,JAX,L 20-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
42,2022,2022-11-13,9,10,,LVR,,IND,L 20-25,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
43,2022,2022-11-20,10,11,,LVR,@,DEN,W 22-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
44,2022,2022-11-27,11,12,,LVR,@,SEA,W 40-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
45,2022,2022-12-04,12,13,,LVR,,LAC,W 27-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
46,2022,2022-12-08,13,14,,LVR,@,LAR,L 16-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
47,2022,2022-12-18,14,15,,LVR,,NWE,W 30-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
