Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-10-25,6,7,24.042,NOR,,CAR,W 27-24,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,13,19%,0,0%,6,27%,
2,2020,2020-11-01,7,8,24.049,NOR,@,CHI,W 26-23,*,3,1,5,5.00,0,33.3%,1.67,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,86%,0,0%,1,3%,
3,2020,2020-12-06,12,13,24.084,NOR,@,ATL,W 21-16,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,20,26%,0,0%,13,50%,
4,2020,2020-12-13,13,14,24.091,NOR,@,PHI,L 21-24,*,1,1,11,11.00,0,100.0%,11.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,8%,0,0%,9,35%,
5,2020,2020-12-20,14,15,24.098,NOR,,KAN,L 29-32,,4,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,76%,0,0%,12,35%,
6,2020,2020-12-25,15,16,24.103,NOR,,MIN,W 52-33,,1,1,19,19.00,0,100.0%,19.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,31%,0,0%,14,45%,
7,2020,2021-01-03,16,17,24.112,NOR,@,CAR,W 33-7,,1,1,4,4.00,0,100.0%,4.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,15,23%,0,0%,11,48%,
8,2021,2021-09-12,1,1,24.364,NOR,,GNB,W 38-3,,3,3,21,7.00,2,100.0%,7.00,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,12,19%,0,0%,6,27%,
9,2021,2021-09-19,2,2,25.006,NOR,@,CAR,L 7-26,,3,1,23,23.00,0,33.3%,7.67,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,41%,0,0%,8,32%,
10,2021,2021-09-26,3,3,25.013,NOR,@,NWE,W 28-13,,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,13%,0,0%,9,31%,
