Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,,1,,KAN,@,JAX,W 40-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2019,2019-09-15,,2,,KAN,@,OAK,W 28-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2019,2019-09-22,,3,,KAN,,BAL,W 33-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2019,2019-09-29,,4,,KAN,@,DET,W 34-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2019,2019-10-06,5,5,23.058,KAN,,IND,L 13-19,,0.0,1,0,1,0,0,0,0,0,0,0,0%,33,41%,2,8%,
6,2019,2019-10-13,6,6,23.065,KAN,,HOU,L 24-31,*,0.0,1,1,2,0,0,0,0,0,0,0,0%,54,61%,0,0%,
7,2019,2019-10-17,7,7,23.069,KAN,@,DEN,W 30-6,*,0.0,1,1,2,0,0,0,0,0,0,0,0%,27,40%,0,0%,
8,2019,2019-10-27,8,8,23.079,KAN,,GNB,L 24-31,*,1.0,2,1,3,0,1,0,0,0,0,0,0%,45,67%,0,0%,
9,2019,2019-11-03,9,9,23.086,KAN,,MIN,W 26-23,*,0.0,1,2,3,0,1,0,0,0,1,0,0%,30,43%,1,3%,
10,2019,2019-11-10,10,10,23.093,KAN,@,TEN,L 32-35,,0.0,1,0,1,0,0,0,0,0,0,0,0%,13,26%,0,0%,
11,2019,2019-11-18,11,11,23.101,KAN,@,LAC,W 24-17,,0.0,1,1,2,0,0,0,0,0,0,0,0%,24,30%,0,0%,
12,2019,2019-12-01,12,13,23.114,KAN,,OAK,W 40-9,,0.0,1,2,3,0,0,0,0,0,0,0,0%,20,34%,0,0%,
13,2019,2019-12-08,13,14,23.121,KAN,@,NWE,W 23-16,,0.0,2,0,2,0,0,0,0,0,0,0,0%,14,21%,0,0%,
14,2019,2019-12-15,14,15,23.128,KAN,,DEN,W 23-3,,,,,,,,,,,,0,0%,12,20%,0,0%,
15,2019,2019-12-22,15,16,23.135,KAN,@,CHI,W 26-3,,0.0,2,1,3,0,0,0,0,0,0,0,0%,18,28%,0,0%,
16,2019,2019-12-29,16,17,23.142,KAN,,LAC,W 31-21,,,,,,,,,,,,0,0%,13,16%,0,0%,
17,2020,2020-09-10,1,1,24.032,KAN,,HOU,W 34-20,,,,,,,,,,,,0,0%,8,14%,0,0%,
