Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-12,1,1,24.022,NOR,,GNB,W 38-3,,0,0%,0,0%,6,27%,
2,2021,2021-09-19,2,2,24.029,NOR,@,CAR,L 7-26,,0,0%,0,0%,1,4%,
3,2021,2021-09-26,3,3,24.036,NOR,@,NWE,W 28-13,,3,5%,0,0%,6,21%,
4,2021,2021-10-03,4,4,24.043,NOR,,NYG,L 21-27,,0,0%,0,0%,4,16%,
5,2021,2021-10-10,5,5,24.050,NOR,@,WAS,W 33-22,,0,0%,0,0%,5,17%,
6,2021,2021-10-25,6,7,24.065,NOR,@,SEA,W 13-10,,0,0%,0,0%,3,12%,
7,2021,2021-10-31,7,8,24.071,NOR,,TAM,W 36-27,,0,0%,0,0%,7,24%,
8,2021,2021-11-07,8,9,24.078,NOR,,ATL,L 25-27,,0,0%,0,0%,3,11%,
9,2021,2021-11-14,9,10,24.085,NOR,@,TEN,L 21-23,,0,0%,0,0%,3,10%,
10,2021,2021-11-21,10,11,24.092,NOR,@,PHI,L 29-40,*,64,98%,0,0%,4,11%,
11,2021,2021-11-25,11,12,,NOR,,BUF,L 6-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,2021,2021-12-02,12,13,,NOR,,DAL,L 17-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,2021,2021-12-12,13,14,,NOR,@,NYJ,W 30-9,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,2021,2021-12-19,14,15,,NOR,@,TAM,W 9-0,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,2021,2021-12-27,15,16,,NOR,,MIA,L 3-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,2021,2022-01-02,16,17,,NOR,,CAR,W 18-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,2021,2022-01-09,17,18,,NOR,@,ATL,W 30-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,2022,2022-09-11,1,1,,NOR,@,ATL,W 27-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,2022,2022-09-18,2,2,25.028,NOR,,TAM,L 10-20,,0,0%,0,0%,2,8%,
20,2022,2022-09-25,3,3,25.035,NOR,@,CAR,L 14-22,,0,0%,0,0%,4,14%,
21,2022,2022-10-02,4,4,25.042,NOR,,MIN,L 25-28,,1,2%,0,0%,4,13%,
22,2022,2022-10-09,5,5,25.049,NOR,,SEA,W 39-32,,3,4%,0,0%,5,15%,
23,2022,2022-10-16,6,6,25.056,NOR,,CIN,L 26-30,,5,7%,0,0%,6,21%,
24,2022,2022-10-20,7,7,25.060,NOR,@,ARI,L 34-42,,0,0%,0,0%,6,19%,
25,2022,2022-10-30,8,8,25.070,NOR,,LVR,W 24-0,,3,5%,0,0%,5,26%,
26,2022,2022-11-07,9,9,25.078,NOR,,BAL,L 13-27,,2,4%,0,0%,3,12%,
27,2022,2022-11-13,10,10,25.084,NOR,@,PIT,L 10-20,,20,43%,0,0%,2,8%,
28,2022,2022-11-20,11,11,25.091,NOR,,LAR,W 27-20,*,57,100%,0,0%,5,16%,
29,2022,2022-11-27,12,12,25.098,NOR,@,SFO,L 0-13,,0,0%,0,0%,1,6%,
30,2022,2022-12-05,13,13,25.106,NOR,@,TAM,L 16-17,,0,0%,0,0%,4,15%,
31,2022,2022-12-18,14,15,25.119,NOR,,ATL,W 21-18,,2,4%,0,0%,3,14%,
